BILLING_PROVIDER_NPI_NUM,total_paid,total_claims,total_bene,procedure_count,first_month,last_month
1376609297,890010684.36,10039534.0,403857.0,5,2018-06,2024-09
1417262056,749021429.3199999,9819923.0,588997.0,23,2018-01,2024-12
1699703827,682938504.8699998,3052095.0,1040565.0,95,2018-01,2024-10
1699725143,286951576.3199998,10382279.0,1581881.0,41,2018-01,2024-12
1710176151,254640828.03000006,3472922.0,245657.0,60,2018-01,2024-12
1629436241,238488354.56000027,1457768.0,103325.0,57,2018-01,2024-06
1982757688,207025158.52999994,201617.0,59643.0,19,2018-01,2024-12
1922467554,198593951.85999995,1530141.0,78088.0,4,2018-01,2024-11
1184703415,181220488.65,914184.0,41114.0,3,2018-02,2024-11
1538649983,180635719.45000002,1781261.0,92797.0,5,2018-11,2024-05
1356709976,177523532.54999992,619885.0,39033.0,39,2018-01,2024-06
1528263910,162994055.55,460347.0,161114.0,41,2018-01,2024-10
1720151046,150478591.20999998,787908.0,36576.0,10,2018-01,2024-10
1417099789,141564156.26,584096.0,129226.0,50,2018-01,2024-12
1538144910,139216115.94999987,10109922.0,8963813.0,700,2018-01,2024-12
1962650622,138679912.88999996,945590.0,39175.0,3,2018-02,2024-09
1518098359,135854318.02,1445560.0,54141.0,2,2019-10,2021-09
1447261540,135565317.05999997,809746.0,231191.0,57,2018-01,2024-11
1124304621,126849648.86,872055.0,53393.0,2,2018-08,2024-06
1134260078,121484104.70999993,4192765.0,622353.0,21,2018-01,2024-12
1932341898,120753666.21,38367.0,34740.0,1,2019-03,2023-07
1396051694,117886017.82999998,694126.0,34396.0,8,2018-05,2024-11
1124494059,117652548.99,142579.0,135057.0,1,2019-10,2024-02
1720145378,116763405.11000003,1205720.0,75315.0,38,2018-01,2024-12
1376097303,111326202.57000001,700669.0,30657.0,2,2020-01,2024-12
1275657553,109887560.54999998,779927.0,37854.0,7,2018-03,2024-11
1578778726,109392158.22999999,2258021.0,1680673.0,1152,2018-01,2024-12
1659402303,108725753.23999992,639175.0,125505.0,46,2018-01,2024-04
1700090834,107276009.25,1470738.0,151458.0,27,2018-01,2024-11
1457410904,107114901.56999996,640099.0,27944.0,4,2018-03,2024-07
1194934471,106927271.26999998,697938.0,169667.0,50,2018-01,2024-11
1376554592,105536281.9,141520.0,113618.0,5,2018-03,2024-12
1396049987,103279215.41999997,237189.0,17752.0,12,2019-11,2024-12
1053321869,102938013.56999996,1778376.0,94118.0,8,2018-06,2024-11
1518096411,99528903.44999994,113095.0,15685.0,13,2018-01,2024-10
1952476988,97447155.26000004,1696219.0,1480424.0,1138,2018-01,2024-12
1528315397,95388317.35000004,628334.0,26524.0,5,2018-02,2024-08
1083783013,92133288.74000002,503590.0,23221.0,5,2018-07,2024-10
1043386659,90264869.46,439128.0,188394.0,45,2018-01,2024-11
1801060363,88651667.83000001,587080.0,27448.0,5,2018-03,2024-10
1245354000,86755781.78,51949.0,13547.0,12,2018-02,2024-10
1750504064,86034466.92,118676.0,17157.0,13,2018-02,2024-10
1134152986,85566223.66000006,1170010.0,898670.0,709,2018-01,2024-12
