BILLING_PROVIDER_NPI_NUM,outlier_total_paid,outlier_total_claims,outlier_total_bene,outlier_avg_cost_per_claim,outlier_max_single_record,outlier_count,total_paid,total_claims,total_bene,num_codes,active_months,avg_cost_per_claim,max_single_record
1235528225,True,False,False,False,True,2,7388141.930000001,71254.0,54105.0,19,52,65.91843985030013,1018893.6
1962404913,True,False,False,False,True,2,12461047.92,71766.0,3199.0,2,10,173.921354765476,1791478.17
1851654909,False,False,False,True,True,2,3032788.5,180.0,73.0,1,4,13810.85688405797,2083956.0
1902968266,True,False,False,False,True,2,20899213.799999997,77364.0,2670.0,2,18,269.62975865379565,2211409.56
1538684824,True,False,False,False,True,2,6498115.24,46058.0,2700.0,1,10,134.37355172071096,1733511.52
1316979834,False,True,True,False,False,2,1507775.4099999992,180978.0,172798.0,227,84,7.826646240023374,59628.48
1609955822,True,False,False,False,True,2,10408335.270000001,77004.0,4523.0,4,27,126.15383291758951,1251745.41
1194886499,True,False,False,False,True,2,9127514.629999999,26383.0,1445.0,5,29,385.19047617289664,803071.17
1336435031,True,False,False,False,True,2,15089907.879999997,7870.0,5902.0,9,43,1672.4958893224468,1381429.62
1548505290,True,False,False,False,True,2,13150115.6,86914.0,8748.0,3,24,223.64786571312916,1423786.77
1457435349,False,True,True,False,False,2,896636.4299999999,112570.0,104829.0,79,84,27.9859546050035,113766.4
1912639576,True,False,False,False,True,2,6463826.87,29767.0,9178.0,18,23,53.832109698285144,1263990.61
1487387742,False,True,False,False,True,2,2923400.2100000004,286085.0,16079.0,12,19,113.19864127795998,893408.32
1588744015,True,False,False,False,True,2,7544408.729999999,16754.0,1116.0,5,26,133.67475829724532,1565362.1
1992723829,False,True,True,False,False,2,2279039.289999999,106350.0,97455.0,98,84,25.480836774043954,9602.49
1730136367,False,True,True,False,False,2,2304605.299999998,142568.0,133741.0,125,84,15.738574132161776,21594.14
1851437719,False,True,True,False,False,2,5277544.079999996,128378.0,116960.0,177,84,42.44964491759417,46596.47
1700803418,False,True,True,False,False,2,1471420.9300000006,113577.0,96266.0,166,83,17.560120009440137,7337.95
