HCPCS_CODE,first_seen,last_seen,months_active,total_paid,provider_count,first_dt,last_dt,first_quarter,last_quarter
T1015,2018-01,2024-12,84,4936765738.379996,10944,2018-01-01,2024-12-01,2018Q1,2024Q4
99212,2018-01,2024-12,84,377337536.6699998,28226,2018-01-01,2024-12-01,2018Q1,2024Q4
D0220,2018-01,2024-12,84,81659320.81000002,29187,2018-01-01,2024-12-01,2018Q1,2024Q4
45385,2018-01,2024-12,84,42156037.290000014,1478,2018-01-01,2024-12-01,2018Q1,2024Q4
72125,2018-01,2024-12,84,34606281.77,2932,2018-01-01,2024-12-01,2018Q1,2024Q4
H2032,2018-01,2024-12,84,40154713.650000006,331,2018-01-01,2024-12-01,2018Q1,2024Q4
97110,2018-01,2024-12,84,495918018.4000008,17330,2018-01-01,2024-12-01,2018Q1,2024Q4
95004,2018-01,2024-12,84,36650814.96999998,1598,2018-01-01,2024-12-01,2018Q1,2024Q4
90999,2018-01,2024-12,84,785980232.4100007,4189,2018-01-01,2024-12-01,2018Q1,2024Q4
T2003,2018-01,2024-12,84,253671426.1999998,3948,2018-01-01,2024-12-01,2018Q1,2024Q4
99477,2018-01,2024-11,75,954872.03,77,2018-01-01,2024-11-01,2018Q1,2024Q4
99393,2018-01,2024-12,84,198061771.0299999,14243,2018-01-01,2024-12-01,2018Q1,2024Q4
10061,2018-01,2024-11,83,1868424.9200000004,188,2018-01-01,2024-11-01,2018Q1,2024Q4
D2391,2018-01,2024-12,84,139037223.84999976,13219,2018-01-01,2024-12-01,2018Q1,2024Q4
H2020,2018-01,2024-12,84,132241073.22999997,635,2018-01-01,2024-12-01,2018Q1,2024Q4
99342,2018-01,2024-12,76,3494442.909999999,148,2018-01-01,2024-12-01,2018Q1,2024Q4
H0046,2018-01,2024-12,84,205486337.31999984,1552,2018-01-01,2024-12-01,2018Q1,2024Q4
96360,2018-01,2024-12,84,49310205.75999998,2221,2018-01-01,2024-12-01,2018Q1,2024Q4
73130,2018-01,2024-12,84,11524164.450000003,3780,2018-01-01,2024-12-01,2018Q1,2024Q4
A4408,2018-01,2024-11,25,58507.119999999995,8,2018-01-01,2024-11-01,2018Q1,2024Q4
G2023,2020-03,2024-01,46,25961036.540000007,2988,2020-03-01,2024-01-01,2020Q1,2024Q1
58661,2018-02,2024-08,49,3187960.96,54,2018-02-01,2024-08-01,2018Q1,2024Q3
77066,2018-01,2024-12,84,12102930.299999995,1453,2018-01-01,2024-12-01,2018Q1,2024Q4
L8621,2018-05,2024-11,18,37006.96,6,2018-05-01,2024-11-01,2018Q2,2024Q4
A4927,2018-01,2024-12,84,33735507.27,1734,2018-01-01,2024-12-01,2018Q1,2024Q4
G0176,2018-01,2024-12,84,9434875.090000002,164,2018-01-01,2024-12-01,2018Q1,2024Q4
H0034,2018-01,2024-12,84,97645337.87999995,950,2018-01-01,2024-12-01,2018Q1,2024Q4
K0553,2018-01,2023-12,69,29926277.709999993,240,2018-01-01,2023-12-01,2018Q1,2023Q4
97803,2018-01,2024-12,84,14726376.919999998,2440,2018-01-01,2024-12-01,2018Q1,2024Q4
H0031,2018-01,2024-12,84,127665092.33000003,2913,2018-01-01,2024-12-01,2018Q1,2024Q4
H2018,2018-01,2024-12,84,123858180.93,191,2018-01-01,2024-12-01,2018Q1,2024Q4
L2112,2018-04,2024-09,35,251450.96000000002,10,2018-04-01,2024-09-01,2018Q2,2024Q3
72141,2018-01,2024-12,84,14705972.02,1079,2018-01-01,2024-12-01,2018Q1,2024Q4
99244,2018-01,2024-12,84,40362158.43000003,2499,2018-01-01,2024-12-01,2018Q1,2024Q4
T1040,2018-01,2024-12,84,503956460.5,393,2018-01-01,2024-12-01,2018Q1,2024Q4
99245,2018-01,2024-12,84,8447129.949999997,712,2018-01-01,2024-12-01,2018Q1,2024Q4
D3320,2018-01,2024-12,83,7210834.579999999,429,2018-01-01,2024-12-01,2018Q1,2024Q4
T4521,2018-01,2024-12,84,7743274.560000001,302,2018-01-01,2024-12-01,2018Q1,2024Q4
A4267,2018-01,2024-12,84,2174268.610000001,453,2018-01-01,2024-12-01,2018Q1,2024Q4
90682,2018-01,2024-10,47,941041.2,631,2018-01-01,2024-10-01,2018Q1,2024Q4
Y7506,2018-01,2024-11,77,18909083.4,84,2018-01-01,2024-11-01,2018Q1,2024Q4
Q9958,2018-01,2024-12,64,83775.78,36,2018-01-01,2024-12-01,2018Q1,2024Q4
87150,2018-01,2024-12,84,4741912.79,361,2018-01-01,2024-12-01,2018Q1,2024Q4
92083,2018-01,2024-12,84,10139069.07,2219,2018-01-01,2024-12-01,2018Q1,2024Q4
T2049,2018-01,2024-11,83,2613921.2899999996,123,2018-01-01,2024-11-01,2018Q1,2024Q4
93925,2018-01,2024-12,84,5065851.180000001,841,2018-01-01,2024-12-01,2018Q1,2024Q4
V2107,2018-01,2024-12,84,1613276.53,403,2018-01-01,2024-12-01,2018Q1,2024Q4
96417,2018-01,2024-12,84,4687036.009999999,464,2018-01-01,2024-12-01,2018Q1,2024Q4
G0162,2018-01,2024-12,84,3932043.2400000007,260,2018-01-01,2024-12-01,2018Q1,2024Q4
J1050,2018-01,2024-12,84,10279103.409999998,1973,2018-01-01,2024-12-01,2018Q1,2024Q4
G0260,2018-01,2024-10,75,1041071.6299999999,81,2018-01-01,2024-10-01,2018Q1,2024Q4
16020,2018-01,2024-10,78,1164992.78,82,2018-01-01,2024-10-01,2018Q1,2024Q4
T4522,2018-01,2024-12,84,34221737.68999999,870,2018-01-01,2024-12-01,2018Q1,2024Q4
A6212,2018-01,2024-12,84,5813875.3900000015,223,2018-01-01,2024-12-01,2018Q1,2024Q4
86037,2022-01,2024-11,31,61060.06999999999,27,2022-01-01,2024-11-01,2022Q1,2024Q4
T4530,2018-01,2024-12,84,13095050.43,309,2018-01-01,2024-12-01,2018Q1,2024Q4
99442,2018-01,2024-12,83,20156833.999999985,4643,2018-01-01,2024-12-01,2018Q1,2024Q4
00400,2018-01,2024-11,82,756926.1000000001,123,2018-01-01,2024-11-01,2018Q1,2024Q4
82948,2018-01,2024-12,84,2417578.2200000007,1336,2018-01-01,2024-12-01,2018Q1,2024Q4
E0973,2018-01,2024-12,84,3232259.1200000006,404,2018-01-01,2024-12-01,2018Q1,2024Q4
L5000,2018-04,2024-10,8,47146.08,6,2018-04-01,2024-10-01,2018Q2,2024Q4
A4606,2018-01,2024-12,84,6532358.380000001,218,2018-01-01,2024-12-01,2018Q1,2024Q4
86200,2018-01,2024-12,84,1260445.23,501,2018-01-01,2024-12-01,2018Q1,2024Q4
A7034,2018-01,2024-12,84,13706157.509999994,1722,2018-01-01,2024-12-01,2018Q1,2024Q4
87660,2018-01,2024-12,84,4590397.010000001,902,2018-01-01,2024-12-01,2018Q1,2024Q4
E0114,2018-01,2024-12,84,4439692.54,518,2018-01-01,2024-12-01,2018Q1,2024Q4
83516,2018-01,2024-12,84,3098665.0200000023,817,2018-01-01,2024-12-01,2018Q1,2024Q4
93229,2018-01,2024-12,84,9316421.969999999,139,2018-01-01,2024-12-01,2018Q1,2024Q4
