decile,provider_count,total_paid,avg_paid,median_paid,min_paid,max_paid,total_claims,pct_of_total
D1,46008,14162560.23,307.8282087897757,299.76,0.01,652.34,4590192.0,0.013010895287432999
D2,46006,51106776.13,1110.8719760466026,1088.99,652.36,1657.62,4539526.0,0.04695089743005529
D3,46007,112537755.98,2446.100723368183,2406.86,1657.6499999999999,3389.18,7160875.0,0.10338645945080416
D4,46007,220803040.92,4799.335773251896,4726.589999999999,3389.2799999999997,6498.51,10795848.0,0.20284787481231445
D5,46008,415101351.26,9022.373310293862,8898.689999999999,6498.53,12115.82,18048872.0,0.38134631925345064
D6,46006,773365120.08,16810.092598356736,16511.555,12115.99,22733.289999999997,29162865.0,0.7104769499938025
D7,46007,1497081880.72,32540.30649075141,31777.609999999997,22733.4,45426.850000000006,49793969.0,1.375342824350423
D8,46007,3199196330.34,69537.16456930467,67131.86999999998,45427.5,103810.55,94024874.0,2.9390454679106877
D9,46007,8500079634.21,184756.22479644403,171898.18000000002,103811.78000000001,322134.53999999986,208889857.0,7.808873837745938
D10,46007,94068108177.48,2044647.731377399,781686.5499999998,322136.32000000007,890010684.3599998,1445283753.0,86.4187184737651
