HCPCS_CODE,first_seen,last_seen,months_active,total_paid,provider_count,first_dt,last_dt,first_quarter,last_quarter
99212,2018-01,2024-12,84,38622582.179999985,9271,2018-01-01,2024-12-01,2018Q1,2024Q4
97110,2018-01,2024-12,84,47856888.49999996,6113,2018-01-01,2024-12-01,2018Q1,2024Q4
95004,2018-01,2024-12,84,3906762.92,553,2018-01-01,2024-12-01,2018Q1,2024Q4
T1015,2018-01,2024-12,84,485775443.3400016,6033,2018-01-01,2024-12-01,2018Q1,2024Q4
90999,2018-01,2024-11,83,71345607.4500002,1749,2018-01-01,2024-11-01,2018Q1,2024Q4
D2391,2018-01,2024-12,84,14029374.30000001,3813,2018-01-01,2024-12-01,2018Q1,2024Q4
G0511,2018-01,2024-11,83,319959.76,277,2018-01-01,2024-11-01,2018Q1,2024Q4
D9993,2018-04,2024-05,59,838217.3499999999,214,2018-04-01,2024-05-01,2018Q2,2024Q2
T4530,2018-01,2024-12,68,1320403.7199999997,125,2018-01-01,2024-12-01,2018Q1,2024Q4
T2003,2018-01,2024-12,84,23350422.279999986,1193,2018-01-01,2024-12-01,2018Q1,2024Q4
H0046,2018-01,2024-12,84,22157803.30000002,515,2018-01-01,2024-12-01,2018Q1,2024Q4
45385,2018-01,2024-11,81,4444216.989999998,408,2018-01-01,2024-11-01,2018Q1,2024Q4
H2032,2018-02,2024-11,61,3171497.679999999,107,2018-02-01,2024-11-01,2018Q1,2024Q4
H0031,2018-01,2024-12,84,12100169.110000009,871,2018-01-01,2024-12-01,2018Q1,2024Q4
99393,2018-01,2024-12,84,19283385.720000003,5365,2018-01-01,2024-12-01,2018Q1,2024Q4
86696,2018-01,2024-11,79,397532.16000000003,184,2018-01-01,2024-11-01,2018Q1,2024Q4
H2018,2018-02,2024-10,51,5775679.939999999,64,2018-02-01,2024-10-01,2018Q1,2024Q4
96417,2018-01,2024-11,77,450922.96,164,2018-01-01,2024-11-01,2018Q1,2024Q4
G0176,2018-01,2024-12,38,4148898.58,48,2018-01-01,2024-12-01,2018Q1,2024Q4
A4927,2018-01,2024-12,84,4613908.339999999,719,2018-01-01,2024-12-01,2018Q1,2024Q4
87660,2018-01,2024-12,84,556555.25,345,2018-01-01,2024-12-01,2018Q1,2024Q4
H2020,2018-01,2024-12,83,13576450.30000001,244,2018-01-01,2024-12-01,2018Q1,2024Q4
99244,2018-01,2024-12,84,3979849.0999999996,740,2018-01-01,2024-12-01,2018Q1,2024Q4
72125,2018-01,2024-12,84,3337580.89,1125,2018-01-01,2024-12-01,2018Q1,2024Q4
99342,2018-02,2024-11,38,680540.32,38,2018-02-01,2024-11-01,2018Q1,2024Q4
E0748,2019-03,2024-07,7,1473353.9999999998,4,2019-03-01,2024-07-01,2019Q1,2024Q3
D3320,2018-03,2024-12,49,706650.96,83,2018-03-01,2024-12-01,2018Q1,2024Q4
92611,2018-01,2024-08,34,147388.69999999998,36,2018-01-01,2024-08-01,2018Q1,2024Q3
D9430,2018-01,2024-12,84,1107690.66,830,2018-01-01,2024-12-01,2018Q1,2024Q4
96360,2018-01,2024-12,84,5128304.1999999955,853,2018-01-01,2024-12-01,2018Q1,2024Q4
A7034,2018-01,2024-12,84,1391713.1800000006,575,2018-01-01,2024-12-01,2018Q1,2024Q4
G2023,2020-04,2023-09,39,2186365.3299999996,704,2020-04-01,2023-09-01,2020Q2,2023Q3
T4522,2018-01,2024-12,84,3465091.0500000007,360,2018-01-01,2024-12-01,2018Q1,2024Q4
J0475,2018-01,2024-11,39,488713.07999999996,39,2018-01-01,2024-11-01,2018Q1,2024Q4
72141,2018-01,2024-11,83,1254825.6600000004,304,2018-01-01,2024-11-01,2018Q1,2024Q4
70487,2020-02,2024-11,14,61391.65000000001,14,2020-02-01,2024-11-01,2020Q1,2024Q4
T1040,2018-01,2024-12,80,57011127.97999996,143,2018-01-01,2024-12-01,2018Q1,2024Q4
J9035,2018-01,2024-12,84,1420648.4100000001,265,2018-01-01,2024-12-01,2018Q1,2024Q4
97803,2018-01,2024-12,84,1456235.8199999998,822,2018-01-01,2024-12-01,2018Q1,2024Q4
81513,2021-01,2024-12,39,1146669.01,78,2021-01-01,2024-12-01,2021Q1,2024Q4
D9410,2018-01,2024-10,73,741447.97,105,2018-01-01,2024-10-01,2018Q1,2024Q4
J7518,2018-01,2024-10,50,97513.42000000001,50,2018-01-01,2024-10-01,2018Q1,2024Q4
H0034,2018-01,2024-12,83,8196916.539999995,297,2018-01-01,2024-12-01,2018Q1,2024Q4
D0220,2018-01,2024-12,84,7978811.159999999,10302,2018-01-01,2024-12-01,2018Q1,2024Q4
93229,2018-03,2024-08,46,2054678.33,39,2018-03-01,2024-08-01,2018Q1,2024Q3
E2402,2018-01,2024-11,50,3311246.6500000013,50,2018-01-01,2024-11-01,2018Q1,2024Q4
E0295,2018-03,2024-11,35,94197.90000000001,34,2018-03-01,2024-11-01,2018Q1,2024Q4
10061,2018-03,2024-09,40,178985.14,49,2018-03-01,2024-09-01,2018Q1,2024Q3
92083,2018-01,2024-12,84,1021688.1600000003,728,2018-01-01,2024-12-01,2018Q1,2024Q4
E0973,2018-02,2024-12,75,300185.4,135,2018-02-01,2024-12-01,2018Q1,2024Q4
T4521,2018-01,2024-12,73,774697.37,125,2018-01-01,2024-12-01,2018Q1,2024Q4
Y7506,2018-01,2024-10,52,1483697.9200000004,48,2018-01-01,2024-10-01,2018Q1,2024Q4
D2332,2018-01,2024-12,79,928640.1699999999,270,2018-01-01,2024-12-01,2018Q1,2024Q4
T4531,2018-05,2024-08,26,212484.76999999996,28,2018-05-01,2024-08-01,2018Q2,2024Q3
A4605,2018-02,2024-09,49,333456.89,48,2018-02-01,2024-09-01,2018Q1,2024Q3
82948,2018-01,2024-12,84,385238.8600000001,439,2018-01-01,2024-12-01,2018Q1,2024Q4
85045,2018-01,2024-12,84,117375.47,424,2018-01-01,2024-12-01,2018Q1,2024Q4
Q9958,2019-02,2024-02,11,10821.550000000001,11,2019-02-01,2024-02-01,2019Q1,2024Q1
A0431,2018-01,2024-11,62,12393435.869999997,81,2018-01-01,2024-11-01,2018Q1,2024Q4
A6199,2018-03,2024-12,21,54807.96,18,2018-03-01,2024-12-01,2018Q1,2024Q4
99157,2018-03,2024-10,25,41159.43,21,2018-03-01,2024-10-01,2018Q1,2024Q4
A6212,2018-01,2024-11,58,588313.4099999999,64,2018-01-01,2024-11-01,2018Q1,2024Q4
Q0091,2018-01,2024-12,84,116375.63999999998,316,2018-01-01,2024-12-01,2018Q1,2024Q4
S5105,2018-01,2024-12,75,16562582.910000004,155,2018-01-01,2024-12-01,2018Q1,2024Q4
99340,2020-10,2024-06,13,127602.02,8,2020-10-01,2024-06-01,2020Q4,2024Q2
A4606,2018-02,2024-11,62,832429.2000000002,81,2018-02-01,2024-11-01,2018Q1,2024Q4
81321,2018-02,2024-08,18,154623.51,12,2018-02-01,2024-08-01,2018Q1,2024Q3
95939,2018-04,2024-09,22,34773.88,11,2018-04-01,2024-09-01,2018Q2,2024Q3
77066,2018-01,2024-11,83,1173167.48,470,2018-01-01,2024-11-01,2018Q1,2024Q4
J1050,2018-01,2024-12,84,967947.5699999998,627,2018-01-01,2024-12-01,2018Q1,2024Q4
K0553,2018-07,2023-03,42,3553594.6300000004,70,2018-07-01,2023-03-01,2018Q3,2023Q1
99347,2018-01,2024-11,64,295713.19999999995,124,2018-01-01,2024-11-01,2018Q1,2024Q4
99245,2018-01,2024-12,77,818140.9800000001,195,2018-01-01,2024-12-01,2018Q1,2024Q4
G0162,2018-01,2024-12,56,364659.00999999995,81,2018-01-01,2024-12-01,2018Q1,2024Q4
99477,2018-01,2023-10,12,67356.25,12,2018-01-01,2023-10-01,2018Q1,2023Q4
99442,2020-03,2024-12,58,1849115.65,1143,2020-03-01,2024-12-01,2020Q1,2024Q4
J0741,2023-07,2024-08,3,603413.9299999999,3,2023-07-01,2024-08-01,2023Q3,2024Q3
93925,2018-01,2024-11,79,485397.5299999999,209,2018-01-01,2024-11-01,2018Q1,2024Q4
D2999,2021-10,2024-07,10,7391.25,9,2021-10-01,2024-07-01,2021Q4,2024Q3
A4267,2018-01,2024-12,83,211030.84999999995,202,2018-01-01,2024-12-01,2018Q1,2024Q4
81403,2018-10,2023-05,17,44051.920000000006,16,2018-10-01,2023-05-01,2018Q4,2023Q2
25600,2018-09,2024-10,20,123350.65,17,2018-09-01,2024-10-01,2018Q3,2024Q4
00400,2018-01,2024-10,35,80636.43000000001,38,2018-01-01,2024-10-01,2018Q1,2024Q4
86200,2018-01,2024-11,76,119086.90000000002,178,2018-01-01,2024-11-01,2018Q1,2024Q4
67311,2019-02,2024-08,12,451611.16000000003,13,2019-02-01,2024-08-01,2019Q1,2024Q3
K0195,2018-01,2024-11,82,125475.09,304,2018-01-01,2024-11-01,2018Q1,2024Q4
73130,2018-01,2024-12,84,1167173.38,1349,2018-01-01,2024-12-01,2018Q1,2024Q4
D2791,2018-12,2024-10,7,95833.4,7,2018-12-01,2024-10-01,2018Q4,2024Q4
96118,2018-01,2019-01,12,266273.24000000005,21,2018-01-01,2019-01-01,2018Q1,2019Q1
83516,2018-01,2024-11,79,285969.11999999994,262,2018-01-01,2024-11-01,2018Q1,2024Q4
0121,2018-01,2024-08,14,2447391.91,12,2018-01-01,2024-08-01,2018Q1,2024Q3
E0114,2018-02,2024-10,73,425080.4,157,2018-02-01,2024-10-01,2018Q1,2024Q4
93350,2018-01,2024-05,32,88395.23000000001,32,2018-01-01,2024-05-01,2018Q1,2024Q2
J1650,2018-01,2024-12,83,76672.7,285,2018-01-01,2024-12-01,2018Q1,2024Q4
41010,2019-03,2023-11,7,49236.53,5,2019-03-01,2023-11-01,2019Q1,2023Q4
