specialization,count,avg_paid,total_paid,pct
Diversified,5727,266143.31966474594,1524202791.72,2.2613303429704095
Moderate,14596,79594.3230885174,1161758739.8,5.763292768639095
Concentrated,46800,45065.71396346154,2109075413.49,18.479179334907485
Specialist,186135,32665.03882327343,6080107001.37,73.49619755348301
