BILLING_PROVIDER_NPI_NUM,SERVICING_PROVIDER_NPI_NUM,HCPCS_CODE,CLAIM_FROM_MONTH,TOTAL_UNIQUE_BENEFICIARIES,TOTAL_CLAIMS,TOTAL_PAID,cost_per_claim,cost_per_bene
1376609297,1376609297,T1019,2022-07,38344,1201576,102046918.74,84.92756075354367,2661.3529819528476
1417262056,1417262056,T1019,2022-03,27051,555242,41197825.71,74.19796360866073,1522.9686780525674
1376609297,1376609297,T1019,2020-09,18353,482031,38861976.26,80.62132157475348,2117.4726889336894
1417262056,1417262056,S5126,2018-03,16466,425534,27942919.99,65.66554021535295,1697.0071656747236
1396051694,1396051694,T1019,2024-02,6232,124725,21211558.47,170.06661431148527,3403.6518725930678
1396051694,1396051694,T1019,2021-12,6351,132931,19084949.79,143.5703469469123,3005.03067076051
1518098359,1518098359,T1019,2019-02,8030,204220,18131409.5,88.7837111938106,2257.9588418430885
1083783013,1083783013,T1019,2020-03,4289,101916,16843059.47,165.26413389457983,3927.036481697365
1770022691,1770022691,T1019,2024-05,4643,109457,16595191.99,151.6138025891446,3574.2390674133103
1396049987,1396049987,H2015,2023-06,1698,27051,15296975.64,565.4865121437285,9008.819575971731
1518049485,1518049485,T1019,2020-03,4598,89735,15291473.24,170.40701220259655,3325.6792605480646
1518096411,1518096411,T2016,2021-01,835,925,14645820.66,15833.319632432433,17539.90498203593
1750504064,1750504064,T2016,2023-11,600,773,13314984.89,17225.077477360934,22191.641483333333
1750504064,1750504064,T2016,2018-04,927,1091,13289046.28,12180.610705774518,14335.540755124055
1699725143,1699725143,A0100,2022-07,48877,308705,12840770.0,41.59560097828024,262.7160013912474
1275657553,1275657553,T1019,2021-09,4352,91715,12383623.87,135.02288469715967,2845.50180836397
1326168840,1326168840,T1018,2022-12,6150,41142,12319149.06,299.43,2003.113668292683
1184703415,1184703415,T1019,2021-11,2645,58514,12095294.62,206.7077044809789,4572.890215500945
1134250475,1134250475,T2016,2018-01,939,1157,11495903.53,9935.958107173725,12242.708764643237
1083783013,1083783013,T1019,2022-02,2933,63951,11331134.91,177.1846399587184,3863.325915444937
1699725143,1699725143,A0100,2021-09,40500,283191,10792888.71,38.111693909764085,266.49107925925927
1356709976,,T2033,2023-10,574,20293,10489724.46,516.9134410880599,18274.781289198607
1952346876,,T1000,2022-07,807,18660,10378665.43,556.1985760986066,12860.799789343246
1275657553,1275657553,T1019,2020-04,3973,72947,10222863.82,140.14097659944892,2573.084273848477
1699725143,1699725143,A0100,2019-12,52559,300762,9855102.54,32.76711333213637,187.50551836983198
1184166027,,T1040,2021-04,8346,38662,9828625.34,254.21926801510526,1177.645020369039
1275849283,1275849283,00003,2019-12,17172,34289,9797083.12,285.72087608270874,570.5266200791987
1730438706,1730438706,T1019,2021-01,2795,62014,9728384.41,156.87400280581804,3480.638429338104
1356709976,,T2033,2024-06,552,18701,9701100.64,518.7476947756804,17574.45768115942
1821275801,1821275801,T1019,2022-12,2267,51537,9512512.5,184.5763723150358,4196.079620644023
1932341898,1932341898,H0044,2019-12,3170,3174,9427693.48,2970.2878008821676,2974.0357981072557
1770022691,1770022691,T1019,2021-11,3255,72072,9370288.73,130.01288614163616,2878.7369370199694
1356709976,,T2033,2019-02,831,26721,9102264.6,340.6408667340294,10953.387003610107
1205378379,1205378379,T1019,2023-12,2983,60586,8945299.97,147.64632043706467,2998.7596278913848
1528315397,1528315397,T1019,2022-02,2636,60009,8912980.93,148.52740305620824,3381.252249620637
1417262056,1417262056,S5150,2022-07,8777,96783,8871814.75,91.66707737929181,1010.8026375754814
1447393319,1447393319,T1019,2022-04,2261,50927,8619459.29,169.2512673041805,3812.2332109685976
1720145378,1720145378,S5125,2023-03,2285,59858,8265197.47,138.08008069096863,3617.1542538293215
1730244294,1730244294,T1019,2021-12,2030,47926,8175927.29,170.59481888745148,4027.5503891625617
1932541729,1932541729,S5125,2023-07,3223,89573,8053696.71,89.91210197269267,2498.8199534595096
1902341050,1902341050,T1019,2024-11,3157,62459,8022400.23,128.4426620663155,2541.1467310738044
1932106010,1932106010,T1019,2021-09,1761,39617,7774283.78,196.23605472398214,4414.698341851221
1184703415,1184703415,T1019,2019-06,2184,42417,7676140.65,180.96849494306528,3514.716414835165
1770022691,1770022691,T1019,2020-12,2688,61582,7663590.25,124.44529651521549,2851.038039434524
1073854451,1073854451,H2016,2019-03,1453,1698,7637543.92,4497.9646171967015,5256.396366139023
1447393319,1447393319,T1019,2024-10,1818,38977,7605249.69,195.12147394617338,4183.305660066007
1558756296,1558756296,W1793,2023-03,1489,42745,7582423.15,177.38737045268454,5092.292243116186
1952852113,1952852113,T1019,2024-01,2232,51852,7349142.28,141.73305330556198,3292.62646953405
1124304621,1124304621,T2025,2018-01,2543,4791,7082573.08,1478.3078856188688,2785.1250806134485
1164535274,1164535274,K0606,2021-04,5214,6177,6911972.34,1118.9853229723167,1325.6563751438434
1710176151,1710176151,T1019,2022-04,7123,137533,6810509.51,49.51909367206416,956.1293710515232
1164887808,1164887808,99509,2024-11,14616,122219,6679949.76,54.65557531971297,457.0299507389162
1013377431,1013377431,T1019,2022-01,2418,48994,6612803.97,134.9717102094134,2734.8238089330025
1336117621,1336117621,99509,2023-03,2411,21624,6523324.64,301.670580836108,2705.651032766487
1508025370,1508025370,T1019,2022-12,1896,38141,6385435.85,167.41658189350042,3367.845912447257
1558781559,1558781559,T1019,2020-12,2429,47994,6370084.92,132.72669333666707,2622.513347056402
1568910677,1568910677,T1019,2023-04,1708,44348,6349166.88,143.1669270316587,3717.310819672131
1932106010,1932106010,T1019,2018-11,1527,33937,6270789.87,184.7773777882547,4106.607642436149
1932106010,1932106010,T1019,2024-04,1120,25319,6003238.52,237.10409257869583,5360.034392857143
1508025370,1508025370,T1019,2023-11,1741,34829,5980821.49,171.71958683855408,3435.2794313612867
1750769345,1750769345,T1019,2022-10,1566,37235,5816560.91,156.21219041224654,3714.278997445722
1447641493,1447641493,T2022,2022-03,10967,10967,5803709.0,529.1975015956962,529.1975015956962
1710176151,1710176151,T1019,2021-09,6599,121521,5788202.78,47.631296483735326,877.1333202000303
1447393319,1447393319,T1019,2018-08,1838,41197,5770679.4,140.075233633517,3139.6514689880305
1417262056,1417262056,S5150,2020-08,8234,88873,5738386.27,64.56838713670068,696.9135620597522
1710176151,1710176151,T1019,2020-08,6280,128385,5698020.41,44.382290843945945,907.3280907643313
A430617100,A430617100,T1019,2018-11,2360,101419,5691750.18,56.1211427838965,2411.7585508474576
1750769345,1750769345,T1019,2024-05,1455,34053,5683250.31,166.89426217954363,3906.0139587628864
1073730347,1073730347,H0018,2019-07,1280,3405,5615807.62,1649.2827077826726,4387.349703125
1447393319,1447393319,T1019,2018-10,2023,39955,5568823.78,139.37739406832688,2752.75520514088
1386022101,,T2016,2024-06,273,8073,5508797.64,682.3730509104422,20178.745934065933
1750823381,1750823381,T1019,2022-11,1390,32130,5433452.27,169.10838064114535,3908.958467625899
1821456526,1821456526,H2016,2024-03,305,8903,5155132.79,579.0332236324834,16902.074721311477
1861520272,1861520272,A0100,2022-01,18983,124851,5116585.53,40.98153422880073,269.5351382816204
1790826600,1790826600,T1015,2022-03,692,10351,5094550.87,492.17958361510966,7362.067731213873
1134260078,1134260078,W6110,2023-12,10162,55615,5065875.03,91.08828607390093,498.5116148395985
1417002007,1417002007,T1019,2021-06,1658,33240,5054267.68,152.05378098676292,3048.412352231604
1619363678,1619363678,T1019,2023-02,2509,37486,5023807.73,134.0182396094542,2002.3147588680752
1861520272,1861520272,A0100,2022-02,19838,132568,4903626.98,36.989522207470884,247.18353563867328
1780921387,1780921387,T1019,2022-10,1537,36282,4890735.34,134.79784300755196,3182.0008718282365
1093834020,1093834020,S5170,2018-10,24238,229328,4766878.46,20.78629064048001,196.6696286822345
1326502865,1326502865,T1015,2023-01,585,9110,4612210.13,506.2799264544457,7884.11988034188
1417262056,1417262056,H2021,2022-02,1914,34363,4521545.78,131.5818112504729,2362.354117032393
1609099910,1609099910,T2016,2020-06,382,389,4456822.72,11457.127814910025,11667.075183246072
1649678350,1649678350,T1019,2024-10,1507,30627,4435190.01,144.8130737584484,2943.0590643662904
1528338282,1528338282,T1019,2018-05,1515,35747,4424630.65,123.77627912831846,2920.548283828383
1336117621,1336117621,T1019,2024-05,2155,46334,4368698.44,94.28709889066346,2027.2382552204178
1023788031,1023788031,H0004,2022-11,307,1201,4350892.64,3622.724929225645,14172.288729641692
1326170796,1326170796,T1019,2019-05,1160,25827,4331160.36,167.69893367406203,3733.758931034483
1649301789,,T2016,2021-10,308,9393,4304566.23,458.2738454167998,13975.864383116885
1053321869,1053321869,S5125,2018-01,4393,85870,4189217.58,48.78557796669384,953.6120145686319
1396286423,1396286423,T1019,2023-12,1337,26808,4149932.16,154.8020053715309,3103.913358264772
1497014252,1497014252,T1019,2022-08,903,21016,4140798.15,197.03074562238294,4585.601495016611
1821456526,1821456526,H2016,2022-07,296,8295,4131588.77,498.08182881253765,13958.070168918919
1609099910,1609099910,T2016,2020-07,385,410,4088970.85,9973.099634146341,10620.703506493506
1265802847,1265802847,H2016,2023-03,264,8052,4041715.28,501.95172379533034,15309.527575757575
1891092649,1891092649,T1019,2024-06,881,19435,4020084.02,206.84764702855674,4563.091963677639
1710176151,,S5125,2022-06,2883,76079,3999104.47,52.565155561981626,1387.1330107526883
1770700221,1770700221,99199,2022-05,737,737,3984687.0,5406.630936227951,5406.630936227951
1396049987,1396049987,H2015,2021-07,655,7291,3949818.0,541.7388561239885,6030.256488549619
