CLAIM_FROM_MONTH,billing_type,total_paid
2018-01-01,Same,79750852.17999987
2018-01-01,Third-Party,35511180.54
2018-02-01,Third-Party,28819388.8
2018-02-01,Same,44787472.01999995
2018-03-01,Same,78998465.25000013
2018-03-01,Third-Party,34915067.669999994
2018-04-01,Same,59991584.49000004
2018-04-01,Third-Party,30694044.369999997
2018-05-01,Same,58137536.48
2018-05-01,Third-Party,31989394.26999998
2018-06-01,Third-Party,30298383.21000002
2018-06-01,Same,49423686.25999995
2018-07-01,Same,50768717.59000001
2018-07-01,Third-Party,32424772.52999999
2018-08-01,Third-Party,33362088.120000016
2018-08-01,Same,59482421.33000009
2018-09-01,Third-Party,30289954.43999999
2018-09-01,Same,51217253.75999997
2018-10-01,Same,64326328.91000006
2018-10-01,Third-Party,34066005.88000002
2018-11-01,Third-Party,34777848.73
2018-11-01,Same,63749911.28000007
2018-12-01,Same,48476157.91999994
2018-12-01,Third-Party,34778326.35000002
2019-01-01,Third-Party,39222975.37000001
2019-01-01,Same,59428460.009999976
2019-02-01,Third-Party,49589597.54000002
2019-02-01,Same,69518552.5200001
2019-03-01,Third-Party,39992375.870000005
2019-03-01,Same,66108017.719999924
2019-04-01,Same,66400205.209999956
2019-04-01,Third-Party,38630223.30999997
2019-05-01,Third-Party,42042603.51000001
2019-05-01,Same,68606636.61
2019-06-01,Third-Party,32166878.89999999
2019-06-01,Same,61950464.58999997
2019-07-01,Same,70551984.3899999
2019-07-01,Third-Party,36800186.400000006
2019-08-01,Same,59473695.59000005
2019-08-01,Third-Party,37583543.919999994
2019-09-01,Same,58750787.78999998
2019-09-01,Third-Party,37814097.00000003
2019-10-01,Same,60605261.78000007
2019-10-01,Third-Party,41774073.39
2019-11-01,Third-Party,36870192.08
2019-11-01,Same,64543388.64999991
2019-12-01,Third-Party,37015971.17000005
2019-12-01,Same,87126344.44000004
2020-01-01,Third-Party,49627997.87000007
2020-01-01,Same,63226335.12
2020-02-01,Third-Party,45066948.35000002
2020-02-01,Same,64955206.250000045
2020-03-01,Third-Party,39835686.369999975
2020-03-01,Same,90805238.01999992
2020-04-01,Third-Party,30785790.77999998
2020-04-01,Same,55191960.87000001
2020-05-01,Third-Party,30269431.26000003
2020-05-01,Same,49715108.94999995
2020-06-01,Third-Party,39600949.85999999
2020-06-01,Same,58525708.30000004
2020-07-01,Same,71521595.86000001
2020-07-01,Third-Party,42244155.04
2020-08-01,Same,74888358.79000008
2020-08-01,Third-Party,37863188.27999997
2020-09-01,Same,104157652.58999994
2020-09-01,Third-Party,43456095.449999996
2020-10-01,Third-Party,49854070.65999999
2020-10-01,Same,58734756.62000003
2020-11-01,Same,56734660.42999997
2020-11-01,Third-Party,42306490.30000004
2020-12-01,Same,70825167.27999999
2020-12-01,Third-Party,44700171.49999999
2021-01-01,Same,86769094.81000021
2021-01-01,Third-Party,46011716.610000044
2021-02-01,Same,61836751.89000004
2021-02-01,Third-Party,45894314.37
2021-03-01,Third-Party,57458845.089999974
2021-03-01,Same,69703493.27000006
2021-04-01,Same,68723102.19000012
2021-04-01,Third-Party,66474358.95000003
2021-05-01,Third-Party,54478988.33000002
2021-05-01,Same,71645961.78999998
2021-06-01,Third-Party,50630714.860000044
2021-06-01,Same,78518425.87000011
2021-07-01,Same,74267594.16999996
