CLAIM_FROM_MONTH,total_paid,total_claims,providers,paid_3m_avg,paid_6m_avg,paid_12m_avg,cumulative_paid,paid_std_6m,cv_6m
2018-01-01,115262032.71999988,1921232.0,16258,,,,115262032.71999988,,
2018-02-01,73606860.82000007,1595641.0,15285,100927475.4866667,,,188868893.53999996,,
2018-03-01,113913532.92000014,2225984.0,16104,92735340.86666675,,,302782426.4600001,,
2018-04-01,90685628.86000004,1679590.0,15629,98242030.84333336,93886175.92333333,,393468055.3200002,17287395.64262366,0.18413142800427193
2018-05-01,90126930.7499999,1768122.0,16118,86844876.35999997,88541418.82333334,,483594986.07000005,14001985.185481573,0.15814051063965587
2018-06-01,79722069.46999995,1624200.0,14822,84347496.77999994,91747693.59500003,,563317055.54,11950500.612025011,0.13025396218435595
2018-07-01,83193490.11999999,1632977.0,15147,85253356.34666668,86346639.475,91753070.19833334,646510545.66,5524257.758115986,0.06397768102735983
2018-08-01,92844509.4500001,1836894.0,16239,85848402.59000003,87631090.46333332,90368853.75333337,739355055.1100001,7334305.414701658,0.08369524304585123
2018-09-01,81507208.19999999,1612492.0,15128,90914684.14666669,89031228.67333336,94160627.8566667,820862263.3100002,8598907.44235226,0.09658304811116018
2018-10-01,98392334.78999999,2110608.0,16777,92809101.00000004,89619964.47333337,93509532.91250004,919254598.1000001,7928892.9591202205,0.08847239569570997
2018-11-01,98527760.01000011,1839266.0,15358,93391526.35666673,92196288.6833334,94704932.88416672,1017782358.1100003,7934480.868962441,0.08606074042974769
2018-12-01,83254484.27000006,1639409.0,14308,93477893.2200001,96573562.11833338,96415125.33166675,1101036842.3800004,13591503.88695599,0.14073731556367433
2019-01-01,98651435.38000016,1990759.0,16733,100338023.23666674,100672426.35000008,97614731.50000007,1199688277.7600005,11718415.072909312,0.11640143679629614
2019-02-01,119108150.06000002,2097892.0,15957,107953326.34333347,101778775.30500013,99627954.88916676,1318796427.8200004,11773322.185647555,0.11567561262519103
2019-03-01,106100393.59000018,1907384.0,16884,110079657.39000012,103799021.99000013,99979015.72750008,1424896821.4100006,12138230.859656725,0.11693974207990233
2019-04-01,105030428.52000016,2141320.0,17014,107260020.74333352,105609498.52666678,101233822.11000007,1529927249.9300008,8816724.547376432,0.08348420047795395
2019-05-01,110649240.1200002,2037712.0,16777,103265670.71000011,107059621.09500009,101566072.14166676,1640576490.050001,8132383.289132454,0.07596125603616818
2019-06-01,94117343.49,1850080.0,15531,104039584.80000003,103384469.33666675,101806557.20166671,1734693833.540001,6395599.022415742,0.06186228031590286
2019-07-01,107352170.78999995,1928097.0,16500,99508917.92999999,101795217.87000006,105213876.48000003,1842046004.3300009,6760097.658630434,0.06640879404829776
2019-08-01,97057239.51000004,1928047.0,17130,100324765.02999999,101353368.97833337,106397451.28083336,1939103243.8400009,6590869.808803478,0.06502862090565958
2019-09-01,96564884.79000002,1945710.0,16983,98667153.15666668,99814092.41333331,105640284.99250005,2035668128.6300008,4828498.634031084,0.048374918984747356
2019-10-01,102379335.17,2116628.0,18472,100119266.89666665,104818254.4333333,107685329.22583334,2138047463.800001,10254088.606707718,0.09782731702739376
2019-11-01,101413580.72999991,1930605.0,16567,109311743.8366666,105735281.46666664,106097606.15333332,2239461044.5300007,10759589.776178418,0.10175969295140534
2019-12-01,124142315.6099999,2200347.0,16087,112803409.7766666,107896100.64833333,103542214.49416663,2363603360.1400003,9938791.602631524,0.09211446514666097
2020-01-01,112854332.98999996,2163664.0,18322,115672934.39999999,113575440.58166663,103876324.04999997,2476457693.13,11741371.59231327,0.10337949412461767
2020-02-01,110022154.6000001,2122336.0,17390,117839137.32666665,110841843.32833327,104410789.05916667,2586479847.73,16004645.37978398,0.14439172878400597
2020-03-01,130640924.3899999,1807071.0,15132,108880276.87999998,107270336.57499997,105718648.02249998,2717120772.12,20334652.324749198,0.18956454294829087
2020-04-01,85977751.64999992,1387113.0,9982,98867738.74999994,102934393.66666664,109972719.95999998,2803098523.77,18727686.449829523,0.18193808485893992
2020-05-01,79984540.20999998,1390388.0,12192,88029650.00666665,103086296.65166666,110490177.63583331,2883083063.98,18827670.355367914,0.182639894601971
2020-06-01,98126658.16000006,1672200.0,15359,97292316.42333336,103541195.39666665,110292475.13583331,2981209722.14,19060300.092141345,0.1840842190310946
2020-07-01,113765750.90000005,1942513.0,16028,108214652.04333337,106369999.33833332,109574393.7333333,3094975473.04,24398594.191294584,0.22937477054681044
2020-08-01,112751547.07000002,2070677.0,16304,124710348.67000003,110138511.94333333,111234933.6025,3207727020.11,22272522.536459528,0.2022228387098495
2020-09-01,147613748.04000002,2505369.0,17102,122984707.4633333,113314613.69666664,111044009.57416664,3355340768.15,18075895.44783249,0.1595195434917167
2020-10-01,108588827.27999982,2051132.0,18372,118414575.34999992,116214393.79999997,110754127.40499997,3463929595.43,16476959.33920484,0.141780710636937
2020-11-01,99041150.72999993,1897796.0,17496,107718438.92999993,119383570.55333334,114855769.8625,3562970746.16,17695418.606375895,0.14822323142421556
2020-12-01,115525338.78000003,2003488.0,17501,115782433.64333339,118546823.75166665,118700804.02166666,3678496084.94,18183703.95621555,0.15338836909124615
2021-01-01,132780811.4200002,2335549.0,18049,118679072.15333335,115138255.47166662,121286010.90249999,3811276896.36,12750422.941240879,0.1107401088283687
2021-02-01,107731066.25999984,2026043.0,17793,122558072.0133333,119573027.78166665,122342237.085,3919007962.62,14521294.1273156,0.12144289056417165
2021-03-01,127162338.35999987,2458066.0,20267,123363621.91999991,124086994.34666671,122766048.51666667,4046170300.9799995,10520972.025656369,0.08478706476090085
2021-04-01,135197461.14000008,2309301.0,19692,129494916.54000004,126357628.00500001,124617144.68916667,4181367762.1199994,9745183.205308583,0.07712382195812478
2021-05-01,126124950.1200002,2258165.0,18911,130157183.99666673,125300903.61666666,125465841.88250001,4307492712.24,9240049.315102912,0.07374287852999861
2021-06-01,129149140.72999993,2360303.0,19395,127238185.31333339,126985273.28166668,129454942.03166668,4436641852.969999,5601363.7451640805,0.04411034130500839
2021-07-01,126440465.09000006,2197013.0,19209,124475630.02333333,134096033.90666668,132682285.00249998,4563082318.059999,18378643.517161988,0.13705583216543052
2021-08-01,117837284.24999997,2288780.0,20182,138034883.81666666,131358655.9833334,132463048.62583332,4680919602.309999,19377768.46490308,0.14751801714050503
2021-09-01,169826902.10999995,3004997.0,20049,135479126.6533334,134822889.71666667,136834164.21833333,4850746504.419999,20099490.786319196,0.14908070008407867
2021-10-01,118773193.60000019,2459396.0,20105,145170149.41,139006941.99999997,142923606.5116667,4969519698.0199995,21261539.482379824,0.1529530768497866
2021-11-01,146910352.51999983,2457332.0,19771,139979000.1833333,139625193.63499996,144418347.9441667,5116430050.539999,20873434.885422297,0.14949619292911
2021-12-01,154253454.4299999,2449222.0,19394,143771260.61666653,146683055.155,145803602.95583335,5270683504.969999,19118530.956373587,0.1303390561109532
2022-01-01,130149974.8999999,2399449.0,19415,148195960.9,151751179.11666664,147263628.31333336,5400833479.869999,28304480.80494343,0.18651901731309042
2022-02-01,160184453.37000018,2683837.0,18899,163523358.05000004,157478039.905,158660802.91166672,5561017933.239999,23337961.42447792,0.14819819600597486
2022-03-01,200235645.88,3344358.0,21195,171184819.19333348,156784316.19500005,161341235.04250005,5761253579.119999,23772725.79412248,0.15162693801945865
2022-04-01,153134358.3300002,2610684.0,19737,165372671.49000013,155520314.62666675,159316807.14666674,5914387937.449999,24133096.014550194,0.15517648657336333
2022-05-01,142748010.2600002,2475719.0,19560,147517271.20333347,177696412.18833348,162684755.5816667,6057135947.709999,46720507.61873213,0.2629231904199331
2022-06-01,146669445.02,2533823.0,19841,184208005.18333352,175999414.9300001,162656353.50250003,6203805392.73,47659282.6316907,0.27079227877346146
2022-07-01,263206560.27000034,3824729.0,18527,186626158.37000003,166882435.17666677,163950887.6041667,6467011953.0,47326696.43467298,0.28359303592718743
2022-08-01,150002469.8199998,2694055.0,21083,186247599.1500001,167891471.2583334,165827324.74333337,6617014422.82,47038618.016306244,0.28017276675077946
2022-09-01,145533767.36000013,2821717.0,20305,151574937.3333333,168528390.81000003,164923441.45250002,6762548190.18,46654379.38072234,0.27683394564255215
2022-10-01,159188574.81999996,2747631.0,20788,150430623.24999997,172381460.58166668,163581413.53500006,6921736765.0,45426537.305399805,0.26352333454025195
2022-11-01,146569527.56999984,2427210.0,20327,158515322.0133332,153958237.29833326,164404715.90416667,7068306292.57,9174018.168184405,0.059587705920582934
2022-12-01,169787863.64999983,2567941.0,19547,156341537.26333323,153847467.97499993,164633136.10750002,7238094156.219999,9235142.384205103,0.06002791274865703
2023-01-01,152667220.57000002,2686076.0,20874,157264312.6999999,160280391.89333332,165071497.25416663,7390761376.789999,14325765.152490387,0.08937939933428782
2023-02-01,149337853.87999982,2555909.0,20032,162045461.7733334,160917960.54999998,156198441.5158333,7540099230.669999,14352555.519092768,0.08919175628399281
2023-03-01,184131310.87000036,2926151.0,21841,165494383.83666667,160737881.40499997,156346489.59833327,7724230541.539999,14573663.555294905,0.09066726168036685
2023-04-01,163013986.7599999,2818219.0,20120,164211450.11000004,157761533.92666662,158277492.3149999,7887244528.299999,14173827.813697252,0.08984336967898505
2023-05-01,145489052.69999996,2741773.0,21328,153477606.07999983,158438645.7333333,157997547.3891666,8032733580.999999,13977470.084214866,0.08822008052088645
2023-06-01,151929778.77999967,2398405.0,20177,151382907.62999988,158845511.22166666,159545405.4633333,8184663359.779999,13692194.55079417,0.08619818366593253
2023-07-01,156729891.40999997,2431434.0,19299,153479572.33333325,156274592.73666653,158484210.31166664,8341393251.189999,8432993.028486606,0.05396266200927991
2023-08-01,151779046.81000006,2534730.0,21118,159071579.39333323,155077134.22833326,159054803.54416665,8493172297.999999,7768556.196577314,0.05009478821770725
2023-09-01,168705799.95999968,2575589.0,20247,158771360.82666662,158352929.52166665,160950907.03833333,8661878097.96,7025300.888934537,0.044364830572795305
2023-10-01,155829235.7100002,2446794.0,21006,163226286.71,159206886.69666663,158470109.6808333,8817707333.67,6369150.660157204,0.040005497201212194
2023-11-01,165143824.46000022,2612935.0,19780,159342194.00000003,159670961.355,158814041.63249996,8982851158.130001,6252954.988129746,0.03916150397709082
2023-12-01,157053521.82999966,2410485.0,18778,160570561.88333336,163056302.85500002,161375388.97916666,9139904679.960001,6613795.168930624,0.040561419909121994
