HCPCS_CODE,avg_claims_per_bene,median_claims_per_bene,avg_paid_per_bene,total_records
1286Z,33.99841437632135,33.99841437632135,134.15291226215643,1
T2027,32.83427542216643,22.213371721049263,1872.6560541481379,22
M0150,32.54352464390011,28.833333333333332,3857.045658024912,7
31020,31.571428571428573,31.571428571428573,379.9714285714286,1
1439Z,31.474424552429667,31.474424552429667,348.9156905370844,2
M0151,31.0,31.0,5929.37,1
5140X,29.99778244631186,29.99778244631186,1915.6661496265174,2
W00R2,29.786296664557533,29.83783783783784,0.0,5
M0167,29.152748397435897,29.135624999999997,5080.639983814102,4
W9047,28.333333333333332,28.333333333333332,9564.973,1
S9326,28.252173913043478,28.252173913043478,1277.0028260869565,2
T2012,27.77329363375264,25.153846153846153,4714.318322681259,33
M0123,27.70106523627092,30.0,2109.159107089668,25
W9045,27.46153846153846,27.46153846153846,13620.115,1
M0124,27.41862745098039,30.25,3267.752019607843,5
M0152,27.145454545454548,27.145454545454548,4600.883090909091,2
90947,26.86842105263158,26.86842105263158,477.5537145748988,2
1023Z,26.264705882352942,26.264705882352942,6222.233262032085,2
1438Z,26.166666666666668,26.166666666666668,2076.4266666666667,1
M0122,25.98886294893097,30.0,1883.8707103892461,15
M0125,25.926300665456743,30.0,2438.887103599516,10
S9351,25.375,25.375,2131.11875,1
90937,24.563516779373312,11.785714285714286,841.2682550187914,55
W00R4,24.153846153846153,24.153846153846153,0.0,1
S0109,24.032608416787422,26.12962962962963,120.99046064096237,59
W1793,23.597603999372474,24.61764705882353,3954.9558041699815,83
99509,22.410222619802244,26.333333333333332,1344.9844882797174,791
T1000,21.98442854425191,22.933333333333334,8984.047038389575,228
M0149,21.976537082988695,23.076923076923077,3242.4182812241525,3
90945,21.371567935054884,26.956521739130434,1432.2910012998814,39
1434Z,21.228251678321165,29.74074074074074,143.82066000485295,3
W7330,20.9213464011936,20.15833333333333,3800.7759544107807,10
1021Z,20.8777058573854,22.65124504810413,2767.7459355899828,4
T2013,20.803042999493844,21.518394648829428,3668.1619211748057,124
0304,20.522727272727273,20.522727272727273,0.0,1
S5140,20.244401108988537,28.095238095238095,3759.7149698062226,163
77385,19.75,19.75,4574.138333333333,1
M0117,19.66790041046334,19.73913043478261,998.8808266925886,9
99999,19.625,19.625,0.0,1
M0118,19.541862128488862,19.565217391304348,792.3064776467071,15
X0241,19.162037037037038,26.711111111111112,2145.3546666666666,3
W5102,19.110679305443636,19.40277777777778,1256.2774620483622,28
1210Z,18.825242718446603,18.825242718446603,1312.7528155339808,1
M0116,18.73710527218144,18.761348271199537,604.6237072699493,18
W0055,18.70967741935484,18.70967741935484,1783.967741935484,1
Z5834,18.41176470588235,18.41176470588235,7688.558823529412,1
S5125,18.32188588589641,19.73076923076923,1845.0996810679233,2097
T2016,17.828127540384635,24.692857142857143,7562.064123287513,784
G0156,17.810884721978603,14.11111111111111,749.1328860405492,519
T1019,17.725259127686005,18.480740740740742,1668.165012470601,4546
