year,month_num,total_paid,total_claims,providers,month_name
2018,1,115262032.7199999,1921232.0,16258,Jan
2018,2,73606860.82000007,1595641.0,15285,Feb
2018,3,113913532.92000014,2225984.0,16104,Mar
2018,4,90685628.86000006,1679590.0,15629,Apr
2018,5,90126930.74999988,1768122.0,16118,May
2018,6,79722069.46999995,1624200.0,14822,Jun
2018,7,83193490.12000002,1632977.0,15147,Jul
2018,8,92844509.4500001,1836894.0,16239,Aug
2018,9,81507208.19999996,1612492.0,15128,Sep
2018,10,98392334.78999998,2110608.0,16777,Oct
2018,11,98527760.01000011,1839266.0,15358,Nov
2018,12,83254484.27000006,1639409.0,14308,Dec
2019,1,98651435.38000014,1990759.0,16733,Jan
2019,2,119108150.06000002,2097892.0,15957,Feb
2019,3,106100393.5900002,1907384.0,16884,Mar
2019,4,105030428.52000016,2141320.0,17014,Apr
2019,5,110649240.1200002,2037712.0,16777,May
2019,6,94117343.48999998,1850080.0,15531,Jun
2019,7,107352170.78999993,1928097.0,16500,Jul
2019,8,97057239.51000004,1928047.0,17130,Aug
2019,9,96564884.79000002,1945710.0,16983,Sep
2019,10,102379335.17000002,2116628.0,18472,Oct
2019,11,101413580.7299999,1930605.0,16567,Nov
2019,12,124142315.6099999,2200347.0,16087,Dec
2020,1,112854332.98999996,2163664.0,18322,Jan
2020,2,110022154.60000011,2122336.0,17390,Feb
2020,3,130640924.3899999,1807071.0,15132,Mar
2020,4,85977751.64999992,1387113.0,9982,Apr
2020,5,79984540.21,1390388.0,12192,May
2020,6,98126658.16000006,1672200.0,15359,Jun
2020,7,113765750.90000005,1942513.0,16028,Jul
2020,8,112751547.07000002,2070677.0,16304,Aug
2020,9,147613748.04000002,2505369.0,17102,Sep
2020,10,108588827.27999984,2051132.0,18372,Oct
2020,11,99041150.72999994,1897796.0,17496,Nov
2020,12,115525338.78000005,2003488.0,17501,Dec
2021,1,132780811.42000021,2335549.0,18049,Jan
2021,2,107731066.25999981,2026043.0,17793,Feb
2021,3,127162338.35999988,2458066.0,20267,Mar
2021,4,135197461.14000008,2309301.0,19692,Apr
2021,5,126124950.12000021,2258165.0,18911,May
2021,6,129149140.72999994,2360303.0,19395,Jun
2021,7,126440465.09000006,2197013.0,19209,Jul
2021,8,117837284.24999997,2288780.0,20182,Aug
2021,9,169826902.10999995,3004997.0,20049,Sep
2021,10,118773193.60000017,2459396.0,20105,Oct
2021,11,146910352.51999983,2457332.0,19771,Nov
2021,12,154253454.4299999,2449222.0,19394,Dec
2022,1,130149974.8999999,2399449.0,19415,Jan
2022,2,160184453.37000018,2683837.0,18899,Feb
2022,3,200235645.88,3344358.0,21195,Mar
2022,4,153134358.33000016,2610684.0,19737,Apr
2022,5,142748010.2600002,2475719.0,19560,May
2022,6,146669445.02,2533823.0,19841,Jun
2022,7,263206560.27000034,3824729.0,18527,Jul
2022,8,150002469.81999978,2694055.0,21083,Aug
2022,9,145533767.3600001,2821717.0,20305,Sep
2022,10,159188574.81999993,2747631.0,20788,Oct
2022,11,146569527.56999984,2427210.0,20327,Nov
2022,12,169787863.64999986,2567941.0,19547,Dec
2023,1,152667220.56999996,2686076.0,20874,Jan
2023,2,149337853.8799998,2555909.0,20032,Feb
2023,3,184131310.87000036,2926151.0,21841,Mar
2023,4,163013986.75999987,2818219.0,20120,Apr
2023,5,145489052.69999996,2741773.0,21328,May
2023,6,151929778.77999967,2398405.0,20177,Jun
2023,7,156729891.40999994,2431434.0,19299,Jul
2023,8,151779046.8100001,2534730.0,21118,Aug
2023,9,168705799.9599997,2575589.0,20247,Sep
2023,10,155829235.71000022,2446794.0,21006,Oct
2023,11,165143824.46000022,2612935.0,19780,Nov
2023,12,157053521.8299997,2410485.0,18778,Dec
2024,1,159514339.36000016,2544952.0,20172,Jan
2024,2,172091095.81000015,2671438.0,20054,Feb
2024,3,154361742.58,2345663.0,19660,Mar
2024,4,167141170.17999968,2523259.0,20266,Apr
2024,5,176225220.8600007,2653485.0,19817,May
2024,6,144848537.50000015,2089153.0,17901,Jun
2024,7,138483741.89999986,2192711.0,18644,Jul
2024,8,147938149.04999998,2418139.0,19031,Aug
2024,9,156045448.1699998,2544450.0,18226,Sep
2024,10,165041706.98999998,2706631.0,18781,Oct
2024,11,117927267.21000007,1921661.0,15194,Nov
2024,12,35605400.54000002,610844.0,6836,Dec
