count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max,HCPCS_CODE
135766.0,2436.3393830561413,13544.769735459435,-242.54,0.0,0.0,32.675,479.0775,1036.97,2217.3,4791.2,7928.1325,21631.646000000037,2623551.78,99213
117943.0,2543.858396343997,9746.462859069421,-442.41,0.0,0.0,206.75200000000007,688.14,1316.03,2523.5299999999997,4938.852000000001,7800.652999999999,19931.1388,1707739.53,99214
39967.0,5047.858953386543,19491.89954632643,0.0,197.29880000000003,622.96,822.96,1241.135,2078.79,3886.0150000000003,7449.994000000004,12518.822,60311.984199999635,813435.81,99284
32886.0,4903.405608161528,22503.905505105377,0.0,75.28750000000011,412.40749999999997,524.925,788.2325000000001,1474.29,3342.7025000000003,7371.06,13202.9775,65439.24900000058,1000031.61,99283
28880.0,5142.5638518005535,21014.788311116547,0.0,189.13640000000007,664.872,936.0,1456.0,2321.1549999999997,3969.5074999999997,7146.727000000001,11833.232999999998,56253.94569999989,1129105.29,99285
27401.0,315.17760300718953,3340.7766998252687,0.0,0.0,0.0,0.0,5.0,34.38,77.74,202.44,600.0,5096.49,275491.25,36415
24154.0,20111.594077171485,71082.94615935136,-11518.42,0.0,723.3370000000001,1546.191,3479.8875,8405.335,19693.86,40174.325000000004,61394.74499999996,177226.35510000034,5094550.87,T1015
22786.0,1710.1236855964191,2846.178315421355,-98.29,0.0,0.0,241.8,428.41999999999996,840.0,1859.79,3900.585,6034.715,13192.625000000025,88753.45,D0120
22683.0,529.259804258696,3079.8348466392313,-1.27,0.0,0.0,0.0,33.06,115.96,253.935,738.2779999999998,1795.678,7976.145600000008,194837.57,85025
18848.0,6306.829860462649,14043.221351097192,0.0,0.0,0.0,1085.814,2193.7200000000003,3686.5299999999997,6241.8775000000005,11302.614999999996,17935.54799999999,49395.78179999976,442806.7,90837
