CLAIM_FROM_MONTH,total_paid,total_claims,total_bene,active_providers,active_codes,avg_cost_per_claim,avg_cost_per_bene
2018-01-01,115262032.7199999,1921232.0,1078786.0,16258,1959,45.045569241687474,80.99726400115158
2018-02-01,73606860.82000004,1595641.0,1015268.0,15285,1903,43.29308758946271,72.99898526357352
2018-03-01,113913532.92000014,2225984.0,1152487.0,16104,1967,43.14493882099994,75.27515440061171
2018-04-01,90685628.86000006,1679590.0,1086589.0,15629,1923,43.69962984771966,74.34194932890085
2018-05-01,90126930.74999987,1768122.0,1088136.0,16118,1986,45.22096319573008,82.63358439002594
2018-06-01,79722069.46999997,1624200.0,994816.0,14822,1903,45.58392839543605,81.70541430813589
2018-07-01,83193490.12,1632977.0,1027414.0,15147,1861,45.87546038603119,82.55901261814759
2018-08-01,92844509.45000009,1836894.0,1154170.0,16239,1956,44.679415037049594,83.35359855879574
2018-09-01,81507208.19999997,1612492.0,1009133.0,15128,1848,44.399352204544115,81.65299254344926
2018-10-01,98392334.78999999,2110608.0,1233927.0,16777,2001,43.48361841126542,79.43376095826832
2018-11-01,98527760.01000011,1839266.0,1040940.0,15358,1910,43.846907991165324,79.07621069509943
2018-12-01,83254484.27000007,1639409.0,956203.0,14308,1845,46.876512406836895,86.54596844825788
2019-01-01,98651435.38000014,1990759.0,1188025.0,16733,1997,48.59848232566277,85.02416459950337
2019-02-01,119108150.06,2097892.0,1108972.0,15957,1991,46.782893717527905,85.00111479929184
2019-03-01,106100393.59000018,1907384.0,1170772.0,16884,2018,49.028988185408494,85.7101175673025
2019-04-01,105030428.52000016,2141320.0,1201790.0,17014,2049,47.752186366456506,82.41745784408934
2019-05-01,110649240.12000021,2037712.0,1185676.0,16777,2019,47.23324997294207,84.76383176656128
2019-06-01,94117343.49,1850080.0,1087009.0,15531,1919,45.429679907177714,80.37366028899153
2019-07-01,107352170.78999992,1928097.0,1181124.0,16500,1950,47.315138837599534,87.65668282521251
2019-08-01,97057239.51000004,1928047.0,1244235.0,17130,2009,47.8063313626612,84.6497404821691
2019-09-01,96564884.79000002,1945710.0,1164162.0,16983,1964,46.27807884485837,88.33201768124479
2019-10-01,102379335.17,2116628.0,1316732.0,18472,2118,45.36387418348842,81.89095076278474
2019-11-01,101413580.7299999,1930605.0,1158581.0,16567,1973,47.25547295271296,86.59947029513158
2019-12-01,124142315.6099999,2200347.0,1211525.0,16087,1950,48.65509093556392,90.67278206125224
2020-01-01,112854332.98999996,2163664.0,1397484.0,18322,2102,49.08317555172261,87.42581363854873
2020-02-01,110022154.60000011,2122336.0,1333115.0,17390,2029,49.69221686502697,84.38338567173001
2020-03-01,130640924.3899999,1807071.0,975365.0,15132,1937,50.62324251276887,96.4744298543969
2020-04-01,85977751.64999992,1387113.0,606043.0,9982,1522,52.74746518893058,114.7154887828948
2020-05-01,79984540.20999998,1390388.0,756165.0,12192,1762,51.641323093113705,100.06584362966855
2020-06-01,98126658.16000006,1672200.0,1053219.0,15359,1912,52.01733595308418,94.37375497752355
2020-07-01,113765750.90000004,1942513.0,1169594.0,16028,2003,49.60415803143052,93.25964783680672
2020-08-01,112751547.07000002,2070677.0,1126310.0,16304,1954,51.02722983763221,86.95940145068191
2020-09-01,147613748.04000005,2505369.0,1323166.0,17102,2028,49.90949572704191,90.75707090967836
2020-10-01,108588827.2799998,2051132.0,1286959.0,18372,2069,46.84632608158833,86.9112582012366
2020-11-01,99041150.72999994,1897796.0,1202609.0,17496,2017,47.81404965894188,85.37347471631847
2020-12-01,115525338.78000005,2003488.0,1175787.0,17501,2092,49.2861542831779,86.55692799577984
2021-01-01,132780811.42000021,2335549.0,1257250.0,18049,2053,51.30312651196303,91.07029370279758
2021-02-01,107731066.25999981,2026043.0,1254746.0,17793,2037,47.22215324072896,87.63741224159128
2021-03-01,127162338.35999988,2458066.0,1617338.0,20267,2188,48.679793589260484,87.54201534725094
2021-04-01,135197461.14000008,2309301.0,1488665.0,19692,2163,49.33537362441071,86.39803674467004
