BILLING_PROVIDER_NPI_NUM,early_paid,late_paid,total_paid,active_months,growth_pct,growth_abs
1487602736,16114.389999999994,4704339.08,4720453.470000001,84,29093.404652611745,4688224.69
1326502865,27778.48,4725352.799999998,4753131.279999998,17,16910.84004596363,4697574.3199999975
1942576905,33536.22,2279548.14,2313084.3600000003,17,6697.27214337215,2246011.92
1497837280,10086.37,583501.5499999999,593587.92,33,5685.050022951764,573415.1799999999
1366807760,33204.28,1821351.9400000002,1854556.22,24,5385.292679136545,1788147.6600000001
1174542013,24609.57,1274796.8699999999,1299406.44,29,5080.0859177953935,1250187.2999999998
1740648856,16741.06,786986.2300000001,803727.29,13,4600.934289704475,770245.17
1376931295,18130.189999999995,776554.1499999999,794684.34,36,4183.210214564768,758423.96
1013514199,18011.300000000003,743331.4499999998,761342.7499999999,39,4027.028310005384,725320.1499999998
1659849040,11797.900000000001,470438.66,482236.56,13,3887.477940989497,458640.75999999995
1093873382,42316.75,1642716.99,1685033.74,20,3781.9545215547037,1600400.24
1265595664,22307.56,803390.81,825698.3700000001,16,3501.4284395066065,781083.25
1881841120,11723.070000000002,419257.85,430980.92,28,3476.3486015182025,407534.77999999997
1144251885,12758.43,454284.7899999999,467043.2199999999,12,3460.663733703911,441526.3599999999
1366653545,22355.38,774347.17,796702.5499999999,22,3363.806788343567,751991.79
1851729800,16947.51,549237.8999999999,566185.41,24,3140.8176776411397,532290.3899999999
1003028549,20545.92,656299.8300000001,676845.75,13,3094.3073369311282,635753.91
1962765693,18847.12,589719.7100000001,608566.8300000001,12,3028.9645845094637,570872.5900000001
1750845863,16014.39,497510.87,513525.26,31,3006.6488951499246,481496.48
1689282147,16083.470000000001,479317.1600000001,495400.63,42,2880.184997391732,463233.69000000006
1639131436,60683.52,1789106.89,1849790.41,14,2848.2582585848677,1728423.3699999999
1083617823,11050.800000000001,319249.76999999996,330300.56999999995,43,2788.929036811814,308198.97
1871708313,11344.71,318525.68,329870.39,16,2707.702268281869,307180.97
1043382302,58649.75,1605796.9500000004,1664446.7000000007,12,2637.9433842429003,1547147.2000000004
1326096116,10927.74,297375.45999999996,308303.19999999995,14,2621.2896719724295,286447.72
1790221703,14654.17,393530.78,408184.95,51,2585.4525367182177,378876.61000000004
1093756025,26386.44,707407.2600000002,733793.7000000001,41,2580.9499879483565,681020.8200000003
1336166347,17490.2,466653.05,484143.24999999994,21,2568.0829836136804,449162.85
1669474979,38889.46,982314.66,1021204.1200000001,12,2425.914887992788,943425.2000000001
1992012306,45391.07,1110857.9100000001,1156248.9800000002,17,2347.3049654921115,1065466.84
1730135864,12333.849999999999,295756.09,308089.94000000006,20,2297.921897866441,283422.24000000005
1124092036,10588.430000000002,247307.91000000003,257896.33999999997,47,2235.642866789505,236719.48000000004
1689639544,110179.17999999998,2508981.809999999,2619160.989999999,45,2177.1832300803103,2398802.629999999
1679875744,13671.94,310820.86,324492.8,26,2173.421767503368,297148.92
1548568421,25185.640000000003,572191.7300000001,597377.3700000001,41,2171.8967236885783,547006.0900000001
1669982237,14776.1,334414.79999999993,349190.89999999997,24,2163.2142446247653,319638.69999999995
1932288859,39640.969999999994,887013.88,926654.8499999999,40,2137.619008818402,847372.91
1669708756,23664.13,526867.9599999998,550532.0899999999,20,2126.4412847630565,503203.82999999984
1386164580,29115.51,648013.9500000001,677129.46,12,2125.6658049266525,618898.4400000001
1972709970,10796.32,239207.62999999995,250003.94999999995,38,2115.6404219215433,228411.30999999994
1124181953,21311.53,469460.86,490772.39,17,2102.8491619325314,448149.32999999996
1740672732,17237.58,375293.9200000001,392531.5000000002,42,2077.1845003765034,358056.3400000001
1326297441,11015.57,237306.66999999998,248322.23999999996,14,2054.2840724538087,226291.09999999998
1568726214,37405.619999999995,803236.6099999999,840642.2299999997,52,2047.368791106791,765830.9899999999
1881697381,16929.5,361554.56999999995,378484.06999999995,19,2035.6482471425616,344625.06999999995
1912510041,55509.53999999999,1137281.2900000007,1192790.8300000003,48,1948.8033048013021,1081771.7500000007
1326036138,23254.060000000005,461102.5,484356.56,12,1882.8902995863946,437848.44
1982666111,16334.45,323267.8,339602.25,39,1879.0553094839431,306933.35
1831108497,28505.25,562315.8499999997,590821.1000000002,51,1872.6746827338816,533810.5999999997
1558659714,11614.490000000002,228618.64999999997,240233.14,36,1868.3916383758558,217004.15999999997
1154655439,18662.310000000005,359493.96,378156.27,29,1826.310087014951,340831.65
1447615711,12835.479999999998,246696.58999999994,259532.06999999998,51,1821.9895944678342,233861.10999999993
1710137534,17622.179999999997,338456.22000000003,356078.4,16,1820.6262789280333,320834.04000000004
1649525569,14034.62,262374.26000000007,276408.88,44,1769.478902884439,248339.64000000007
1194179150,49400.310000000005,922093.12,971493.4300000002,35,1766.5735498420959,872692.8099999999
1770573586,69052.73,1285605.57,1354658.2999999998,54,1761.7737053987587,1216552.84
1386273100,13319.4,245504.08999999997,258823.48999999996,18,1743.2068261333093,232184.68999999997
1730391368,51514.969999999994,946331.28,997846.2500000002,52,1737.0024868499393,894816.31
1730125675,23465.37,430443.69999999995,453909.06999999995,34,1734.3784905160242,406978.32999999996
1770020018,54552.85000000001,995740.2799999998,1050293.13,22,1725.2763696122195,941187.4299999998
1801307368,22911.78,415065.47000000003,437977.25,42,1711.581073142288,392153.69000000006
1962828277,12052.89,217839.52999999994,229892.41999999995,16,1707.363462206989,205786.63999999996
1245272657,18943.959999999992,337147.50999999995,356091.47,50,1679.7097861270825,318203.54999999993
1245266337,111129.84000000001,1977399.6400000001,2088529.4800000002,36,1679.359747121025,1866269.8
