BILLING_PROVIDER_NPI_NUM,total_paid,total_claims,total_bene,procedure_count,first_month,last_month
1376609297,143174895.95000002,1726466.0,99002.0,4,2020-02,2024-01
1417262056,103250747.98,1400920.0,81343.0,11,2018-03,2024-10
1699703827,70256171.61000004,317129.0,104286.0,59,2018-01,2024-09
1699725143,51161412.5,1872727.0,265784.0,24,2018-01,2024-12
1396051694,42960501.05,266000.0,12938.0,3,2019-04,2024-02
1356709976,39024464.84999999,92036.0,3803.0,25,2018-02,2024-06
1770022691,33944564.0,244132.0,10625.0,2,2020-12,2024-05
1710176151,33737206.97999999,582239.0,35307.0,26,2018-05,2024-06
1447393319,32867245.44,200383.0,9327.0,3,2018-01,2024-10
1083783013,29519778.29,170413.0,7392.0,3,2018-06,2022-03
1750504064,28352727.81,8328.0,4517.0,8,2018-04,2023-11
1275657553,22606487.689999998,164662.0,8325.0,1,2020-04,2021-09
1982757688,21616518.210000005,18970.0,5181.0,13,2018-01,2024-11
1396049987,21238231.38,43691.0,3263.0,2,2021-07,2023-10
1932106010,20048312.17,98873.0,4408.0,1,2018-11,2024-04
1184703415,19771435.27,100931.0,4829.0,1,2019-06,2021-11
1518098359,18131409.5,204220.0,8030.0,1,2019-02,2019-02
1528263910,17653885.86,48704.0,16302.0,24,2018-01,2024-10
1902341050,16675453.21,127946.0,6085.0,1,2021-12,2024-11
1518096411,16336050.18,20241.0,3256.0,8,2018-03,2022-05
1518049485,15319728.950000001,89951.0,4627.0,2,2020-03,2024-10
1538144910,14869649.67000001,937834.0,807858.0,417,2018-01,2024-12
1134250475,14865633.3,37267.0,3469.0,7,2018-01,2024-07
1447261540,14329148.82,81775.0,24398.0,36,2018-01,2024-11
1184166027,12650625.83,108399.0,30653.0,27,2018-01,2024-12
1508025370,12366257.34,72970.0,3637.0,1,2022-12,2023-11
1326168840,12319149.06,41142.0,6150.0,1,2022-12,2022-12
1952346876,12178783.169999998,25252.0,1546.0,10,2020-04,2023-07
1336117621,12065072.21,75098.0,10395.0,8,2018-09,2024-05
1629436241,12038424.490000002,78353.0,9525.0,28,2018-01,2024-06
1659402303,11945168.540000001,47144.0,11512.0,34,2018-01,2024-03
1821456526,11805053.02,24585.0,1026.0,5,2018-02,2024-03
1750823381,11799688.69,75320.0,3266.0,1,2020-09,2022-11
1417099789,11771769.099999994,34949.0,11103.0,32,2018-01,2024-10
1750769345,11499811.219999999,71288.0,3021.0,1,2022-10,2024-05
1366780850,11422126.75,38511.0,38493.0,3,2019-10,2024-09
1821275801,11169634.91,56626.0,2461.0,3,2022-03,2024-10
1861520272,10879916.880000003,282741.0,44391.0,8,2019-06,2024-03
1730438706,10425431.75,64210.0,2898.0,3,2019-02,2021-01
1578778726,10415191.280000005,280771.0,206409.0,506,2018-01,2024-12
