CLAIM_FROM_MONTH,total_paid,total_claims,total_bene,active_providers,active_codes,avg_cost_per_claim,avg_cost_per_bene
2018-01-01,4649525093.470034,93850903.0,57007629.0,181019,5331,44.000363505167144,77.09055889958088
2018-02-01,4218501080.710027,86647003.0,52348971.0,175730,5275,43.67303684150465,75.70639038160493
2018-03-01,4526442149.39999,91261972.0,55280696.0,180739,5390,43.9001607119997,77.9608950983184
2018-04-01,4520323776.850056,89881011.0,54031397.0,178821,5341,44.54550998317224,78.34036472152005
2018-05-01,4711106321.160041,92354384.0,54877604.0,179175,5402,45.119168684919394,80.97838612029616
2018-06-01,4248210924.7699866,81820240.0,49872584.0,169562,5328,45.27413039067619,80.54545862876387
2018-07-01,4324783256.970039,84253908.0,51298505.0,169192,5272,44.88758751731986,81.23859739146243
2018-08-01,4817091160.320008,93992527.0,56963244.0,178329,5462,44.49513807955781,79.609229285576
2018-09-01,4303084798.780021,84180940.0,50550109.0,168591,5263,44.6112383414879,79.8925953715731
2018-10-01,4950832320.510006,98447076.0,58964416.0,181274,5471,44.10878758783425,80.12026226239433
2018-11-01,4506892572.220024,85295732.0,51221639.0,169822,5341,45.7783946689866,83.31767734477579
2018-12-01,4429509924.400028,83033778.0,48291051.0,164882,5204,46.88807319055751,85.98888249805465
2019-01-01,5309991308.369984,101100995.0,59877876.0,181553,5504,47.20974742712541,84.85559022092417
2019-02-01,4857802124.52002,93753622.0,55667069.0,175972,5402,46.36044687442976,82.5289907349106
2019-03-01,5370432682.990013,102111706.0,60368083.0,182208,5487,46.577518179203324,83.97529591326749
2019-04-01,5377014226.470024,102663552.0,59943028.0,184273,5519,46.9530970702499,85.16271201538648
2019-05-01,5442906849.599981,102570491.0,59251801.0,181989,5507,47.30927827810505,86.75472547888418
2019-06-01,4872483221.650005,89558099.0,53512678.0,172759,5414,47.48038601329131,86.13760414872392
2019-07-01,5227755222.520023,97101180.0,57284712.0,177545,5498,47.19494080247045,87.15046536211382
2019-08-01,5269937934.19001,101037714.0,60285245.0,182889,5578,46.394113740684865,84.40077127648404
2019-09-01,5315985083.039944,101826417.0,59459357.0,182121,5455,46.21713708580619,83.93097494123072
2019-10-01,5913029448.639981,114259886.0,67292316.0,193439,5732,45.91683897673663,84.00915722646803
2019-11-01,5376953255.039975,98661425.0,58017465.0,179513,5449,47.418808177255166,85.2677506234583
2019-12-01,5307632811.399977,97250587.0,57381535.0,176593,5467,48.06020106986313,86.67429010905636
2020-01-01,6136183846.989974,114758399.0,68499837.0,192140,5692,48.416459221745654,86.33939472827674
2020-02-01,5556944592.799991,104362135.0,62803096.0,186345,5609,48.55810345862926,85.90155002117217
2020-03-01,5189160147.830018,88198910.0,49893333.0,168286,5351,50.2248350872251,93.98290605644148
