CLAIM_FROM_MONTH,total_paid,total_claims,providers,paid_3m_avg,paid_6m_avg,paid_12m_avg,cumulative_paid,paid_std_6m,cv_6m
2018-01-01,4649525093.47,93850903.0,181019,,,,4649525093.47,,
2018-02-01,4218501080.7099867,86647003.0,175730,4464822774.526666,,,8868026174.179987,,
2018-03-01,4526442149.400012,91261972.0,180739,4421755668.986676,,,13394468323.579998,,
2018-04-01,4520323776.85003,89881011.0,178821,4585957415.803342,4479018224.393329,,17914792100.430027,203977374.28560573,0.04554064396851922
2018-05-01,4711106321.159986,92354384.0,179175,4493213674.259991,4424894584.976659,,22625898421.59001,192444001.62840527,0.04349120593330935
2018-06-01,4248210924.7699585,81820240.0,169562,4428033500.966642,4524659598.245,,26874109346.35997,217566080.39249462,0.048084518993844964
2018-07-01,4324783256.969983,84253908.0,169192,4463361780.686658,4487433373.141672,4517191948.296674,31198892603.329952,235564199.2932802,0.05249419427666303
2018-08-01,4817091160.320032,93992527.0,178329,4481653072.023353,4559184797.085003,4572230799.538341,36015983763.64999,303387430.4192697,0.06654422751480614
2018-09-01,4303084798.780044,84180940.0,168591,4690336093.203362,4525149172.261678,4625505886.522512,40319068562.43003,294252765.3033746,0.06502609176004391
2018-10-01,4950832320.510015,98447076.0,181274,4586936563.836698,4555365672.200019,4695838430.988345,45269900882.94005,268289880.92734024,0.05889535555062682
2018-11-01,4506892572.220033,85295732.0,169822,4629078272.376686,4719567014.100022,4767229301.79001,49776793455.16008,377999052.24777865,0.08009189214147848
2018-12-01,4429509924.400011,83033778.0,164882,4748797934.996682,4726352174.800025,4828212679.16001,54206303379.56009,380457139.16908914,0.0804969932620788
2019-01-01,5309991308.370002,101100995.0,181553,4865767785.763351,4904243488.835018,4880235370.566682,59516294687.93009,392313824.76188135,0.07999476894958855
2019-02-01,4857802124.520041,93753622.0,175972,5179408705.293349,4975273806.495018,4955483034.362519,64374096812.450134,438319632.3374754,0.08809960001905161
2019-03-01,5370432682.9900055,102111706.0,182208,5201749677.993356,5131276186.058341,4993220265.51835,69744529495.44014,403459967.84524226,0.07862760709342474
2019-04-01,5377014226.470019,102663552.0,184273,5396784586.353332,5205105068.933345,5077628622.540015,75121543721.91016,266718359.7033873,0.05124168603152607
2019-05-01,5442906849.599971,102570491.0,181989,5230801432.573339,5191399054.625014,5157811716.550847,80564450571.51013,262327350.56769934,0.050531147347263175
2019-06-01,4872483221.650028,89558099.0,172759,5181048431.256675,5260088356.236675,5230316773.452513,85436933793.16016,205256092.31972504,0.03902141531070693
2019-07-01,5227755222.520023,97101180.0,177545,5123392126.120019,5251013756.245013,5303493680.702517,90664689015.68018,200551639.53578088,0.038192937372762636
2019-08-01,5269937934.190005,101037714.0,182889,5271226079.916687,5340349626.606675,5372343058.920846,95934626949.87018,339295762.6269658,0.06353437253181467
2019-09-01,5315985083.040031,101826417.0,182121,5499650821.956676,5329357360.846684,5430604931.277511,101250612032.91022,336364366.38568974,0.06311537088071177
2019-10-01,5913029448.63999,114259886.0,193439,5535322595.573349,5401882292.471688,5415498886.680844,107163641481.5502,255297362.93543506,0.04726081560333686
