BILLING_PROVIDER_NPI_NUM,total_paid,total_claims,total_bene,procedure_count,first_month,last_month
1417262056,3958618647.4199986,50164883.0,2973920.0,25,2018-01,2024-12
1699703827,3390034047.290001,15466861.0,5267006.0,114,2018-01,2024-11
1376609297,2236361661.48,25608692.0,1445876.0,5,2018-01,2024-12
1922467554,1656572247.51,11930031.0,657923.0,6,2018-01,2024-12
1699725143,1544554906.1200016,52601459.0,8183158.0,44,2018-01,2024-12
1538649983,1373577328.8999984,14494997.0,674533.0,5,2018-10,2024-12
1629436241,1304183510.3100002,8193394.0,598663.0,71,2018-01,2024-06
1710176151,1278671125.2299986,16873701.0,1170018.0,65,2018-01,2024-12
1982757688,1129346791.7200003,956427.0,301941.0,20,2018-01,2024-12
1528263910,873921479.2300006,2362059.0,816286.0,55,2018-01,2024-10
1962650622,785083431.17,5239115.0,214436.0,4,2018-01,2024-10
1073055208,728989807.8999999,5611099.0,1571423.0,38,2018-01,2024-12
1538144910,714660397.3100002,52236992.0,46363249.0,736,2018-01,2024-12
1396051694,708573502.0199999,4562033.0,223851.0,17,2018-01,2024-10
1518096411,702014166.4999999,808747.0,102753.0,13,2018-01,2024-10
1447261540,695437055.0999999,4461771.0,1163038.0,77,2018-01,2024-11
1750504064,691157830.3599999,639056.0,104023.0,14,2018-01,2024-10
1417099789,678226397.8400002,2989948.0,649554.0,58,2018-01,2024-12
1356709976,647747705.8399999,2422172.0,188343.0,52,2018-01,2024-06
1780816991,634657634.0899998,3987156.0,186961.0,10,2018-01,2024-12
1376097303,632572482.8399998,3893371.0,177090.0,4,2018-02,2024-11
1134250475,603768004.6599995,754734.0,139135.0,10,2018-01,2024-10
1083783013,600207673.4699999,3308815.0,146394.0,7,2018-01,2024-12
1720151046,585251996.9499998,3074587.0,140530.0,10,2018-01,2024-12
1700090834,571728678.4000003,7597423.0,768656.0,35,2018-01,2024-11
1376554592,568309128.2900003,797064.0,587588.0,5,2018-01,2024-12
1396049987,566290203.8299997,1479838.0,125424.0,16,2019-10,2024-12
1720145378,555861638.9099996,5539973.0,337979.0,45,2018-01,2024-12
1275657553,544488799.9600002,3775937.0,185728.0,8,2018-01,2024-11
1659402303,541555894.3099996,3081135.0,639159.0,57,2018-01,2024-04
1326168840,532742833.33000004,1617590.0,315089.0,3,2018-01,2024-11
1578778726,532385263.31000024,11656504.0,8595455.0,1349,2018-01,2024-12
1457410904,521259871.80999976,3064110.0,139114.0,5,2018-01,2024-12
1194934471,505527774.5100001,3206006.0,809628.0,55,2018-01,2024-11
1184703415,481725185.35999984,2247751.0,102199.0,6,2018-01,2024-11
1518098359,477543979.33,5144418.0,196100.0,2,2018-01,2021-10
1952476988,475371117.1700003,8625185.0,7398018.0,1356,2018-01,2024-12
1245354000,460541021.68999994,477474.0,71922.0,14,2018-01,2024-10
1518049485,453928682.60999984,2537619.0,131300.0,8,2018-01,2024-12
1043386659,448049113.1000002,2141049.0,914964.0,53,2018-01,2024-11
1871821710,444368735.05000013,2434956.0,122125.0,6,2018-01,2024-12
1093834020,442894243.96999973,24741388.0,2216170.0,16,2018-01,2024-11
1124304621,438990190.60999995,2528748.0,220793.0,2,2018-02,2024-10
1679525919,427703317.1300002,7896244.0,6387411.0,1500,2018-01,2024-12
1932341898,421668980.25,125067.0,121299.0,2,2018-01,2024-10
1124494059,419688064.6799999,483580.0,466792.0,1,2019-09,2024-10
1134260078,406320927.8299999,15836615.0,2371138.0,21,2018-01,2024-12
1447393319,398845017.69,2222211.0,103376.0,6,2018-01,2024-11
1770022691,397745289.69,2888919.0,139605.0,4,2018-02,2024-12
1104963347,393738714.3199997,2444090.0,765866.0,73,2018-01,2024-12
1053321869,390333965.4600001,6751139.0,353042.0,8,2018-01,2024-12
1730438706,387725839.61,2244956.0,104475.0,7,2018-01,2024-12
1952346876,385025297.29999965,877941.0,62334.0,18,2019-09,2024-12
1346218294,383623070.52999973,7265884.0,6297663.0,1186,2018-01,2024-12
1457562811,382282320.91,2425971.0,101988.0,7,2018-01,2024-12
1033571658,381954352.15000004,2574554.0,110793.0,4,2018-01,2024-12
1528315397,381092049.18999994,2386395.0,99345.0,7,2018-01,2024-12
1134152986,379716539.5499998,5393236.0,4172156.0,869,2018-01,2024-12
1265926687,372497476.7600001,2682040.0,141866.0,8,2018-08,2024-12
