CLAIM_FROM_MONTH,1376609297,1417262056,1528263910,1538649983,1629436241,1699703827,1699725143,1710176151,1922467554,1982757688,market_total,share_1417262056,share_1699703827,share_1376609297,share_1922467554,share_1699725143,share_1538649983,share_1629436241,share_1710176151,share_1982757688,share_1528263910,top10_combined
2018-01-01,403747.0,11549975.13,17930315.29,0.0,17140056.95,41796469.68,9138439.31,5660253.159999999,6058467.59,11969883.26,4649525093.470011,0.2484119323545812,0.898940619520491,0.008683618044497476,0.13030293348687952,0.19654564985216255,0.0,0.3686410247376064,0.1217383075951025,0.25744313708105393,0.3856375636122943,2.616344786284669
2018-02-01,516885.79000000004,40732527.11000001,11944595.760000002,0.0,6509274.949999999,40997689.53,15357428.990000002,1147197.29,5413637.11,9712780.25,4218501080.7099986,0.9655687252578463,0.9718544275707486,0.012252830569691477,0.12833082192997455,0.36404942647105487,0.0,0.1543030290964024,0.027194429207232064,0.230242450201418,0.2831478653548112,3.13694400565918
2018-03-01,466859.94,13135265.68,19810211.75,0.0,18449989.08,40892532.25000001,10604194.59,2094943.9,6260503.13,15555344.28,4526442149.399997,0.290189628994621,0.9034144456131075,0.010314059576833092,0.13830958009327174,0.23427217757340918,0.0,0.40760465882559965,0.04628235225049094,0.3436549892074052,0.4376552509927902,2.8116971431275286
2018-04-01,437402.11,45554199.54,6624352.379999999,0.0,12254095.51,38232641.19,19063527.310000002,7060554.18,6950411.510000001,8177054.72,4520323776.849974,1.0077640848051117,0.8457943076069374,0.009676344695485672,0.1537591520677188,0.4217292444322337,0.0,0.27108888909146617,0.15619576226285736,0.18089533236263555,0.14654597119625434,3.1934490885207008
2018-05-01,32187409.61,36635146.87,9089484.74,0.0,13693478.28,41330929.29000001,9888018.95,8070753.590000001,146696.92,13591077.47,4711106321.1600275,0.7776336251519629,0.8773083533343604,0.6832240118510935,0.0031138528829440315,0.20988740809324904,0.0,0.2906637495845821,0.1713133400057233,0.2884901452755461,0.1929373722510655,3.494571858430527
2018-06-01,32541252.33,2798155.57,6992404.2299999995,0.0,10062679.69,30985390.14,10792543.49,9841388.399999999,7639429.94,12050520.059999999,4248210924.7699842,0.06586668175266047,0.7293750401924235,0.7659989794824492,0.17982699247480585,0.25404914400723533,0.0,0.2368686458416571,0.23165959916486142,0.2836610581112439,0.16459644668840442,2.9119025877157414
2018-07-01,566553.7000000001,15521487.87,6686621.460000001,0.0,23960477.939999998,36745997.13000001,14057660.650000002,7877786.2,0.0,10002527.559999999,4324783256.97001,0.3588963179827542,0.8496610106594025,0.013100164016009759,0.0,0.32504890568432676,0.0,0.5540272544614634,0.18215447415321487,0.23128390408651087,0.15461171260371373,2.6687837436473965
2018-08-01,37136597.190000005,42627705.94,8650942.379999999,0.0,13545419.760000004,39917298.45999999,20658917.620000005,9116703.140000002,0.0,10384554.330000002,4817091160.319964,0.8849262868666274,0.8286598100698715,0.770934075234177,0.0,0.42886706795533813,0.0,0.28119500564112804,0.18925743434331116,0.21557728480501148,0.17958851290298977,3.7790054778184548
2018-09-01,188432.32,22502600.78,7169607.450000001,0.0,12803359.76,33639108.95999999,19259537.25,10219555.66,129386.75,13212849.930000002,4303084798.779997,0.5229411418148185,0.7817440402182475,0.00437900549980851,0.003006837095952269,0.4475751269289518,0.0,0.2975390994764962,0.23749370830194724,0.30705529981064017,0.16661552781931502,2.7683497869661773
2018-10-01,0.0,4139298.89,6198618.779999999,74814.02,25988125.89,40157828.34,23173571.580000002,7024832.56,9299442.0,15240544.609999998,4950832320.510004,0.083608141460416,0.8111328710050757,0.0,0.18783593137410134,0.4680742566052571,0.0015111402519141092,0.5249243805397729,0.1418919507917478,0.30783802850406394,0.12520356939419544,2.6520202699265445
