month_num,avg_paid,std_paid,avg_claims,month_name,seasonal_index
1,6663088603.621414,1527311634.275396,117359287.57142857,Jan,102.38696286813766
2,6217655704.682847,1570068381.9660223,110143158.14285715,Feb,95.54231102618516
3,6816267489.83713,1791481941.0092695,118927218.85714285,Mar,104.74075431053677
4,6487494033.014291,1789777208.463659,110763035.57142857,Apr,99.68872548152589
5,6578282879.835717,1768656062.9831696,112276018.71428572,May,101.08381338164689
6,6345736732.915693,1537532422.1347187,107396001.57142857,Jun,97.51044146267101
7,6424668195.304294,1460973525.8940926,108907336.71428572,Jul,98.72332533522182
8,6765704912.120002,1549432233.1702878,116563670.28571428,Aug,103.96379499403794
9,6552937840.340014,1449079884.37301,113540499.14285715,Sep,100.69435411251342
10,7009359943.128586,1377888165.7116039,120709596.28571428,Oct,107.70786926598322
11,6449839859.368568,1318173273.348124,108856749.57142857,Nov,99.11012046690854
12,5781975849.202884,2036914071.8132312,98088751.42857143,Dec,88.8475272946319
