HCPCS_CODE,first_seen,last_seen,months_active,total_paid,provider_count,first_dt,last_dt,first_quarter,last_quarter
91034,2018-02,2023-11,17,63983.41,5,2018-02-01,2023-11-01,2018Q1,2023Q4
81374,2018-01,2024-12,84,1639856.83,67,2018-01-01,2024-12-01,2018Q1,2024Q4
67700,2018-04,2024-05,32,126595.23000000001,8,2018-04-01,2024-05-01,2018Q2,2024Q2
81209,2018-01,2024-12,84,1100621.2,63,2018-01-01,2024-12-01,2018Q1,2024Q4
80341,2018-01,2024-12,84,556871.8700000001,28,2018-01-01,2024-12-01,2018Q1,2024Q4
73060,2018-01,2024-12,84,3128498.6899999995,815,2018-01-01,2024-12-01,2018Q1,2024Q4
81430,2019-01,2024-07,38,260238.28000000003,4,2019-01-01,2024-07-01,2019Q1,2024Q3
A4310,2018-01,2024-12,84,2223818.0599999996,173,2018-01-01,2024-12-01,2018Q1,2024Q4
65800,2018-01,2024-11,81,464835.04,9,2018-01-01,2024-11-01,2018Q1,2024Q4
00120,2018-01,2024-11,79,577199.9299999999,47,2018-01-01,2024-11-01,2018Q1,2024Q4
87493,2018-01,2024-12,84,2421133.0499999993,498,2018-01-01,2024-12-01,2018Q1,2024Q4
01400,2018-01,2024-11,83,1151802.51,96,2018-01-01,2024-11-01,2018Q1,2024Q4
88267,2018-01,2024-11,63,353789.76999999996,5,2018-01-01,2024-11-01,2018Q1,2024Q4
E2365,2018-01,2024-11,83,1058382.43,94,2018-01-01,2024-11-01,2018Q1,2024Q4
J2790,2018-01,2024-11,83,347329.05999999994,90,2018-01-01,2024-11-01,2018Q1,2024Q4
90694,2020-01,2024-11,42,877337.2900000002,1286,2020-01-01,2024-11-01,2020Q1,2024Q4
90673,2018-09,2024-12,22,348375.17000000004,279,2018-09-01,2024-12-01,2018Q3,2024Q4
A7013,2018-01,2024-12,84,235406.73999999993,525,2018-01-01,2024-12-01,2018Q1,2024Q4
84432,2018-01,2024-12,84,1429052.3600000003,229,2018-01-01,2024-12-01,2018Q1,2024Q4
G0010,2018-01,2024-12,84,262282.27999999997,225,2018-01-01,2024-12-01,2018Q1,2024Q4
86831,2018-01,2024-09,74,142331.1,11,2018-01-01,2024-09-01,2018Q1,2024Q3
87556,2018-04,2024-12,79,858427.29,93,2018-04-01,2024-12-01,2018Q2,2024Q4
91122,2018-01,2024-11,79,599258.51,46,2018-01-01,2024-11-01,2018Q1,2024Q4
00752,2018-01,2023-12,7,21409.329999999998,4,2018-01-01,2023-12-01,2018Q1,2023Q4
21030,2020-07,2024-11,21,90185.6,2,2020-07-01,2024-11-01,2020Q3,2024Q4
92270,2018-03,2024-11,59,239444.87000000002,12,2018-03-01,2024-11-01,2018Q1,2024Q4
E0675,2018-01,2024-11,81,466046.70999999996,12,2018-01-01,2024-11-01,2018Q1,2024Q4
J2765,2018-01,2024-12,84,2005050.68,1884,2018-01-01,2024-12-01,2018Q1,2024Q4
67108,2018-02,2024-10,4,44542.17999999999,3,2018-02-01,2024-10-01,2018Q1,2024Q4
J1040,2018-01,2024-11,83,3522637.059999998,1874,2018-01-01,2024-11-01,2018Q1,2024Q4
E0203,2018-01,2024-08,49,127350.28,4,2018-01-01,2024-08-01,2018Q1,2024Q3
42975,2022-03,2024-11,29,50977.8,12,2022-03-01,2024-11-01,2022Q1,2024Q4
81189,2019-03,2024-10,39,70544.20999999998,13,2019-03-01,2024-10-01,2019Q1,2024Q4
E0305,2018-01,2024-12,84,531024.9800000001,105,2018-01-01,2024-12-01,2018Q1,2024Q4
71101,2018-01,2024-12,84,2649687.01,819,2018-01-01,2024-12-01,2018Q1,2024Q4
10140,2018-01,2024-11,80,188637.69999999998,27,2018-01-01,2024-11-01,2018Q1,2024Q4
M0359,2021-01,2022-02,8,26314.3,2,2021-01-01,2022-02-01,2021Q1,2022Q1
81350,2018-01,2024-11,61,82240.16,24,2018-01-01,2024-11-01,2018Q1,2024Q4
86001,2018-01,2024-11,83,134821.78000000003,44,2018-01-01,2024-11-01,2018Q1,2024Q4
72190,2018-01,2024-11,83,538483.6900000001,110,2018-01-01,2024-11-01,2018Q1,2024Q4
L2200,2018-01,2024-11,83,727156.5700000001,89,2018-01-01,2024-11-01,2018Q1,2024Q4
V5050,2018-08,2024-05,10,57643.56999999999,6,2018-08-01,2024-05-01,2018Q3,2024Q2
A9282,2018-05,2022-08,6,17000.0,1,2018-05-01,2022-08-01,2018Q2,2022Q3
D3331,2018-07,2024-11,25,88904.97,10,2018-07-01,2024-11-01,2018Q3,2024Q4
82045,2018-01,2024-10,60,104619.73000000001,11,2018-01-01,2024-10-01,2018Q1,2024Q4
86022,2018-03,2024-11,66,32934.22999999999,17,2018-03-01,2024-11-01,2018Q1,2024Q4
J7328,2018-01,2024-12,75,353485.16000000003,34,2018-01-01,2024-12-01,2018Q1,2024Q4
80502,2018-01,2021-12,48,573407.0299999999,41,2018-01-01,2021-12-01,2018Q1,2021Q4
86945,2018-01,2024-12,84,458156.97000000003,38,2018-01-01,2024-12-01,2018Q1,2024Q4
ATP11,2018-01,2024-11,83,420147.0100000001,77,2018-01-01,2024-11-01,2018Q1,2024Q4
86710,2018-01,2024-12,80,879512.5900000001,170,2018-01-01,2024-12-01,2018Q1,2024Q4
0064U,2019-03,2024-11,59,121596.11000000002,26,2019-03-01,2024-11-01,2019Q1,2024Q4
A4262,2018-01,2024-10,75,6724.75,17,2018-01-01,2024-10-01,2018Q1,2024Q4
0503F,2018-01,2024-12,84,882409.5499999997,643,2018-01-01,2024-12-01,2018Q1,2024Q4
76982,2019-01,2024-11,67,242607.58000000002,29,2019-01-01,2024-11-01,2019Q1,2024Q4
65210,2018-01,2024-11,78,237949.43000000005,22,2018-01-01,2024-11-01,2018Q1,2024Q4
86320,2018-01,2024-12,84,250097.7,36,2018-01-01,2024-12-01,2018Q1,2024Q4
93786,2018-02,2024-11,72,212823.72,26,2018-02-01,2024-11-01,2018Q1,2024Q4
CP008,2021-02,2024-09,20,46762.45,11,2021-02-01,2024-09-01,2021Q1,2024Q3
0324,2018-01,2024-11,83,299706.31,116,2018-01-01,2024-11-01,2018Q1,2024Q4
E0672,2018-02,2024-02,24,61200.090000000004,1,2018-02-01,2024-02-01,2018Q1,2024Q1
87810,2018-01,2024-11,79,58877.71,20,2018-01-01,2024-11-01,2018Q1,2024Q4
0144A,2022-10,2023-08,11,36935.14,30,2022-10-01,2023-08-01,2022Q4,2023Q3
D8693,2018-01,2019-11,16,27989.95,5,2018-01-01,2019-11-01,2018Q1,2019Q4
G0333,2018-01,2024-11,82,119016.81999999999,13,2018-01-01,2024-11-01,2018Q1,2024Q4
69105,2018-04,2024-11,41,97477.98999999998,4,2018-04-01,2024-11-01,2018Q2,2024Q4
