HCPCS_CODE,first_seen,last_seen,months_active,total_paid,provider_count,first_dt,last_dt,first_quarter,last_quarter
44388,2018-04,2024-04,5,0.14,4,2018-04-01,2024-04-01,2018Q2,2024Q2
89240,2019-04,2024-02,26,442.0299999999999,11,2019-04-01,2024-02-01,2019Q2,2024Q1
G8755,2018-01,2024-12,84,1736.0099999999998,461,2018-01-01,2024-12-01,2018Q1,2024Q4
3514F,2018-01,2024-11,80,190.16,33,2018-01-01,2024-11-01,2018Q1,2024Q4
G8924,2018-01,2024-10,67,0.13,23,2018-01-01,2024-10-01,2018Q1,2024Q4
4556F,2018-01,2024-11,50,0.0,11,2018-01-01,2024-11-01,2018Q1,2024Q4
4450F,2018-01,2024-12,84,587.91,100,2018-01-01,2024-12-01,2018Q1,2024Q4
G9547,2018-01,2024-02,61,1549.48,21,2018-01-01,2024-02-01,2018Q1,2024Q1
G8915,2018-01,2024-11,77,2567.0099999999998,21,2018-01-01,2024-11-01,2018Q1,2024Q4
M1200,2023-03,2024-11,14,0.02,4,2023-03-01,2024-11-01,2023Q1,2024Q4
G8916,2018-01,2024-10,77,63.0,50,2018-01-01,2024-10-01,2018Q1,2024Q4
4044F,2018-01,2024-11,62,0.0,22,2018-01-01,2024-11-01,2018Q1,2024Q4
G9247,2018-03,2024-07,55,0.0,3,2018-03-01,2024-07-01,2018Q1,2024Q3
2020F,2018-10,2024-11,60,1486.06,10,2018-10-01,2024-11-01,2018Q4,2024Q4
1130F,2018-10,2024-12,52,0.01,18,2018-10-01,2024-12-01,2018Q4,2024Q4
0345U,2022-10,2024-12,19,8778498.690000001,1,2022-10-01,2024-12-01,2022Q4,2024Q4
90702,2018-01,2024-04,27,1730.45,10,2018-01-01,2024-04-01,2018Q1,2024Q2
G9432,2018-02,2024-10,60,15.45,20,2018-02-01,2024-10-01,2018Q1,2024Q4
11001,2022-01,2024-09,11,39.6,5,2022-01-01,2024-09-01,2022Q1,2024Q3
G4028,2023-04,2024-11,11,0.03,3,2023-04-01,2024-11-01,2023Q2,2024Q4
0637R,2018-01,2022-12,43,0.0,2,2018-01-01,2022-12-01,2018Q1,2022Q4
