specialization,count,avg_paid,total_paid,pct
Diversified,33149,3694102.8881655554,122455816639.8,5.907143671770307
Moderate,53343,1305428.4057732036,69635467449.16,9.5057095201437
Concentrated,141528,875690.6388366966,123934744733.28,25.220254896929262
Specialist,333148,692259.5090659107,230624870926.29,59.36689191115673
