code_a,code_b,shared_providers,combined_paid
99213,99214,98633,29642360250.150078
99212,99213,38505,14425575811.709972
99203,99213,37572,12332422131.259993
D0120,D1110,37246,2844613068.89
D0120,D1120,36300,3626930592.3400016
D0120,D0220,34362,2168580827.6200023
D0120,D0150,32587,2587930774.340001
99204,99214,32447,11317911392.240002
D0120,D0274,32009,2168805050.1799984
99212,99214,30806,11510784352.15003
D0220,D1110,30688,1548732476.0700004
D0150,D1110,30165,1900197933.130005
99204,99213,30066,10229088394.149996
D0150,D0220,29817,1162226519.3399975
D0274,D1110,29735,1599308674.5399992
D1110,D1120,29591,2622907157.0600066
D0220,D0230,29497,847549229.4700015
99203,99214,29398,10512042861.069992
D0220,D1120,29199,2088399300.7999978
D0120,D0230,29041,2120170814.1300006
D0150,D1120,28928,2503555964.9199953
D0220,D0274,28617,867954676.340001
D0150,D0274,27506,1231487603.0099986
D0120,D1208,27428,1954370180.0300016
D0274,D1120,27273,2070055185.1200006
D0150,D0230,25596,1214741343.7400002
D0230,D1110,25592,1442405683.6300004
90686,99213,25457,10004977608.549976
D0230,D1120,25269,2031655891.9400034
D0120,D0272,25085,2082048587.5400002
D1120,D1208,24994,1888366736.4100006
D0230,D0274,24715,886940968.7500017
90471,99213,24408,10103877844.210012
D0272,D1120,24324,2099690591.3600044
36415,99213,24286,8672587953.870008
D1110,D1208,23614,1399231326.9099975
D0120,D1206,23394,2017182734.8099978
D0120,D2392,23279,3007611497.1199875
99214,99215,22958,10860376984.320017
36415,99214,22863,7284143235.659997
90686,99214,22851,7391845488.400005
D0220,D1208,22539,805595817.3000017
D0150,D2392,22138,2115728804.0000048
D1120,D1206,22032,2055765284.4399986
D0150,D1208,21951,1129904964.6999977
90471,99214,21919,7862236602.100015
D0220,D2392,21861,1757920144.9399965
D1120,D2392,21642,2981298450.2599936
D0220,D0272,21588,731334275.7099993
D1110,D2392,21562,2345748450.159999
