BILLING_PROVIDER_NPI_NUM,flagged_codes,max_excess_ratio,total_excess_paid
1518096411,82,51.69051282025694,655521375.8
1750504064,72,60.84548899515087,641531480.39
1134250475,84,71.4512769479153,549045079.84
1376554592,57,23.50066954987326,540951419.14
1699703827,10239,368.0622680412371,508312360.93
1326168840,40,7.062555772640253,454161658.04
1245354000,95,99.31060591074093,423268704.5
1932341898,36,6.0999423649683955,410598422.54
1982757688,1501,77.23822546871071,376394702.49
1417099789,2423,84.51888747727081,233386968.93
1528263910,2195,460.59664347114216,197065297.85
1760480503,1958,395677.8,177022162.69
1437368891,5696,28842.105263157897,174871795.38
1184779332,3253,11261.642857142859,159869359.81
1528281532,58,26.171046373710542,151253625.86
1770795536,40,23.91074305321525,139532550.32
1215027966,2487,208920.43749999997,138550133.68
1518911338,4674,414728.9523809524,136094680.29
1396756938,1377,15.42545378483278,135861285.74
1578778726,1032,20900.56,134409817.34
1073854451,38,21.72445229860215,131695828.14999999
1306875695,206,47.47509889535752,130770333.16
1295869428,48,32.56490296127005,126590771.39
1982747192,76,114.25655490855053,125525060.0
1588659528,5875,304551.5652173913,124008536.74
1780630608,2379,68842.05263157895,123518718.94
1063436723,186,124.0344109133435,122603732.62
1447261540,1988,4452.0,121805665.67
1891765178,7168,57118.28571428572,120004662.51
1336117621,51,11771.8,111975571.45
1609099910,64,28.584545505051445,111242254.0
1215921457,7810,138381.80952380953,104650100.93
1407897309,11111,34019.045454545456,104374034.28
1437156635,50,27.00515020125596,103571240.69
1477643690,17173,16403.74045801527,103126183.12
1770700221,26,1298.851134184749,102858137.0
1851422661,92,32.80494293871307,99386777.76
1245364595,57,31.13677511890993,97623100.04
1205965258,53,31.62532567746309,95450846.58
1003039322,58,29.12757415434387,95407893.81
1982735643,50,33.01445072849843,94659533.49
1194743013,13428,10823.833333333332,94434092.84
1003930256,41,27.774706685310758,93375473.37
1699896316,159,57.844332600208105,91847420.87
1679279046,88,495.32269760696164,91591907.0
1215998323,2064,246603.23076923078,90386907.21
1134152986,9484,290811.47826086957,90324862.68
1942339825,61,24.005322730996557,88261568.73
1780639971,993,17840.625,86745347.68
1992805022,45,13.69098544187737,86269321.28
1659402303,1049,11499.809128630706,85735897.32
1184780629,151,85.44460262862391,84565013.08
1255364923,3452,30.673358549644327,81948776.2
1003847807,75,19.352800521536455,81156225.75
1679602502,41,34.53093248939561,80729099.05
1114058872,42,32.504962913598874,80132940.94
1538292768,29,1712.4612797193654,79168161.0
1437175734,2350,27306.96,78153478.55
1194934471,1657,42.018367382261474,77948191.09
1043279011,61,19.60836588311219,77103551.51
1124304621,10,11.459497284980953,77039123.45
1063567691,2438,67500.0,76954961.98
1740376292,54,3405.3870558375634,76147806.25
1255523494,30,20.549728146914102,75440179.23
1508089699,54,24.865775457476065,75128887.72
1023140498,59,33.413687893683914,74528105.83
1528064409,746,277659.3125,73542825.67
1073576740,1236,470667.28,73068141.74
1043348808,1572,1396937.6875,72964547.2
1184612764,560,248191.1,72881035.62
1578683694,103,147.57587042870838,71685497.13
1366419517,2513,39147.74285714285,71237037.3
1700901725,17,15.574996754057429,70293625.4
1689744856,1240,340000.0,69970725.74
1568442309,1595,269418.17142857146,69771240.8
1104963347,1405,52782.58823529412,69736164.43
1528041811,2757,286670.5555555555,69523860.72
1124494059,4,3.6043160488962234,68136759.72
1184758310,143,110.32251551715576,67512010.94
1427138726,1485,8290.0,67379847.2
1316158983,89,4356.0,66547461.53
1326111337,41,13.88635777385108,66511723.16
1538378625,3923,133.54768857245972,66211415.51
1740339381,62,33.28771556744749,65293190.36
1861506560,6282,12132.583333333334,64813657.31
1164487542,711,15166.749999999998,64542437.42
1013919315,683,31202.322314049587,64512863.44
1912939703,1281,31235.80924855491,64108949.89
1033370317,76,19.957968958834552,64049942.09
1730302829,60,26.365846348789123,63514563.87
1346218294,3120,98962.43333333333,63484602.19
1417262056,79,25.10909013605442,63432818.49
1952476988,3716,427451.3333333333,63303321.02
1891799227,1405,1316113.2666666666,62816450.73
1194994848,581,14.618459828147211,62102530.68
1912914821,1290,150019.68181818182,62092841.97
1285758300,35,30.551642759406437,61896851.08
1720011810,582,370999.3703703704,61861798.589999996
1972655991,37,37.516879070684126,61242772.26
1669462420,967,195086.91666666666,61142569.0
1386746592,738,298377.17647058825,60476942.47
1265483457,607,67250.0,59854318.47
1750304044,82,38.00041010110728,59667944.57
1194832477,1658,61795.91304347825,59029989.58
1376623538,262,486699.6666666667,58921120.64
1194711226,60,15.425473649400352,58294081.49
1235290818,254,6476.190476190476,58079112.11
1225255375,730,419.1290322580645,58057703.66
1942576905,223,8.139081890572326,57619442.34
1124215785,50,28.775411219748587,57354299.38
1558416701,1967,11127.575757575756,56696450.6
1457456279,1600,369049.23529411765,56679850.15
1467538520,1723,66454.16666666666,56463519.53
1366515488,4820,6646.63653561763,56340938.75
1023788031,26,79.22933658826867,55804801.300000004
1396886297,1280,238.98645696810829,55684433.49
1912919481,2022,51406.642857142855,55603670.8
1386773273,38,28.49356857297865,55318515.59
1255496220,47,70.80415967429666,54590084.67
1548286172,7626,1795.5813953488373,54310110.44
1457321317,1975,90246.82352941175,54246448.15
1609807122,2076,69383.53846153847,54237355.89
1275566424,5593,173.504,53984534.16
1265782395,100,29.56307307246546,53500595.41
1619969458,1202,22664.571428571428,53355200.99
1821201278,3665,841.0733452593917,52931481.35
1295789907,4996,605957.1764705883,52637381.83
1407839921,2299,161009.4166666667,52281831.78
1659435840,2879,44597.30769230769,52270386.07
1831449370,25,7.662058422671703,52106064.78
1073516183,1371,10492.307692307691,51880587.16
1043386659,1324,465.09195329707825,51801110.09
1396728630,2343,393140.89473684214,51630739.15
1992910152,554,28325.53846153846,51625443.96
1881622892,577,564.2277840269966,50715655.59
1346330610,1571,15000.0,50457789.75
1487655064,1436,15753.323529411764,50214260.3
1265820179,704,1865773.1111111108,49845838.17
1417027558,3088,160057.55,49768349.65
1184729493,41,33.715230278157776,49641836.54
1770573586,2710,18869.222222222223,49618774.49
1427070168,1008,10.02402478098183,49565216.41
1790908002,50,24.85509891464984,49359989.35
1467595793,5266,4845.677659271113,49105983.37
1871540237,2092,178876.83333333334,48633519.9
1427114099,2491,245292.92307692306,48348993.39
1699725143,877,137.15393413643508,48298376.39
1588656870,1997,178960.0,47917901.17
1770696643,664,28679.0,47875984.57
1689744450,898,27851.11666666666,47816353.42
1902901333,727,39024.769230769234,47230712.76
1427335140,49,53.27747378020975,47198362.8
1588712020,94,22160.0,47068457.07
1871713495,453,18649.272727272728,46792003.13
1780708263,42,1670.9414294234684,46412192.0
1326502865,130,4.659014264188569,46189372.6
1639711294,2392,575833.7857142857,45745628.07
