BILLING_PROVIDER_NPI_NUM,flagged_codes,max_claims_per_bene,total_paid
1952915910,1,467.37021276595743,285965.28
1922477975,2,342.59911894273125,13419800.01
1407430143,1,293.1933333333333,585455.94
1144989351,1,258.76166666666666,1595308.7999999998
1417409509,1,206.58369098712447,235692.82
1457621633,1,151.33949579831932,3974180.7300000004
1467227744,1,144.66666666666666,20573.92
1477108546,3,142.5,27194.96
201016020A,1,136.91304347826087,0.0
1720171895,5,124.8,1907995.8699999992
1700232287,1,122.57575757575758,58284.64
1912620220,1,115.53846153846153,0.0
1073668174,2,111.34166666666667,3968386.0200000005
1871679449,1,111.0,3630.13
1871538108,2,110.32138114209828,4369999.0
1659629301,1,108.78616780045351,7210344.95
1629464227,1,107.96296296296296,468407.52
1326095209,1,107.52427184466019,292470.36
1922157411,1,101.51935483870967,1613906.6400000001
1184836082,1,96.12,73678.9
1750459772,1,94.78646748681898,9014347.299999999
1053533554,2,91.95402298850574,5254343.73
1851390629,1,91.92857142857143,3220.96
1376633297,1,90.56825938566553,2386667.29
1902047293,1,89.68235294117648,115133.84
1063798031,1,89.08333333333333,584307.72
1396068771,1,87.8705636743215,2849426.6
1881789691,2,87.59691011235955,5620439.579999999
1568485241,3,87.32352941176471,112181.0
1437287364,17,86.44776119402985,300103.8
1922181312,1,86.39344262295081,2569750.1399999997
1437208899,2,86.23509933774834,303953.85
1366561938,1,85.21621621621621,861769.69
1093990384,1,84.63456090651557,4655363.010000001
1104333715,1,84.56716417910448,155498.05000000002
1215470067,1,80.11764705882354,436232.4600000001
1063764082,1,79.92105263157895,46997.12
1588909808,1,79.75,1039845.27
1730615717,1,79.3987240829346,4381026.83
1316132459,1,78.07462686567165,342256.53
1073633483,1,77.01428571428572,93650.38999999998
A953100100,1,76.63157894736842,0.0
1619374899,2,76.53030303030303,266909.65
1659572790,1,76.50980392156863,300446.22000000003
M917673800,1,76.48029739776952,9180570.340000002
1922163971,1,75.48453608247422,113903.40000000002
1467660688,2,75.48159509202453,4377796.14
1326120528,2,75.32835820895522,5985770.450000001
1891821500,1,75.17537313432835,2099693.3600000003
1639681463,2,74.00429184549357,5979920.14
1982887022,1,73.58808510638298,7755447.489999999
1831190701,1,73.29535864978902,3246071.1199999996
1386867315,1,73.06796116504854,91458.86000000002
1497809172,1,72.58333333333333,9685.34
1356637573,1,72.52197802197803,0.0
1538911029,1,72.38888888888889,183609.69
1356475669,1,72.3125,712113.0
1952672552,1,71.95081967213115,173104.43
1912958174,3,71.8076923076923,26822.920000000006
1669479150,1,71.0,51824.58
1407263601,1,70.56164383561644,132621.2
1316059850,1,70.25842696629213,544789.8
1528174349,1,70.25,3850534.1100000003
1417187840,1,69.91666666666667,8607.3
1366989758,2,69.5,0.0
1689940371,1,68.95801526717557,132246.78
1265753305,1,68.75933609958506,577338.9500000001
1770509051,1,68.6774193548387,164260.52000000002
1245375823,1,68.15317919075144,2271179.56
1366573115,1,68.08729641693812,11561843.56
1629333539,2,67.9430894308943,1735441.8199999998
1629249826,1,67.62616822429906,3742870.4999999995
432104075,1,67.38461538461539,0.0
1821316795,1,67.03509852216749,1906605.6600000004
1790436616,1,66.96571428571428,267163.66000000003
1033293097,2,66.36842105263158,5085812.4799999995
1689894701,1,66.35099337748345,5506656.57
1417091539,1,66.0325925925926,2671870.409999999
1912943184,2,65.86666666666666,19212.559999999998
1649392721,1,65.75294117647059,973489.49
1740333681,1,65.51587301587301,60587.47
1316085558,1,65.10566037735849,2915526.6
1659072478,1,65.03448275862068,124348.47
1316640972,1,64.88,86370.35
1265908552,1,64.11428571428571,72223.01000000001
1407559842,1,63.958333333333336,133848.0
1376915611,1,63.54838709677419,34879.72
1114079068,1,63.13223140495868,348695.9
1871150920,1,62.88857938718663,619443.8200000001
1538527106,1,62.833333333333336,21701.69
1144480278,1,62.76373626373626,15369.61
1245722412,1,62.526315789473685,152436.09
1972153229,1,62.418145956607496,260751.30000000002
1609321710,1,62.41077441077441,1413045.7999999996
1528577962,1,62.01123595505618,268963.84
1679092902,1,61.583333333333336,59770.31
1679018022,1,61.39540816326531,1300680.6300000001
1134203235,1,61.388535031847134,367885.23000000004
1831402296,1,61.29710144927536,1167572.8
1992165864,1,61.16,650.0
1457742884,1,61.09142857142857,844567.26
1902997224,1,61.015957446808514,970790.31
1982110441,1,60.866391184573004,521181.2
1144866252,1,60.736170212765956,499130.7100000001
1235283383,1,60.578947368421055,85241.14
1720534019,1,60.458333333333336,256526.61000000004
1417910126,1,60.416666666666664,261506.38
1750711453,1,60.11764705882353,0.0
1164542312,1,60.04103671706263,82975.01
1154592996,1,59.975,21161.97
1356400550,1,59.935483870967744,1230782.71
1174767743,2,59.92307692307692,0.0
1306081476,2,59.73673036093418,8245178.790000001
1346394905,1,59.707142857142856,551408.23
1750427514,1,59.66778523489933,2842825.6
1093167223,1,59.65079365079365,13813.77
1336868686,1,59.64938271604938,1477963.54
1346451796,2,59.537056928034374,44230371.77
1760735260,1,59.412628487518354,3962192.0499999993
1790721280,5,59.30769230769231,60683.36
1629720081,1,59.121342512908775,4908786.34
1043422660,1,58.93768545994065,5393943.93
1477765741,1,58.833333333333336,30325.0
1265729594,1,58.74074074074074,24534.280000000002
1023175072,1,58.644444444444446,5750.54
1104537042,2,58.59514170040486,727945.8999999999
1811543838,1,58.583333333333336,3917.75
1073724506,2,58.4375,1955998.3199999998
1952342701,2,58.4,26472.0
1477987832,1,58.354581673306775,768558.06
