BILLING_PROVIDER_NPI_NUM,SERVICING_PROVIDER_NPI_NUM,shared_codes,shared_months,relationship_paid,relationship_claims,billing_total,concentration_pct,flag_concentrated,flag_broad,flag_any
1184779332,1922178789,631,84,241182616.7299993,1700636.0,249922014.3299993,96.50315014328413,True,True,True
1639172810,1336139583,22,66,202152333.89000025,1681947.0,282924505.9500003,71.45098061096395,False,True,True
1982747192,1518092618,45,84,171669077.38000003,2251737.0,174643916.11,98.29662618872662,True,True,True
1336238237,1316982309,9,83,109557629.51000006,943066.0,109557629.51000006,100.0,True,False,True
1558416701,1689744450,527,84,99084044.88999996,875012.0,104522215.93999997,94.79711466017737,True,True,True
1528263910,1699841528,21,80,95291588.96,230485.0,873921479.23,10.903907413279288,False,True,True
1417099789,1508933862,22,84,79309908.26999997,192997.0,670147486.5699999,11.834694579834954,False,True,True
1992781470,1760454839,24,84,76332233.98000002,894484.0,140206538.24000004,54.44270640883915,False,True,True
1083765689,1518095413,36,82,67183183.15000004,1408816.0,279527660.9100001,24.03453845364917,False,True,True
1477628758,A423525800,5,49,60327896.330000006,249652.0,60327896.330000006,100.0,True,False,True
1699703827,1760519219,31,78,57207471.220000006,248712.0,3375141845.71,1.694964947701798,False,True,True
1104991066,A423525800,5,47,56824131.099999964,244994.0,56824131.099999964,100.0,True,False,True
1811062763,1780864579,335,84,56551801.53999987,3532596.0,159290755.77999988,35.50224949532217,False,True,True
1306912282,A423525800,6,53,55660115.47000001,207299.0,55660115.47000001,100.0,True,False,True
1528263910,1407911258,25,76,55268591.05,144749.0,873921479.23,6.324205590952676,False,True,True
1134200942,A668967200,2,38,53855445.69,149453.0,53855445.69,100.0,True,False,True
1386703304,1144381773,8,59,52959580.89000001,210576.0,52960065.42000001,99.99908510309389,True,False,True
1699703827,1033301221,27,80,52617537.43000001,209763.0,3375141845.71,1.5589726250136695,False,True,True
1669878567,1558308825,167,84,52094728.59999996,687610.0,174992771.98,29.769645917691896,False,True,True
1902809940,1063497451,442,84,51851741.63000008,4503121.0,61951790.600000076,83.6969216350625,False,True,True
1508199258,1518189158,31,80,50925660.89000002,204915.0,308406307.22,16.512522506121275,False,True,True
1710924683,A585713900,579,56,50101236.52000001,1649999.0,100933212.78000002,49.638008282965906,False,True,True
1689629990,1164512430,27,61,49088047.24999997,602540.0,73254887.46999997,67.00992786331557,False,True,True
1972678266,A423525800,7,54,48974921.99999998,237342.0,48974921.99999998,100.0,True,False,True
1083765689,1073610499,32,84,47022313.53000001,833955.0,279527660.9100001,16.8220609641705,False,True,True
1669878567,1740387018,168,84,45160347.65000002,672774.0,174992771.98,25.806978847767166,False,True,True
1356444814,1154377166,425,84,44693965.70999994,1011113.0,44693965.70999994,100.0,True,True,True
1700090834,1396076147,19,80,44385024.61,326015.0,571728678.4,7.763302119846924,False,True,True
1639172810,1710179908,22,83,44190098.860000014,486470.0,282924505.9500003,15.619042511577097,False,True,True
1992216766,A423525800,9,46,42996042.53000001,212108.0,42996042.53000001,100.0,True,False,True
1558518753,1689788234,53,84,42338383.89,143308.0,66724725.910000004,63.45231593323752,False,True,True
1316012263,A423525800,7,52,41167155.199999996,168625.0,41167155.199999996,100.0,True,False,True
1417011263,A423525800,7,51,40186225.79999998,175580.0,40186225.79999998,100.0,True,False,True
1154496008,A423525800,7,53,39690400.41,170618.0,39690400.41,100.0,True,False,True
1598830895,A423525800,3,45,39643599.760000005,155597.0,39643599.760000005,100.0,True,False,True
1528263910,1154426807,19,76,39216834.04000001,133985.0,873921479.23,4.487455105755429,False,True,True
1043385420,A423525800,6,49,39160512.08999998,189982.0,39160512.08999998,100.0,True,False,True
1831264290,A423525800,8,52,38999355.72,176205.0,38999355.72,100.0,True,False,True
1528263910,1720205131,21,77,38440662.23000003,130086.0,873921479.23,4.398640283320368,False,True,True
1275665457,1023113453,69,55,38380612.88,1006218.0,267611295.96999997,14.341925568157848,False,True,True
A248023900,M784450100,8,22,37984196.72,194057.0,37984196.72,100.0,True,False,True
1699703827,1265445928,18,75,37135064.30999998,46618.0,3375141845.71,1.1002519599939418,False,True,True
1699703827,1285779553,29,80,36445021.8,169709.0,3375141845.71,1.0798071152572066,False,True,True
1699703827,1962580167,22,79,35528760.169999994,154705.0,3375141845.71,1.0526597634750996,False,True,True
1699703827,1821112764,25,79,35447529.38000001,139441.0,3375141845.71,1.0502530264040861,False,True,True
1629141213,A397151100,102,56,34513941.69999998,188403.0,39166042.06999998,88.12210750913898,False,True,True
1295968162,1407106719,115,78,34140842.75999997,197495.0,67997747.32999997,50.20878499740733,False,True,True
1447886288,1063543932,18,48,33321026.45999998,273923.0,243241477.41999996,13.698743657302023,False,True,True
1699703827,1467597310,25,78,32284035.969999988,153145.0,3375141845.71,0.9565238276143818,False,True,True
1902921380,1831312552,23,78,31514316.220000006,291089.0,146057820.05,21.576603162509002,False,True,True
1417099789,1548312309,18,83,31429226.930000007,101831.0,670147486.5699999,4.689897009218594,False,True,True
1699703827,1225161813,28,79,30720182.809999987,138533.0,3375141845.71,0.9101893850490199,False,True,True
1699703827,1720105224,19,75,30489733.60000001,71959.0,3375141845.71,0.9033615472710939,False,True,True
1134152986,1568434587,18,61,30038853.400000006,190909.0,209936637.38,14.308533172143544,False,True,True
1770538001,1073666723,22,79,29900918.540000003,138458.0,361474234.52000004,8.27193633308479,False,True,True
1275665457,1609259530,18,30,29706067.209999997,793737.0,267611295.96999997,11.100453402882566,False,True,True
1699703827,1427136621,20,79,28722406.779999983,108444.0,3375141845.71,0.8509985088925319,False,True,True
1699703827,1659490498,30,80,28661332.49999999,143995.0,3375141845.71,0.8491889766479058,False,True,True
1841335650,1902954357,14,83,28654983.65999999,404216.0,29897132.36999999,95.84525801796822,True,False,True
1407897309,A565813600,333,56,28595491.94,676450.0,301628528.58,9.480367150488455,False,True,True
1699703827,1265721708,24,79,28467400.80000001,141752.0,3375141845.71,0.8434430936934908,False,True,True
1699703827,1639200694,26,79,28233134.739999995,138301.0,3375141845.71,0.8365021688165769,False,True,True
1780621904,A585713900,428,56,28187925.839999985,832831.0,93755045.10999997,30.06550293579182,False,True,True
1699703827,1255548483,27,61,28176095.96000001,120555.0,3375141845.71,0.8348122019171862,False,True,True
1275665457,1073629069,32,35,27920533.549999993,722223.0,267611295.96999997,10.433241784057564,False,True,True
1699703827,1083743082,30,64,27917410.02,111107.0,3375141845.71,0.8271477554486973,False,True,True
1669878567,1386741668,125,84,27829566.95,309053.0,174992771.98,15.903266537877721,False,True,True
1417099789,1376659888,22,83,27530409.35,66031.0,670147486.5699999,4.108112005449463,False,True,True
1881697464,1124005814,298,84,27381174.00000001,1145558.0,30712157.68000001,89.15418540531536,False,True,True
1699703827,1073848107,21,81,27163842.67,121985.0,3375141845.71,0.8048207723336668,False,True,True
1407897309,1083903447,35,76,27132492.940000013,61828.0,301628528.58,8.995333786142098,False,True,True
1003813718,1447441159,1,34,27100563.690000005,5268.0,27100563.690000005,100.0,True,False,True
1417099789,1104943828,23,83,26986611.119999986,64764.0,670147486.5699999,4.026965953140394,False,True,True
1528263910,1699927319,20,74,26766613.120000005,92783.0,873921479.23,3.0628167125018706,False,True,True
1699703827,1346304920,23,79,26735270.87,106857.0,3375141845.71,0.7921228823014378,False,True,True
1508199258,1053714725,26,80,26582731.739999995,119799.0,308406307.22,8.619386542259443,False,True,True
1396956462,1568442465,1,40,26360488.77,24173.0,27242070.11,96.76389739678267,True,False,True
1427136555,1275784423,2,56,26284640.669999998,359716.0,26284640.669999998,100.0,True,False,True
1588732747,1689721524,34,77,26140426.750000007,280407.0,42166176.400000006,61.99382771163477,False,True,True
1699703827,1255647566,19,80,26059679.43999999,115094.0,3375141845.71,0.7721061997178977,False,True,True
1528126133,1891853446,129,84,25922221.349999998,240593.0,116148459.28000002,22.318179260139036,False,True,True
1730421553,1790961795,21,81,25712725.39,220286.0,133167884.25000001,19.30850334884704,False,True,True
1881946564,A397151100,9,50,25686388.349999998,161995.0,25686388.349999998,100.0,True,False,True
1699703827,1801927710,23,80,25654116.620000005,163622.0,3375141845.71,0.7600900285896981,False,True,True
1780621904,A565813600,429,56,25606973.929999966,752368.0,93755045.10999997,27.31263570931684,False,True,True
1699703827,1134336811,20,81,25564630.33,137035.0,3375141845.71,0.7574386943912926,False,True,True
1467407395,1306880109,17,84,25351404.35,316397.0,25351404.35,100.0,True,False,True
1528126133,1205994761,130,84,25001045.59,254937.0,116148459.28000002,21.525077254558994,False,True,True
1699703827,1881793313,25,79,24801317.279999986,133818.0,3375141845.71,0.7348229619304413,False,True,True
1275032096,1962946855,4,38,24234528.919999998,19292.0,24919147.909999996,97.25263884434322,True,False,True
1780958025,1124374137,6,78,24045939.21,227234.0,24045939.21,100.0,True,False,True
1508199258,1386764512,21,79,24000313.250000007,98136.0,308406307.22,7.782043586054001,False,True,True
1699703827,1053546887,20,78,23887873.83,99496.0,3375141845.71,0.707759108268675,False,True,True
1730421553,1205146974,23,84,23854666.88000001,205963.0,133167884.25000001,17.91322811378225,False,True,True
1093756025,1386750578,72,73,23002035.979999997,390976.0,28486699.769999996,80.74658056467452,False,True,True
1487602736,1104116029,155,84,22818247.94999999,283493.0,125303964.75999999,18.210316005327325,False,True,True
1699703827,1508938648,18,78,22619739.719999984,113587.0,3375141845.71,0.6701863433903076,False,True,True
1699703827,1326177387,23,78,22580177.52000001,95466.0,3375141845.71,0.6690141793211067,False,True,True
1689629990,1558335323,23,44,22577169.160000004,252838.0,73254887.46999997,30.820017530224202,False,True,True
1255344594,1609997873,69,83,22244986.889999975,59723.0,24793070.899999972,89.72259620328032,False,True,True
1699703827,1730213968,23,81,22063824.340000004,107857.0,3375141845.71,0.6537154688193149,False,True,True
1740648856,1922019322,35,83,21855627.950000014,46898.0,22538326.500000015,96.9709439163551,True,True,True
1417099789,1881704823,19,83,21701601.300000004,55082.0,670147486.5699999,3.2383321186616394,False,True,True
1699703827,1316066145,27,78,21508578.37,103497.0,3375141845.71,0.6372644277851209,False,True,True
1568658821,1578602389,21,79,21484871.429999992,85321.0,238647812.82999998,9.002752288077609,False,True,True
1942603162,1457754673,3,67,21389808.58,189957.0,21389808.58,100.0,True,False,True
1598135451,1871517912,46,49,21354080.16000001,777783.0,23422965.13000001,91.16727981057282,True,True,True
1447539374,1033155874,36,80,21209796.540000007,112752.0,21209796.540000007,100.0,True,True,True
1275665457,1821036807,119,53,21063757.81999999,219221.0,267611295.96999997,7.871027171573991,False,True,True
1609922194,A268453200,36,56,20953485.929999996,198935.0,71780013.64000002,29.191253759143187,False,True,True
1356453484,1790385482,11,45,20936509.58,93306.0,20936509.58,100.0,True,False,True
1699703827,1861517112,25,78,20489523.680000003,99122.0,3375141845.71,0.6070714837079624,False,True,True
1194934471,1982756714,20,81,20357484.870000005,83959.0,491356005.19,4.143123245665445,False,True,True
1184259913,1023176054,26,84,20276747.83,232436.0,135276512.56,14.989111891102699,False,True,True
1699703827,1083759310,25,81,20145908.369999997,95523.0,3375141845.71,0.5968907172184958,False,True,True
1528105558,1316077910,22,80,20031940.11,101098.0,135103225.84,14.827136795181648,False,True,True
1699703827,1669508974,19,79,19809243.57,96313.0,3375141845.71,0.5869158831110667,False,True,True
1417099789,1740399559,19,83,19448802.930000007,53191.0,670147486.5699999,2.902167555614415,False,True,True
1235650516,1831556976,4,61,19410988.249999996,90424.0,19410988.249999996,100.0,True,False,True
1912430778,1922145044,59,84,19066068.849999994,301379.0,19066068.849999994,100.0,True,True,True
1528105558,1881719839,22,77,19030437.230000004,83715.0,135103225.84,14.0858496247435,False,True,True
1487602736,1033400205,141,84,18903728.599999998,181388.0,125303964.75999999,15.086297258196987,False,True,True
1417099789,1033278940,18,81,18894287.749999996,44890.0,670147486.5699999,2.81942231055826,False,True,True
1699703827,1174655708,21,79,18780325.75,115242.0,3375141845.71,0.5564307104269078,False,True,True
1699703827,1053449900,25,80,18766993.48,111126.0,3375141845.71,0.5560356968064596,False,True,True
1275686123,1558354449,12,75,18744725.97000001,701009.0,18744725.97000001,100.0,True,False,True
1699703827,1881725117,25,79,18487139.449999996,81582.0,3375141845.71,0.547744074030495,False,True,True
1699703827,1396870267,23,80,18406891.54,95623.0,3375141845.71,0.5453664581059376,False,True,True
1528126133,1275017915,98,70,18381313.00000001,167759.0,116148459.28000002,15.825705406636548,False,True,True
1083765689,1407809213,31,84,18344050.800000016,328861.0,279527660.9100001,6.562517190707032,False,True,True
1528263910,1326052291,19,75,18265343.06000001,49403.0,873921479.23,2.090043956362458,False,True,True
1194179150,1245220912,41,79,18024584.099999998,79070.0,21333146.439999998,84.49097816252556,False,True,True
1205186442,1437252301,26,51,17891469.359999992,252439.0,17895675.429999992,99.97649672393504,True,True,True
1912980251,1962416982,4,53,17859338.31,706512.0,19210191.04,92.96804114447787,True,False,True
1619088705,1548371628,8,60,17702005.970000003,374466.0,17702005.970000003,100.0,True,False,True
1275647299,1881708899,76,42,17699830.81,334302.0,17699830.81,100.0,True,True,True
1699703827,1083749725,19,80,17595037.859999996,95354.0,3375141845.71,0.521312545200561,False,True,True
1699703827,1225073786,20,79,17541578.379999995,120003.0,3375141845.71,0.519728627177443,False,True,True
1669878567,1376640656,121,84,17495385.210000005,221276.0,174992771.98,9.997775914995827,False,True,True
1508199258,1467571422,18,79,17453279.860000003,76893.0,308406307.22,5.659183827116025,False,True,True
1366479099,1619913449,322,84,17417364.23000002,3864487.0,67174005.70000003,25.928726519282165,False,True,True
1972678829,A423525800,4,42,17324099.25,59319.0,17324099.25,100.0,True,False,True
1780773408,1447440730,2,47,17275879.56,3615.0,17275879.56,100.0,True,False,True
1659849040,1568894988,33,69,17096440.610000003,131086.0,17264810.25,99.02478140470731,True,True,True
1699703827,1811028863,25,76,17062071.54,104688.0,3375141845.71,0.505521614200804,False,True,True
1699703827,1336227537,19,77,17001986.540000003,66996.0,3375141845.71,0.5037413927242942,False,True,True
1689665911,A585713900,190,56,16939251.519999996,290258.0,22324187.079999994,75.8784696584795,False,True,True
1043386659,1306922349,18,80,16925525.860000007,111004.0,445474642.47999996,3.799436431616845,False,True,True
1699703827,1538337613,19,78,16924586.85,59185.0,3375141845.71,0.5014481649567448,False,True,True
1194122457,1548248065,59,60,16858060.71000001,168744.0,34102024.92000001,49.43419268957594,False,True,True
1417099789,1437215233,19,84,16838163.69,40854.0,670147486.5699999,2.512605661804743,False,True,True
1003991506,1104228337,163,84,16806714.799999997,280698.0,48942531.13,34.339692721159835,False,True,True
1730421553,1275903775,18,70,16791869.320000004,143925.0,133167884.25000001,12.609548777148197,False,True,True
1821099474,1093716979,293,84,16779318.619999994,565421.0,16779318.619999994,100.0,True,True,True
1003991506,1336677426,158,83,16760124.340000005,275343.0,48942531.13,34.24449850270751,False,True,True
1588132062,1790098218,17,37,16626713.549999999,9738.0,16626713.549999999,100.0,True,False,True
1043386659,1912052184,22,82,16607522.220000003,92697.0,445474642.47999996,3.7280510799771536,False,True,True
