BILLING_PROVIDER_NPI_NUM,n_codes,avg_z_score,max_z_score,high_z_count,total_paid,total_claims,upcode_ratio,flag_upcoding
1508551276,3,45.87497581070573,68.64840170209973,3.0,250476.01,107.0,1.0,True
1487603916,6,44.35016719554354,116.27829151236854,5.0,184406.27000000002,112.0,0.8333333333333334,True
1215043633,4,40.81147781471611,49.5142763799501,4.0,4840.0,58.0,1.0,True
1750035705,7,40.518217569256684,72.24812791761532,7.0,1090701.34,212.0,1.0,True
1194979740,7,40.43731416582006,49.5010230626961,7.0,463888.38,113.0,1.0,True
1164542361,9,40.12056935898867,45.5095001901996,9.0,675740.0,278.0,1.0,True
1912645136,9,33.26196445083162,44.62483750494471,9.0,411197.67,309.0,1.0,True
1235881103,6,31.9456587904774,71.81720107802042,6.0,640600.8,113.0,1.0,True
1013511674,11,31.598396719686253,82.78611421672504,8.0,1229177.8699999999,180.0,0.7272727272727273,True
1598873382,30,29.429630689746148,82.4062570882499,24.0,771871.1200000001,629.0,0.8,True
1720152457,33,29.15818322856738,40.96233406653311,33.0,455710.0,882.0,1.0,True
1891849725,322,26.31359564608806,50.3343043435297,318.0,30976852.82999999,16897.0,0.9875776397515528,True
1831510536,4,26.16044667548079,39.59164770865277,3.0,122352.77,108.0,0.75,True
1952069098,7,24.799971423208994,35.06412942209973,7.0,1890659.9800000002,412.0,1.0,True
1134841679,7,24.76080962334466,34.87754429641187,7.0,1555815.95,327.0,1.0,True
1073715579,25,24.718661415760657,32.79600690763907,23.0,233824.0,440.0,0.92,True
1710521802,16,24.571229962575046,46.531759196182406,16.0,5188324.379999999,1704.0,1.0,True
1952609059,13,24.404178819341535,25.602910370095152,13.0,6680634.95,2225.0,1.0,True
1477690816,6,23.482706828756108,37.063192647574766,6.0,237498.61000000002,192.0,1.0,True
1366449951,7,22.784590596770382,26.366847892604515,6.0,143900.24,220.0,0.8571428571428571,True
1639358047,8,22.456814020092047,31.400251221946746,8.0,198378.30000000002,268.0,1.0,True
1205148061,10,22.39327309589691,61.63406157251321,7.0,138083.1,160.0,0.7,True
1891248936,15,21.10765581613692,31.718210168454462,15.0,127307.0,273.0,1.0,True
1093340606,26,21.038600040098878,55.56294286784766,25.0,6447260.36,840.0,0.9615384615384616,True
1710586144,40,20.999512303299916,59.75124956936358,40.0,3546494.64,946.0,1.0,True
1306961636,15,19.835977575194864,21.43086422462651,15.0,186690.0,951.0,1.0,True
1477672665,9,19.666898386833683,47.471181046499964,4.0,1492713.28,237.0,0.4444444444444444,True
1306587126,4,19.44218262481464,30.204557801432824,4.0,266441.88,72.0,1.0,True
1548914534,13,19.19864874351577,58.285476670534784,10.0,1235727.8900000001,327.0,0.7692307692307693,True
1326653312,23,19.099745152010225,79.97221513580233,17.0,1884528.8099999998,1001.0,0.7391304347826086,True
1356746606,6,18.46412316507976,39.67280344845507,5.0,117382.66,150.0,0.8333333333333334,True
1811474380,5,18.277523987941528,31.735644699374113,5.0,367128.36,84.0,1.0,True
1750969168,117,18.181865937066632,73.33374467819286,92.0,34460941.14,34465.0,0.7863247863247863,True
1497360978,7,18.16387602714633,52.109222832004335,7.0,812390.22,187.0,1.0,True
1790914109,14,18.093006248471674,32.6342848645584,9.0,3167616.8000000003,420.0,0.6428571428571429,True
1184847071,30,18.084113798210932,39.2841116646928,26.0,2927245.84,739.0,0.8666666666666667,True
1679279046,96,18.024043280717226,68.88167367539127,82.0,97377138.0,79486.0,0.8541666666666666,True
1801216254,6,18.002379111142275,42.899115064785896,6.0,503792.64999999997,301.0,1.0,True
1689295636,12,17.593050607690945,70.82293853369737,8.0,4533743.44,2052.0,0.6666666666666666,True
1902491046,4,17.34320472641008,59.695536760053976,2.0,284566.64,92.0,0.5,True
1790351658,21,17.32526189821122,48.28859563613958,21.0,1785252.44,493.0,1.0,True
1518088400,3,17.263864818275422,19.440196846664513,3.0,35425.0,49.0,1.0,True
1922783000,3,17.07952238528694,28.664710856913196,3.0,68976.94,47.0,1.0,True
1205452588,12,16.794231972589785,16.96232028682286,12.0,956900.0,321.0,1.0,True
1679262737,42,16.739322461912792,99.29652439742006,9.0,863957.0599999999,1283.0,0.21428571428571427,True
1306863295,36,16.648848302402477,34.585154510436865,36.0,4999192.859999999,711.0,1.0,True
1386191989,48,16.203908543357837,92.33447859368941,24.0,173552.78999999998,1412.0,0.5,True
1619415288,5,15.937476422777213,25.774724074037184,5.0,20160.019999999997,112.0,1.0,True
1912535337,17,15.752996871258738,47.10127533599069,14.0,3894849.48,900.0,0.8235294117647058,True
1699811612,91,15.668431566289039,45.58575664778749,80.0,1295731.7399999995,2834.0,0.8791208791208791,True
1902434236,75,15.643526382664076,77.65456160692031,64.0,10086574.87,3125.0,0.8533333333333334,True
1881351856,10,15.592153972987845,35.725866261274746,10.0,1529890.96,413.0,1.0,True
1447445135,107,15.482587082550266,43.7862201547168,106.0,2296938.1300000004,2590.0,0.9906542056074766,True
1407343122,54,15.481997558576913,30.86327717226082,54.0,4893836.13,3060.0,1.0,True
1295433746,4,15.468391883049822,29.829733407123282,4.0,249886.56,232.0,1.0,True
1790838324,5,15.343097600999045,21.502791454666866,4.0,137760.99,81.0,0.8,True
1740547728,129,15.182182520887748,78.69033289644815,66.0,1729289.0,9313.0,0.5116279069767442,True
1316464373,3,15.07010979759894,19.493474791654812,3.0,277193.75,37.0,1.0,True
1063817088,9,15.060345772504869,61.11509687217353,8.0,742569.6000000001,662.0,0.8888888888888888,True
1366925398,3,15.057793889244286,24.909914605980504,3.0,176827.21,43.0,1.0,True
1508549049,11,15.013460640735678,16.60094541136141,11.0,496829.0,693.0,1.0,True
1487081337,55,14.874478454376668,66.49704014481411,42.0,1574098.67,1539.0,0.7636363636363637,True
1023499605,23,14.782730107006298,22.011563740348727,23.0,1698603.5699999996,738.0,1.0,True
1558522102,8,14.739046279757696,15.796583942075175,8.0,575235.0,142.0,1.0,True
