BILLING_PROVIDER_NPI_NUM,HCPCS_CODE,total_paid,total_claims,total_bene,active_months,claims_per_bene,paid_per_bene,claims_per_month,peer_median_cpb,peer_p95_cpb,peer_p99_cpb,ratio_to_p95,flag_phantom
1952915910,S5100,285965.28,109832.0,235.0,11,467.37021276595743,1216.8735319148936,9984.727272727272,12.09995949194191,19.371928663135932,27.064659209157266,24.12615805546227,True
1922477975,G0156,3119530.0,77770.0,227.0,13,342.59911894273125,13742.422907488986,5982.307692307692,12.116071428571429,37.55406041918536,51.363344313424406,9.122824938730368,True
1407430143,99509,585455.94,43979.0,150.0,11,293.1933333333333,3903.0395999999996,3998.090909090909,25.539408866995075,32.25874246518395,45.24840114848233,9.088802319240111,True
1144989351,H2015,1595308.7999999998,155257.0,600.0,20,258.76166666666666,2658.8479999999995,7762.85,3.819359756097561,25.07884615384615,55.76609046400377,10.317925516959335,True
1417409509,S5125,235692.82,48134.0,233.0,12,206.58369098712447,1011.5571673819743,4011.1666666666665,18.586329062671716,30.224280123008107,39.23580559402002,6.835024362742836,True
1457621633,H2015,3974180.7300000004,180094.0,1190.0,42,151.33949579831932,3339.647672268908,4287.952380952381,3.819359756097561,25.07884615384615,55.76609046400377,6.034547796574347,True
1467227744,99509,20573.92,2170.0,15.0,1,144.66666666666666,1371.5946666666666,2170.0,25.539408866995075,32.25874246518395,45.24840114848233,4.48457241700608,True
1477108546,S5135,4504.91,1710.0,12.0,1,142.5,375.40916666666664,1710.0,12.649265928772152,22.97420529801324,32.07808620689657,6.202608453765454,True
201016020A,T2003,0.0,3149.0,23.0,1,136.91304347826087,0.0,3149.0,6.721212121212122,23.69859008059785,31.779470752089207,5.777265356826111,True
1720171895,99401,5890.76,7488.0,60.0,3,124.8,98.17933333333333,2496.0,1.074501123298533,1.7093292682926828,2.521822149481724,73.01109406770593,True
1700232287,97153,58284.64,4045.0,33.0,1,122.57575757575758,1766.2012121212122,4045.0,11.632221684735699,22.030986590038314,33.902380952380945,5.563788851434475,True
1912620220,S5125,0.0,1502.0,13.0,1,115.53846153846153,0.0,1502.0,18.586329062671716,30.224280123008107,39.23580559402002,3.8227035042104562,True
1073668174,G0300,69616.12,13361.0,120.0,2,111.34166666666667,580.1343333333333,6680.5,3.5185185185185186,21.03344506517691,34.73563565073139,5.293553496426725,True
1871679449,T2025,3630.13,1332.0,12.0,1,111.0,302.5108333333333,1332.0,1.8023525341636395,25.369088325064766,31.33037747872698,4.375403584776499,True
1871538108,H2015,2985246.2499999995,83072.0,753.0,23,110.32138114209828,3964.4704515272238,3611.8260869565215,3.819359756097561,25.07884615384615,55.76609046400377,4.398981534689909,True
1659629301,T1019,7210344.95,479747.0,4410.0,43,108.78616780045351,1634.9988548752835,11156.906976744185,17.854060281479637,31.351376662853493,39.79176470588233,3.4699008266947398,True
1629464227,H2015,468407.52,8745.0,81.0,6,107.96296296296296,5782.808888888889,1457.5,3.819359756097561,25.07884615384615,55.76609046400377,4.304941395655298,True
1326095209,S9124,292470.36,11075.0,103.0,8,107.52427184466019,2839.518058252427,1384.375,15.945289442344535,26.43840659340659,34.33554775709487,4.066972472973292,True
1922477975,G0300,10300270.01,96993.0,907.0,22,106.93825799338478,11356.41676957001,4408.772727272727,3.5185185185185186,21.03344506517691,34.73563565073139,5.0842007888870455,True
1922157411,H2015,1613906.6400000001,31471.0,310.0,20,101.51935483870967,5206.150451612903,1573.55,3.819359756097561,25.07884615384615,55.76609046400377,4.048007400976078,True
1184836082,H2015,73678.9,2403.0,25.0,2,96.12,2947.156,1201.5,3.819359756097561,25.07884615384615,55.76609046400377,3.8327122153209117,True
1750459772,H2015,9014347.299999999,107867.0,1138.0,27,94.78646748681898,7921.2190685413,3995.074074074074,3.819359756097561,25.07884615384615,55.76609046400377,3.779538616144918,True
1053533554,H2015,4362879.04,56000.0,609.0,23,91.95402298850574,7164.0049917898195,2434.782608695652,3.819359756097561,25.07884615384615,55.76609046400377,3.666597036578713,True
1851390629,J0572,3220.96,1287.0,14.0,1,91.92857142857143,230.06857142857143,1287.0,15.811291757663998,26.669835011185672,55.618814814814925,3.4469118909065393,True
1376633297,H2015,2386667.29,53073.0,586.0,22,90.56825938566553,4072.8110750853243,2412.409090909091,3.819359756097561,25.07884615384615,55.76609046400377,3.611340762253361,True
1477108546,T1019,12660.75,5028.0,56.0,2,89.78571428571429,226.08482142857142,2514.0,17.854060281479637,31.351376662853493,39.79176470588233,2.8638523676727856,True
1902047293,T1000,115133.84,7623.0,85.0,5,89.68235294117648,1354.5157647058822,1524.6,22.776080935528544,31.99750146394759,44.58897276382672,2.8027923693424595,True
1063798031,T2020,584307.72,3207.0,36.0,3,89.08333333333333,16230.769999999999,1069.0,8.075268817204302,20.354166666666668,33.47752253466128,4.376663254861821,True
1396068771,H2015,2849426.6,42090.0,479.0,28,87.8705636743215,5948.6985386221295,1503.2142857142858,3.819359756097561,25.07884615384615,55.76609046400377,3.5037721885321056,True
1881789691,H2015,4000656.5999999996,62369.0,712.0,18,87.59691011235955,5618.899719101123,3464.9444444444443,3.819359756097561,25.07884615384615,55.76609046400377,3.492860459966795,True
1568485241,T1031,101776.0,8907.0,102.0,5,87.32352941176471,997.8039215686274,1781.4,3.0679611650485437,13.556893716764623,29.270035460992805,6.441263849681093,True
1568485241,T1030,8085.0,1042.0,12.0,1,86.83333333333333,673.75,1042.0,3.2227941176470587,7.5097318770684005,13.351041666666632,11.562774111614589,True
1437287364,D1351,6506.08,5792.0,67.0,4,86.44776119402985,97.10567164179105,1448.0,3.7053941908713695,7.321188446969695,9.737254174397027,11.807886358916406,True
1922181312,H2015,2569750.1399999997,47430.0,549.0,30,86.39344262295081,4680.783497267759,1581.0,3.819359756097561,25.07884615384615,55.76609046400377,3.444873105124947,True
1437208899,97537,283049.08999999997,52086.0,604.0,26,86.23509933774834,468.62432119205295,2003.3076923076924,9.067712980372587,24.303402684563753,36.790692968495954,3.548272661939653,True
1366561938,H2015,861769.69,15765.0,185.0,12,85.21621621621621,4658.21454054054,1313.75,3.819359756097561,25.07884615384615,55.76609046400377,3.397932093584268,True
1093990384,H2015,4655363.010000001,89628.0,1059.0,32,84.63456090651557,4395.999065155808,2800.875,3.819359756097561,25.07884615384615,55.76609046400377,3.3747390285551804,True
1104333715,0365T,155498.05000000002,5666.0,67.0,4,84.56716417910448,2320.866417910448,1416.5,13.522299306243806,26.76,45.4826210826211,3.16020792896504,True
1215470067,H0038,436232.4600000001,38136.0,476.0,30,80.11764705882354,916.4547478991599,1271.2,2.8849557522123894,14.017412935323378,25.337725628770503,5.715580145101521,True
1063764082,H2015,46997.12,3037.0,38.0,3,79.92105263157895,1236.7663157894738,1012.3333333333334,3.819359756097561,25.07884615384615,55.76609046400377,3.1867914552887857,True
1588909808,S5125,1039845.27,14036.0,176.0,1,79.75,5908.2117613636365,14036.0,18.586329062671716,30.224280123008107,39.23580559402002,2.63860709586564,True
1730615717,H2015,4381026.83,49783.0,627.0,26,79.3987240829346,6987.283620414673,1914.7307692307693,3.819359756097561,25.07884615384615,55.76609046400377,3.1659639999329805,True
1316132459,H2015,342256.53,5231.0,67.0,4,78.07462686567165,5108.3064179104485,1307.75,3.819359756097561,25.07884615384615,55.76609046400377,3.113166626037057,True
