BILLING_PROVIDER_NPI_NUM,total_paid,active_months,max_monthly,cv,temporal_entropy,max_concentration,flag_concentrated_time,flag_high_cv,flag_any_temporal
1073854451,209109959.16,69,32160477.42,2.1663491963488144,2.9626324577366785,0.15379696667336867,False,True,True
1700901725,168466259.68,84,28878793.96,2.157235037197368,3.4516977146866985,0.17142182663077452,False,True,True
1851726731,65843010.35,62,17456410.02,3.0196426254160285,2.199036033769185,0.26512168759003285,False,True,True
1073587937,27787469.330000002,76,3572541.5500000007,2.394641494204638,2.4644046421451686,0.12856663942919772,False,True,True
1922733641,27226821.61,6,9813131.26,0.884236886150615,1.3909999252663805,0.3604214770480512,True,False,True
1346974763,27131081.68,8,9566602.62,1.1751522977290147,1.4468402157260183,0.35260675312669654,True,False,True
1770513145,25672524.36,76,5529832.37,2.528690097923977,3.2158334947830416,0.21539885569710296,False,True,True
1740221621,24624927.53,83,10281817.5,4.052705532522259,2.663281187102123,0.4175369648285824,False,True,True
1790386746,21813622.96,32,7750365.09,2.716675946144287,1.7468079911775776,0.3552993055858704,False,True,True
1275809543,21292525.48,48,2759706.82,2.116566426817736,2.1922903965303657,0.1296091824613376,False,True,True
1205186442,20539609.68,53,7665226.45,3.0282339515569263,2.304879475775771,0.37319241063591624,False,True,True
1235226531,20485612.18,84,2658211.9500000007,2.078469191737378,3.2449204850645437,0.12975994696390863,False,True,True
1669982237,20280877.79,81,2716925.370000001,2.767960515985755,2.555845646527423,0.1339648805210813,False,True,True
1487387742,18359238.23,30,4995100.17,2.1029031899626425,1.9307140121849886,0.27207556802861965,False,True,True
1710183058,17617441.53,81,579751.33,0.8318196001506404,0.0,0.03290780497342737,True,False,True
1114431087,17366799.169999998,35,4894706.41,2.0808268438667765,2.2900918897214493,0.28184274845852325,False,True,True
1821110453,16918649.94,65,3570518.6300000004,2.3681101304652907,2.757165576101315,0.21104039877073077,False,True,True
1922477975,15655083.18,60,2491077.0,2.105574036329296,2.839979624653087,0.1591225655819224,False,True,True
1366637068,13779413.67,84,487805.06,0.9500978818201579,0.0,0.03540100266109508,True,False,True
1477953933,13570784.93,77,1518133.78,2.1392936633537945,3.0773328109533695,0.11186779451820551,False,True,True
1215634928,13028891.74,6,3576672.8899999997,0.6758923964708875,1.5216043965659347,0.2745185823456692,True,False,True
1851332894,12345766.32,84,3206546.11,2.776664885331362,3.236701715515192,0.2597283981315467,False,True,True
1164684825,12116196.37,83,4237414.699999999,3.542126281998777,2.7979161050846737,0.34973143143271784,False,True,True
1720716608,12025550.2,7,5239393.52,1.0809374229619197,1.4763630942391264,0.43568846604623546,True,False,True
1689756439,11854527.4,54,628541.36,0.9749040446712278,0.0,0.053021207745489705,True,False,True
1174965727,11194679.98,82,2351145.12,2.959765603510137,2.655995781514001,0.21002343293425704,False,True,True
1710477344,11025177.979999999,33,2743804.1799999997,2.105692217596541,2.209733456132544,0.2488671098985742,False,True,True
1043244726,10591454.08,76,2292084.87,2.5233642303224664,2.9702705222201295,0.21640889463215235,False,True,True
1174882948,10583904.06,71,1316042.06,2.0253474729512453,2.8780719514292357,0.12434372539087434,False,True,True
1235189911,10578890.66,73,939292.7500000007,2.1249738288219335,2.652104024443712,0.08878934287047453,False,True,True
1023130721,10386070.37,83,1884734.9500000002,2.4357197090675227,3.370143990366211,0.18146756981774623,False,True,True
1932964848,10176618.49,8,3213168.19,1.2408956410918386,1.304028535860752,0.31574026216639667,True,False,True
1750715801,9613459.92,78,972850.1900000002,2.007350349447907,3.013303121828625,0.10119667612865027,False,True,True
1932140811,9353553.27,84,2425700.11,3.054424863635542,3.0647982188924927,0.2593346122034755,False,True,True
1710554571,9300371.44,22,3995449.9899999998,2.7144200548657635,1.2196875572671728,0.4296011203182655,True,True,True
1952333460,9098352.85,84,1030167.79,2.257134014269222,2.926683712201279,0.11322574613052076,False,True,True
1194261594,9008523.56,74,1647135.0,2.8807419687307703,2.6173353477807138,0.18284183740315377,False,True,True
1043309735,8809431.87,69,2246593.1799999997,3.764078025196591,1.7968440213834027,0.255021346796567,False,True,True
1033272471,8786896.85,49,577935.0,1.1057053948835431,0.0,0.065772366498191,True,False,True
1194943514,8717717.07,63,1393594.02,2.1885740182448545,3.0698492718595,0.1598576793454023,False,True,True
1184199473,8684586.1,17,3047783.88,1.9534137383711194,1.4713237206073215,0.35094175414991857,True,False,True
1740288505,8481827.129999999,54,2519222.5399999996,2.1344080862816535,3.219493731632432,0.2970141340289259,False,True,True
1093767543,8459415.389999999,81,1334440.9899999995,2.0912299243927204,3.4241447418695934,0.1577462423204164,False,True,True
1316979834,7904949.800000001,84,1065161.7700000003,2.232579534941243,3.034335869360058,0.13474617764176064,False,True,True
1285638924,7830267.84,61,1800506.79,2.129773664912726,2.999087670413655,0.22994191600986155,False,True,True
1114227345,7778946.29,68,1350222.58,2.6461850157869633,2.6812689083527315,0.17357396871806915,False,True,True
1821464678,7690858.899999999,74,294253.47,0.9224191992115404,0.0,0.03826015713277486,True,False,True
1215504824,7574738.079999998,37,3667094.3099999987,3.7445460111182345,1.0920548940330945,0.48412159882893263,True,True,True
1427099332,7485315.25,83,2002312.5,3.0010450249317038,2.9579085980401105,0.2674987536430079,False,True,True
1336117670,7475792.39,60,4736909.07,4.891070922751388,1.900514520560799,0.6336330415403632,False,True,True
1942652946,7287049.03,67,3745477.55,4.382289561044946,1.814662012777018,0.5139909906712951,False,True,True
1689937260,7258118.9,83,1103132.02,2.0268036555422717,3.533022518389843,0.15198593949735378,False,True,True
