BILLING_PROVIDER_NPI_NUM,total_paid,total_claims,risk_upcoding,risk_velocity,risk_phantom,risk_cost_outlier,risk_relationship,risk_temporal,fraud_score,risk_tier
1265732184,131568.28,81922.0,0,1,0,1,1,1,4,High
1871853481,2617496.1200000015,54925.0,0,1,0,1,1,1,4,High
1710932470,511770.6099999999,12406.0,0,1,1,1,1,0,4,High
1780676957,916116.56,13372.0,0,1,1,1,1,0,4,High
1023521572,34086.270000000004,1902.0,0,1,0,1,1,1,4,High
1396142733,15255.92,132.0,1,1,0,1,0,1,4,High
1285923896,30291.89,619.0,1,0,1,1,1,0,4,High
1417244302,553565.6500000003,15881.0,0,1,0,1,1,1,4,High
1861005241,335536.7699999999,11981.0,0,1,1,0,1,1,4,High
1548231608,1120029.3900000004,15568.0,0,1,0,1,1,1,4,High
1972630499,315222.91000000003,2671.0,1,1,0,1,0,1,4,High
1699748533,206650.73000000004,1678.0,1,1,0,1,1,0,4,High
1265546048,3348350.1399999983,53893.0,0,1,1,1,1,0,4,High
1619281201,221590.98000000004,3441.0,1,1,0,1,1,0,4,High
1801807870,1888516.8100000008,7241.0,1,1,0,1,1,0,4,High
1174043129,15503.92,2054.0,0,1,0,1,1,1,4,High
1801530928,10172.89,611.0,1,1,0,1,0,1,4,High
1417063116,109233.41,210.0,1,1,0,1,0,1,4,High
1215294830,655198.1200000001,29306.0,0,1,0,1,1,1,4,High
1710090097,63732.929999999986,907.0,1,1,0,1,1,0,4,High
1407957673,70075.00000000001,292.0,0,1,0,1,1,1,4,High
1285372334,29458.900000000005,798.0,0,1,0,1,1,1,4,High
1437627031,126552.76000000001,1276.0,1,1,0,1,1,0,4,High
1699268631,8100.990000000002,5460.0,0,1,0,1,1,1,4,High
1184902405,20080.540000000005,12735.0,0,1,0,1,1,1,4,High
1154799948,2005700.5200000003,15676.0,1,1,0,1,0,1,4,High
1346352184,679586.3900000001,3371.0,1,1,0,1,1,0,4,High
1952911331,220.95,791.0,0,1,0,1,1,1,4,High
1518126499,15822.930000000004,13074.0,0,1,1,1,1,0,4,High
1497172803,2718554.5400000005,4237.0,0,1,1,1,0,1,4,High
1275637324,1728310.3599999994,37794.0,0,1,1,1,1,0,4,High
1528444288,43213.38,4291.0,0,1,0,1,1,1,4,High
1093779399,76092.22,3508.0,0,1,0,1,1,1,4,High
1205835485,1708296.9199999995,9476.0,0,1,0,1,1,1,4,High
1770678211,50558.96,375.0,1,1,0,1,1,0,4,High
1346530961,37601.63,323.0,0,1,0,1,1,1,4,High
1154091874,44068.159999999996,426.0,1,1,0,1,1,0,4,High
1417301847,38514.51,724.0,1,1,0,1,1,0,4,High
1386759132,752194.3000000002,32030.0,0,1,0,1,1,1,4,High
1639400260,24457.449999999997,7931.0,0,1,0,1,1,1,4,High
1154472702,50014.30999999999,858.0,1,1,0,1,1,0,4,High
1245413699,67412.88,117229.0,0,1,0,1,1,1,4,High
1134632037,356522.48,2812.0,1,1,0,1,1,0,4,High
1164962122,26236.139999999992,9503.0,0,1,1,1,0,1,4,High
1184906646,94397.49999999999,83071.0,0,1,1,1,1,0,4,High
1841451416,44260.409999999996,346.0,1,1,0,1,1,0,4,High
1942293691,5981512.96,31058.0,1,1,1,1,0,0,4,High
1891724142,14741.17,2406.0,0,1,0,1,1,1,4,High
1700062296,2035668.7300000002,5281.0,1,1,0,1,1,0,4,High
1568574309,490462.8999999999,4858.0,1,1,0,1,1,0,4,High
1477637874,4033885.1,2733.0,1,1,1,1,0,0,4,High
1689936304,38134.92,816.0,0,1,0,1,1,1,4,High
1538405659,836345.4399999997,7683.0,0,1,0,1,1,1,4,High
1033163076,384368.9100000003,6950.0,0,1,0,1,1,1,4,High
1417097593,1566105.0800000005,13479.0,1,1,0,1,1,0,4,High
1225451776,131964.32,2526.0,0,1,1,0,1,1,4,High
1689115081,7072.1100000000015,6406.0,0,1,1,1,1,0,4,High
1619952397,3244878.56,9245.0,1,1,0,1,0,1,4,High
1851346720,21713578.789999977,608212.0,0,1,1,1,1,0,4,High
1437474970,49958.70999999999,1275.0,0,1,0,1,1,1,4,High
1104299254,525510.62,14262.0,0,1,1,1,0,1,4,High
1043751035,652221.3199999997,16315.0,0,1,0,1,1,1,4,High
1528528726,3027513.0699999994,49080.0,0,1,0,1,1,1,4,High
1760747521,3068661.939999999,50527.0,0,1,1,1,1,0,4,High
1376881029,479928.2499999999,18422.0,0,1,1,1,1,0,4,High
1952333460,1720511.3300000005,274872.0,0,1,0,1,1,1,4,High
1740906387,28249.800000000007,2683.0,0,1,0,1,1,1,4,High
1699209510,21185.04,1204.0,0,1,0,1,1,1,4,High
1669835310,949564.67,27875.0,1,1,0,1,0,1,4,High
1669091120,204970.88,4861.0,0,1,0,1,1,1,4,High
1912219064,213594.26,20019.0,0,1,0,1,1,1,4,High
1053720243,209467.39999999997,28170.0,0,1,1,1,1,0,4,High
1750475372,826.55,765.0,0,1,0,1,1,1,4,High
1902167463,246291.33999999997,8266.0,0,1,0,1,1,1,4,High
1134346687,3725779.3600000003,10085.0,1,1,0,1,1,0,4,High
1851609176,94890.28999999998,5183.0,0,1,0,1,1,1,4,High
1750884516,81654.82,782.0,1,1,0,1,1,0,4,High
1649259730,14149.369999999999,3120.0,0,1,0,1,1,1,4,High
1538306352,20564.22,7687.0,0,1,0,1,1,1,4,High
1437427341,222805.86000000002,17716.0,0,1,0,1,1,1,4,High
1649334921,26285.869999999995,8053.0,0,1,0,1,1,1,4,High
1518479765,516442.20999999996,2867.0,1,1,0,1,0,1,4,High
1407116361,327266.99000000005,575.0,1,1,0,1,1,0,4,High
1407271430,157570.43,11003.0,0,1,1,1,0,1,4,High
1003884487,59402.07,2877.0,0,1,0,1,1,1,4,High
1982065108,161514.13999999998,2273.0,0,1,1,1,0,1,4,High
1053326751,651738.26,3750.0,0,1,0,1,1,1,4,High
1487245676,19905.1,278.0,1,1,0,1,1,0,4,High
1144203498,7816573.129999992,230816.0,0,1,1,1,1,0,4,High
1598143778,479656.39000000025,13523.0,0,1,1,1,1,0,4,High
1063435956,115616.58,1980.0,1,1,0,1,0,1,4,High
1215960315,705273.0499999997,23461.0,0,1,1,1,1,0,4,High
1154344042,21174.320000000003,2030.0,0,1,1,0,1,1,4,High
1891053823,135162.50999999998,8336.0,0,1,1,1,1,0,4,High
1861469983,1016515.0500000003,7428.0,1,1,0,1,1,0,4,High
1699950998,77462.92000000001,1002.0,1,1,0,1,1,0,4,High
1174757967,264902.31999999995,12859.0,0,1,0,1,1,1,4,High
1730298407,505.42999999999995,1231.0,0,1,0,1,1,1,4,High
1194964361,120048.24,26420.0,0,1,0,1,1,1,4,High
1639783509,222206.55,9924.0,0,1,1,1,1,0,4,High
1447581673,41607.19000000001,6507.0,0,1,1,1,0,1,4,High
1073957908,20813.649999999998,786.0,0,1,0,1,1,1,4,High
1376090357,1955959.1600000001,25702.0,0,1,0,1,1,1,4,High
1033164033,569171.4699999999,4494.0,1,1,0,1,1,0,4,High
1508949645,289647.85,12984.0,0,1,0,1,1,1,4,High
1720190572,789062.71,8774.0,1,1,0,1,1,0,4,High
1376053843,1070346.5000000007,20954.0,0,1,0,1,1,1,4,High
1558786830,4032155.3500000006,144444.0,0,1,1,1,1,0,4,High
1346986155,338168.67,1914.0,1,1,0,1,1,0,4,High
1033323746,83782.94000000003,22558.0,0,1,0,1,1,1,4,High
1841248622,265666.66000000003,36173.0,0,1,1,0,1,1,4,High
1154876985,1069918.6999999997,20094.0,0,1,1,1,1,0,4,High
1447284898,3052291.480000002,23026.0,1,1,0,1,1,0,4,High
1821196486,3064006.7900000014,90856.0,0,1,1,1,1,0,4,High
1891909941,861299.5099999998,27376.0,0,1,0,1,1,1,4,High
1710952056,1188662.7899999996,15374.0,0,1,0,1,1,1,4,High
1023297710,229124.65999999997,1358.0,1,1,0,1,1,0,4,High
1215342175,1919710.36,16524.0,0,1,0,1,1,1,4,High
1740601418,324779.04,12590.0,0,1,0,1,1,1,4,High
1235363375,182952.33000000002,6280.0,0,1,0,1,1,1,4,High
1912303579,988614.1899999997,8658.0,1,1,0,1,1,0,4,High
1184722779,27497439.30000002,400448.0,0,1,1,1,1,0,4,High
1457455578,88119.5,7998.0,0,1,0,1,1,1,4,High
1306384672,148216.4700000001,5567.0,0,1,0,1,1,1,4,High
1760807994,132857.80999999997,4900.0,0,1,1,1,1,0,4,High
1700325610,482356.38999999996,17964.0,0,1,1,1,1,0,4,High
1144646522,25436.510000000002,690.0,1,1,0,1,1,0,4,High
1265784086,210426.58000000002,5195.0,0,1,1,1,1,0,4,High
1063657088,757076.2800000001,6682.0,1,1,0,1,1,0,4,High
1558664102,268659.36,60185.0,0,1,0,1,1,1,4,High
1134336811,10590.970000000001,4444.0,0,1,0,1,1,1,4,High
1528263910,162994055.54999998,460347.0,1,1,0,1,1,0,4,High
1427160274,74690.71,6124.0,0,1,0,1,1,1,4,High
1184961625,2316161.44,130193.0,0,1,0,1,1,1,4,High
1750493508,2067387.9700000002,17356.0,1,1,0,1,1,0,4,High
1457435349,896636.4299999999,112570.0,0,1,0,1,1,1,4,High
1801957576,3616197.689999998,484574.0,0,1,0,1,1,1,4,High
1245567627,339277.19999999995,15438.0,0,1,1,1,0,1,4,High
1134710379,2377753.0700000003,4529.0,0,1,1,1,0,1,4,High
1578653937,27086.99,71885.0,0,1,0,1,1,1,4,High
1316979834,1507775.4099999995,180978.0,0,1,0,1,1,1,4,High
1790121325,93432.59000000003,27080.0,0,1,1,1,1,0,4,High
1669725552,40042.23,5351.0,0,1,0,1,1,1,4,High
1124122403,208456.47,635.0,1,1,0,1,1,0,4,High
1790787919,983580.2400000006,37338.0,0,1,1,1,1,0,4,High
1881252286,234620.47,1486.0,1,1,0,1,0,1,4,High
1760798078,21007.570000000003,11202.0,0,1,0,1,1,1,4,High
1750785986,668068.5299999999,17303.0,0,1,1,1,0,1,4,High
1245208057,2117313.32,16616.0,1,1,0,1,1,0,4,High
1831736438,66181.18000000001,5370.0,0,1,0,1,1,1,4,High
1902846306,3691605.12,135988.0,0,1,1,1,1,0,4,High
1760820963,237078.86,11736.0,0,1,0,1,1,1,4,High
1629253711,248095.59,6523.0,0,1,0,1,1,1,4,High
1831251941,187238.05,10319.0,0,1,1,0,1,1,4,High
1013228188,11351.560000000001,4958.0,0,1,0,1,1,1,4,High
1487107447,681765.38,10133.0,1,1,0,1,1,0,4,High
1003824061,3223670.52,34865.0,1,1,0,1,1,0,4,High
1851396576,7495831.179999997,105541.0,0,1,0,1,1,1,4,High
1033398136,933.08,1819.0,0,1,0,1,1,1,4,High
1891763132,1281891.1600000001,8928.0,1,1,0,1,1,0,4,High
1720418551,43856.79000000001,4593.0,0,1,0,1,1,1,4,High
1851857379,61766.32,261.0,1,0,0,1,1,1,4,High
1952812836,12184.57,202.0,1,1,0,1,1,0,4,High
1730665043,748162.6300000002,18089.0,0,1,1,1,1,0,4,High
1285827527,693426.2499999997,17842.0,0,1,1,1,0,1,4,High
1083149611,136465.85000000003,1932.0,0,1,0,1,1,1,4,High
1578531802,886867.0299999999,8592.0,1,1,0,1,1,0,4,High
1174503114,1915483.33,16202.0,0,1,0,1,1,1,4,High
1073888699,228898.29999999996,18098.0,0,1,1,1,0,1,4,High
1326209925,933495.57,63981.0,0,1,0,1,1,1,4,High
1386025773,7573.18,1385.0,0,1,0,1,1,1,4,High
1770548422,50451.69,1540.0,0,1,0,1,1,1,4,High
1992742860,664848.2700000004,21404.0,0,1,0,1,1,1,4,High
1831490184,3461.67,6641.0,0,1,0,1,1,1,4,High
1407310576,23381.050000000007,4393.0,0,1,1,0,1,1,4,High
1710468848,77251.60999999997,9000.0,0,1,1,1,1,0,4,High
1417938044,222694.0099999999,6338.0,0,1,0,1,1,1,4,High
1922280007,440016.0,3723.0,0,1,0,1,1,1,4,High
1467077933,1670.25,1040.0,0,1,0,1,1,1,4,High
1912493750,176700.0,499.0,1,1,0,1,1,0,4,High
1922266386,816640.1400000002,14953.0,0,1,0,1,1,1,4,High
1508169160,130414.42,18549.0,0,1,0,1,1,1,4,High
1972622371,1061142.63,444.0,1,0,1,1,0,1,4,High
1124596382,3352818.8599999975,87269.0,0,1,0,1,1,1,4,High
1457890758,80708.69,414.0,1,1,0,1,0,1,4,High
1679262737,170785.96,311.0,1,1,0,1,0,1,4,High
1336333954,40479.75,509.0,0,1,1,1,0,1,4,High
1700882156,8045.919999999999,3909.0,0,1,0,1,1,1,4,High
1639263189,515793.3200000002,10717.0,0,1,1,1,1,0,4,High
1699034827,11236.54,5317.0,0,1,0,1,1,1,4,High
1760013700,297119.78,2961.0,1,1,0,1,1,0,4,High
1548515091,1393959.119999999,33407.0,0,1,0,1,1,1,4,High
1609020080,4608.84,3265.0,0,1,1,1,0,1,4,High
1891892535,343291.9700000002,51098.0,0,1,0,1,1,1,4,High
1821179656,385734.4699999999,27975.0,0,1,0,1,1,1,4,High
1588619696,59819.24,5182.0,0,1,0,1,1,1,4,High
