BILLING_PROVIDER_NPI_NUM,n_codes,avg_z_score,max_z_score,high_z_count,total_paid,total_claims,upcode_ratio,flag_upcoding
1891849725,7,32.908379434064514,41.82633681570275,7.0,993048.0800000001,453.0,1.0,True
1740547728,6,20.398256066662377,59.25055535504241,3.0,166387.0,616.0,0.5,True
1427273705,3,16.31594304315391,30.990454354893703,2.0,96402.53,140.0,0.6666666666666666,True
1750969168,4,15.138169420718357,18.454017208644142,4.0,87141.0,124.0,1.0,True
1952631442,3,14.875162593073277,30.14417394150032,3.0,77018.16,155.0,1.0,True
1881730802,16,14.68078087084979,27.879423688132487,14.0,139709.51,373.0,0.875,True
1689794364,17,13.974695141666913,20.51029439512634,16.0,220608.0,340.0,0.9411764705882353,True
1609093723,5,13.946022648756875,20.243338078232465,5.0,79222.74,110.0,1.0,True
1922544329,4,13.677706931571224,21.22003125164078,4.0,44979.770000000004,73.0,1.0,True
1265669444,5,13.600645300290301,15.203709781588028,5.0,405017.36,175.0,1.0,True
1538378625,78,13.491316107470352,21.6591633819971,77.0,1309863.52,1932.0,0.9871794871794872,True
1154467173,9,13.281559851640854,38.506131122560916,6.0,76910.02,220.0,0.6666666666666666,True
1770782831,12,13.263853595357523,50.89848358225997,11.0,120959.19,501.0,0.9166666666666666,True
1629078274,12,12.645710214729355,26.374999518525794,12.0,114108.19,253.0,1.0,True
1881374650,3,12.634886546078917,19.366679385819598,3.0,77077.5,122.0,1.0,True
1174027296,6,12.547457337992844,15.126569944215815,6.0,132321.0,189.0,1.0,True
1790106300,3,12.334451626163933,15.14661838957544,3.0,212835.87,153.0,1.0,True
1740246792,3,12.258457378761593,36.45039047371162,1.0,98305.29,103.0,0.3333333333333333,True
1932116589,3,11.79721665923887,20.14290603353334,2.0,38174.33,113.0,0.6666666666666666,True
1336573872,3,11.620748610715522,29.869550783718836,3.0,328820.0,336.0,1.0,True
1447445135,4,11.401433595096881,30.186435863598007,4.0,74507.64,82.0,1.0,True
1699892307,3,11.311127807556964,12.529960090216457,3.0,33474.479999999996,57.0,1.0,True
1578547345,4,10.742580029397267,36.40089011994532,2.0,76234.21999999999,59.0,0.5,True
1659583383,7,10.551170886110258,25.565746098547134,7.0,87463.64000000001,174.0,1.0,True
1932184298,8,10.359159266830682,18.906276303519885,5.0,113174.93000000001,234.0,0.625,True
1467827493,5,9.91037700016955,18.379637301166365,5.0,108390.21,216.0,1.0,True
1649356791,4,9.735987272027849,39.25879059488073,1.0,409454.63,5081.0,0.25,True
1578921151,3,9.63832473151733,10.836903708802224,3.0,45819.56,54.0,1.0,True
1578703393,3,9.616714869736956,14.713123025927066,2.0,232315.97,807.0,0.6666666666666666,True
1790014082,3,9.544304089635947,22.757954395057702,2.0,1721.6,80.0,0.6666666666666666,True
1881637403,5,9.536862274900198,10.560243791353093,5.0,196878.13,300.0,1.0,True
1134399397,7,9.364848518368962,18.80778640105701,6.0,44809.72,142.0,0.8571428571428571,True
1154437879,5,9.329309536029369,15.95849594139731,4.0,618548.61,523.0,0.8,True
1033490149,11,9.219608566201451,49.411286353942366,3.0,38439.71,486.0,0.2727272727272727,True
1588333678,6,9.190428597708376,12.606067909044278,5.0,193556.09999999998,255.0,0.8333333333333334,True
1689225351,5,9.134329371638596,12.061391668044429,5.0,109876.0,180.0,1.0,True
1740294081,4,9.071816461826796,11.713543430180618,4.0,79400.01,144.0,1.0,True
1679514236,16,9.018843450390747,55.97910529487851,13.0,211626.54000000004,522.0,0.8125,True
1962583054,4,8.987395928944414,39.18412261480358,1.0,811.05,112.0,0.25,True
1023561248,4,8.944642298870308,27.767894089999512,2.0,5851.450000000001,133.0,0.5,True
1720202187,43,8.939271127372168,37.61917790074074,27.0,212513.38999999998,1172.0,0.627906976744186,True
1114246816,3,8.885611666746385,11.484440334080226,3.0,1697523.09,1222.0,1.0,True
1619089471,6,8.757868458451208,27.326371852614713,5.0,188445.42999999996,444.0,0.8333333333333334,True
1811925308,3,8.6191539086867,15.679191403513885,3.0,261716.41,65.0,1.0,True
1356400311,4,8.592113200749084,31.835551274435304,1.0,187021.76,289.0,0.25,True
1356409213,5,8.575431199532137,26.882041146764493,2.0,419168.23000000004,4963.0,0.4,True
1477068914,4,8.533094364292303,17.25338073698476,4.0,21577.41,90.0,1.0,True
1932114600,21,8.457943183141865,29.62243003313218,15.0,205876.91999999998,601.0,0.7142857142857143,True
1184638645,3,8.456732851621368,25.868876631306225,1.0,3278.06,75.0,0.3333333333333333,True
1396756938,21,8.420820428218342,11.922207327704843,21.0,632663.85,563.0,1.0,True
1144250580,3,8.344962920136116,12.93979830279625,2.0,14868.61,71.0,0.6666666666666666,True
1174666358,9,8.205766212555282,27.02434040484216,7.0,103448.67,275.0,0.7777777777777778,True
1962531152,3,8.197395194997211,14.060744778399311,2.0,526155.13,150.0,0.6666666666666666,True
1366405342,3,8.150436350632015,11.507671284463408,3.0,178105.26,181.0,1.0,True
1881736148,3,8.142657818265604,17.79896019954803,3.0,4588.63,44.0,1.0,True
1821201278,112,8.052283610305647,38.736489504592974,78.0,1195213.69,2823.0,0.6964285714285714,True
1386680056,29,8.024605103448106,22.36091679305297,22.0,280442.48,720.0,0.7586206896551724,True
1740406404,3,8.016120848884764,11.514584314710486,3.0,35617.5,52.0,1.0,True
1679510598,3,7.953377423167733,24.054976673986296,1.0,3696.16,139.0,0.3333333333333333,True
1205883907,4,7.916143155424805,14.417229554423386,3.0,19194.92,105.0,0.75,True
