BILLING_PROVIDER_NPI_NUM,HCPCS_CODE,CLAIM_FROM_MONTH,TOTAL_PAID,TOTAL_CLAIMS,TOTAL_UNIQUE_BENEFICIARIES,cost_per_bene,avg_cpb,std_cpb,z_score
1356321699,36415,2022-12,45630.11,16,13,3510.0084615384617,5.868861196004876,40.01839308735936,87.56322605690313
1841069044,85025,2024-03,71259.12,16,16,4453.695,9.50089125198956,59.44260862594832,74.76445283069219
1699769901,85025,2020-02,47659.71,17,12,3971.6425,9.50089125198956,59.44260862594832,66.65490799167968
1992727663,81001,2018-04,31863.56,18,14,2275.9685714285715,5.215718848354984,34.39447676171262,66.02085760199678
1154312429,93010,2022-06,6371.58,481,16,398.22375,6.58740216837122,6.302016133916007,62.14461205897771
1942685920,80053,2018-08,40637.32,35,12,3386.443333333333,14.346578466879235,54.45365227484871,61.92599787147744
1285717298,1160F,2024-02,3506.93,31,29,120.92862068965516,0.09977781972253535,1.9615023450633853,61.60015213544294
1508935891,93005,2018-10,42181.14,14,12,3515.095,24.311060925703096,57.62920799773043,60.5731721874743
1740547728,D1208,2022-09,40320.0,64,63,640.0,15.756722309950415,10.702457309486533,58.32709812696264
1558416701,D0230,2022-02,10314.77,17,16,644.673125,13.29248886947041,11.106289585261212,56.84892612276326
1699769901,85025,2019-03,57317.08,24,17,3371.5929411764705,9.50089125198956,59.44260862594832,56.56030459700983
1699703827,99232,2024-05,164202.47,149,32,5131.3271875,81.19720554835112,93.33721981967422,54.10628248525515
1679514236,90471,2024-10,13780.0,13,13,1060.0,11.04445762823494,19.7004476608834,53.24526429186372
1699769901,97112,2019-05,146383.94,69,12,12198.661666666667,82.55314493281476,233.74630333827673,51.83443908500862
1164874426,1036F,2023-01,3428.52,59,57,60.14947368421053,0.06499863139828786,1.1720128312517781,51.266055669918316
1740547728,D1208,2024-04,99222.0,178,177,560.5762711864406,15.756722309950415,10.702457309486533,50.906024020630156
1699703827,99232,2023-10,125631.42,120,26,4831.977692307692,81.19720554835112,93.33721981967422,50.899100015382515
1033490149,3078F,2019-12,3568.62,54,48,74.34625,0.21091335072187548,1.4597427234017943,50.78657729254689
1194368167,D1120,2024-05,26829.41,25,25,1073.1764,33.92458180910534,20.653516301250104,50.318396297873576
1033154026,80053,2019-04,37653.92,24,14,2689.565714285714,14.346578466879235,54.45365227484871,49.12836924722635
1093740128,85610,2019-08,14832.31,14,13,1140.946923076923,4.2695261892401675,23.193533506016433,49.008375398807914
1760590962,99213,2020-06,32097.91,12,12,2674.8258333333333,50.30623114884409,54.256440587309854,48.372498707523825
1770782831,D0274,2019-10,12958.0,19,19,682.0,22.99497008540311,13.717222749320438,48.04216144607293
