HCPCS_CODE,first_seen,last_seen,months_active,total_paid,provider_count,first_dt,last_dt,first_quarter,last_quarter
90653,2018-09,2024-12,30,47856.62999999999,223,2018-09-01,2024-12-01,2018Q3,2024Q4
85250,2018-03,2024-09,36,12413.579999999998,20,2018-03-01,2024-09-01,2018Q1,2024Q3
85260,2018-09,2024-09,8,1350.2200000000003,3,2018-09-01,2024-09-01,2018Q3,2024Q3
98972,2021-04,2022-05,5,1715.23,5,2021-04-01,2022-05-01,2021Q2,2022Q2
44500,2018-01,2024-06,12,2856.25,4,2018-01-01,2024-06-01,2018Q1,2024Q2
86789,2019-08,2024-10,15,2615.02,7,2019-08-01,2024-10-01,2019Q3,2024Q4
82775,2018-01,2024-09,34,2228065.5,7,2018-01-01,2024-09-01,2018Q1,2024Q3
82776,2018-01,2024-11,69,10465.630000000001,35,2018-01-01,2024-11-01,2018Q1,2024Q4
2022F,2018-01,2024-12,84,51047.98999999999,562,2018-01-01,2024-12-01,2018Q1,2024Q4
OP940,2024-03,2024-03,1,67.98,1,2024-03-01,2024-03-01,2024Q1,2024Q1
85525,2018-01,2024-08,14,1566.45,6,2018-01-01,2024-08-01,2018Q1,2024Q3
73010,2018-02,2024-10,23,4999.8,15,2018-02-01,2024-10-01,2018Q1,2024Q4
D8697,2020-06,2024-09,15,12187.14,6,2020-06-01,2024-09-01,2020Q2,2024Q3
G0435,2018-03,2024-10,35,22925.11,18,2018-03-01,2024-10-01,2018Q1,2024Q4
3288F,2018-01,2024-12,84,18313.86,1088,2018-01-01,2024-12-01,2018Q1,2024Q4
82634,2022-05,2024-09,4,583.81,1,2022-05-01,2024-09-01,2022Q2,2024Q3
G2215,2022-01,2024-05,7,6953.72,6,2022-01-01,2024-05-01,2022Q1,2024Q2
C7901,2023-06,2024-09,15,32498.510000000006,19,2023-06-01,2024-09-01,2023Q2,2024Q3
84060,2018-06,2024-08,22,1535.84,5,2018-06-01,2024-08-01,2018Q2,2024Q3
