decile,provider_count,total_paid,avg_paid,median_paid,min_paid,max_paid,total_claims,pct_of_total
D1,25346,4346226.24,171.47582419316657,169.23000000000002,0.01,360.0,1511137.0,0.039964767149015284
D2,25306,14512397.56,573.4765494349166,570.885,360.01,800.9300000000001,1360077.0,0.13344555879800166
D3,25326,27381102.19,1081.1459444839297,1071.375,800.96,1397.9099999999999,1664714.0,0.2517769008975342
D4,25326,46085991.51,1819.7106337360815,1800.42,1397.9299999999998,2314.52,2248420.0,0.42377359525781266
D5,25326,75649284.41,2987.020627418463,2958.185,2314.6,3781.34,3117528.0,0.6956163507114812
D6,25325,124109339.82,4900.664948469891,4842.01,3781.3600000000006,6265.0,4494547.0,1.141220128228831
D7,25326,213458401.69,8428.429348890468,8267.34,6265.04,11217.949999999999,6993056.0,1.9628097683984855
D8,25326,412740888.39,16297.121076759062,15841.16,11218.21,23298.2,11792947.0,3.795268029439732
D9,25326,989718865.12,39079.16232804233,36758.229999999996,23298.74,64808.92,23056708.0,9.100742069862536
D10,25326,8967142161.85,354068.63151899236,146175.055,64813.55,143174895.95000002,130544180.0,82.45538283125656
