BILLING_PROVIDER_NPI_NUM,total_paid,total_claims,total_bene,procedure_count,active_months,avg_cost_per_claim,anomaly_score,anomaly_label
1376609297,143174895.95000002,1726466.0,99002.0,4,7,69.69713589408234,-1,anomaly
1417262056,103250747.98,1400920.0,81343.0,11,18,83.22100017941433,-1,anomaly
1699703827,70256171.61000006,317129.0,104286.0,59,81,259.94798581419684,-1,anomaly
1699725143,51161412.499999985,1872727.0,265784.0,24,83,73.5636809832912,-1,anomaly
1396051694,42960501.05,266000.0,12938.0,3,4,171.72231842046602,-1,anomaly
1356709976,39024464.84999998,92036.0,3803.0,25,42,228.38305734885668,-1,anomaly
1770022691,33944564.0,244132.0,10625.0,2,4,178.76898308916802,-1,anomaly
1710176151,33737206.97999999,582239.0,35307.0,26,33,104.69821100179509,-1,anomaly
1447393319,32867245.44,200383.0,9327.0,3,9,256.5926133271284,-1,anomaly
1083783013,29519778.29,170413.0,7392.0,3,5,209.30245081031862,-1,anomaly
1750504064,28352727.810000002,8328.0,4517.0,8,9,2431.058375007929,-1,anomaly
1275657553,22606487.689999998,164662.0,8325.0,1,2,137.5819306483043,-1,anomaly
1982757688,21616518.21000001,18970.0,5181.0,13,69,2818.6253142657038,-1,anomaly
1396049987,21238231.38,43691.0,3263.0,2,4,402.2074706614996,-1,anomaly
1932106010,20048312.17,98873.0,4408.0,1,3,206.03917503031087,-1,anomaly
1184703415,19771435.27,100931.0,4829.0,1,2,193.83809971202209,-1,anomaly
1518098359,18131409.5,204220.0,8030.0,1,1,88.7837111938106,-1,anomaly
1528263910,17653885.86,48704.0,16302.0,24,71,427.43580348112073,-1,anomaly
1902341050,16675453.21,127946.0,6085.0,1,4,131.10236270023742,-1,anomaly
1518096411,16336050.18,20241.0,3256.0,8,9,1758.3769655412955,-1,anomaly
1518049485,15319728.950000001,89951.0,4627.0,2,2,150.6102422124094,-1,anomaly
1538144910,14869649.670000013,937834.0,807858.0,417,84,18.945155566879865,-1,anomaly
1134250475,14865633.3,37267.0,3469.0,7,10,1183.1043615181145,-1,anomaly
1447261540,14329148.820000002,81775.0,24398.0,36,81,250.55612633770076,-1,anomaly
