CLAIM_FROM_MONTH,total_paid,total_claims,providers,velocity_paid,velocity_claims,accel_paid,accel_claims,velocity_pct,accel_pct
2018-01-01,915678792.77,18801485.0,82061,,,,,,
2018-02-01,869453389.96,17633471.0,78716,-46225402.80999994,-1168014.0,,,-5.048211575389283,
2018-03-01,910451511.9700001,18556947.0,81633,40998122.01000011,923476.0,87223524.82000005,2091490.0,4.71539043765028,9.763602013039563
2018-04-01,894196311.7700005,17718661.0,80698,-16255200.19999969,-838286.0,-57253322.2099998,-1761762.0,-1.7853998797615622,-6.500790317411842
2018-05-01,914832486.390002,17921632.0,80442,20636174.620001554,202971.0,36891374.820001245,1041257.0,2.3077901740786277,4.09319005384019
2018-06-01,860915454.8900075,16432312.0,75976,-53917031.49999452,-1489320.0,-74553206.11999607,-1692291.0,-5.893650728643795,-8.201440902722423
2018-07-01,902859917.6799973,17409679.0,76396,41944462.78998983,977367.0,95861494.28998435,2466687.0,4.872076874883002,10.765727603526798
2018-08-01,947114083.8499935,18593291.0,81771,44254166.16999614,1183612.0,2309703.3800063133,206245.0,4.901553973479333,0.029477098596331075
2018-09-01,846768528.7900047,16366280.0,75674,-100345555.05998874,-2227011.0,-144599721.22998488,-3410623.0,-10.594875186744845,-15.496429160224178
2018-10-01,980857304.1900002,19722524.0,83383,134088775.39999545,3356244.0,234434330.45998418,5583255.0,15.83535179225455,26.430226978999393
2018-11-01,876734010.7800032,17025895.0,76726,-104123293.40999699,-2696629.0,-238212068.80999243,-6052873.0,-10.615539382253248,-26.450891174507795
2018-12-01,922000918.0399983,16727177.0,73557,45266907.2599951,-298718.0,149390200.6699921,2397911.0,5.16312891976467,15.778668302017918
2019-01-01,1057515797.3499986,20045436.0,83040,135514879.3100003,3318259.0,90247972.0500052,3616977.0,14.697911537667396,9.534782617902726
2019-02-01,951916157.929998,18836965.0,80215,-105599639.42000055,-1208471.0,-241114518.73000085,-4526730.0,-9.985632336142869,-24.683543873810265
2019-03-01,1028575097.7900012,20231357.0,83244,76658939.86000311,1394392.0,182258579.28000367,2602863.0,8.053118882518273,18.03875121866114
2019-04-01,1045190587.6000015,20105167.0,84353,16615489.8100003,-126190.0,-60043450.05000281,-1520582.0,1.6153890800681747,-6.437729802450098
2019-05-01,1066504186.0600002,20410127.0,82898,21313598.459998727,304960.0,4698108.649998426,431150.0,2.039206888471856,0.42381780840368144
2019-06-01,966177853.7600037,17539100.0,78057,-100326332.2999965,-2871027.0,-121639930.75999522,-3175987.0,-9.407026583799293,-11.44623347227115
2019-07-01,1009565693.7499988,19021811.0,81170,43387839.98999512,1482711.0,143714172.28999162,4353738.0,4.490668029819345,13.897694613618638
2019-08-01,1031496515.4399981,20557411.0,84041,21930821.689999342,1535600.0,-21457018.29999578,52889.0,2.172302587713526,-2.3183654421058186
2019-09-01,1027533756.9599988,20018593.0,83495,-3962758.479999304,-538818.0,-25893580.169998646,-2074418.0,-0.3841756535948093,-2.5564782413083353
2019-10-01,1297957195.999999,24266222.0,89922,270423439.0400002,4247629.0,274386197.5199995,4786447.0,26.317718246070964,26.701893899665773
2019-11-01,1095231916.959999,19747101.0,81875,-202725279.03999996,-4519121.0,-473148718.08000016,-8766750.0,-15.61879541673269,-41.936513662803655
2019-12-01,1109149977.2400005,20238208.0,79285,13918060.280001402,491107.0,216643339.32000136,5010228.0,1.2707865854232336,16.889582002155922
2020-01-01,1159575107.2800004,21956388.0,89216,50425130.03999996,1718180.0,36507069.75999856,1227073.0,4.546285991501109,3.2754994060778753
2020-02-01,1183370762.3200016,21742193.0,85256,23795655.040001154,-214195.0,-26629474.999998808,-1932375.0,2.052101230063341,-2.4941847614377677
2020-03-01,1122152640.720004,18403526.0,74992,-61218121.59999752,-3338667.0,-85013776.63999867,-3124472.0,-5.17319875978508,-7.225299989848422
2020-04-01,845066624.5099994,12765586.0,51522,-277086016.2100047,-5637940.0,-215867894.61000717,-2299273.0,-24.69236413614985,-19.519165376364768
2020-05-01,904901803.3999975,14323062.0,61859,59835178.88999808,1557476.0,336921195.10000277,7195416.0,7.080527990877972,31.77289212702782
2020-06-01,1096370564.580001,18688304.0,75561,191468761.18000364,4365242.0,131633582.29000556,2807766.0,21.159065045576874,14.078537054698902
2020-07-01,1193699124.2499988,19870199.0,78841,97328559.66999769,1181895.0,-94140201.51000595,-3183347.0,8.877341549869367,-12.281723495707507
2020-08-01,1104321391.6000025,19904588.0,79907,-89377732.64999628,34389.0,-186706292.31999397,-1147506.0,-7.4874590115957655,-16.36480056146513
2020-09-01,1098272215.389998,19994102.0,84301,-6049176.210004568,89514.0,83328556.43999171,55125.0,-0.5477731624160764,6.939685849179689
2020-10-01,1254539034.5599966,22166706.0,89097,156266819.16999865,2172604.0,162315995.3800032,2083090.0,14.228423243367594,14.77619640578367
2020-11-01,1246361399.0699952,21207349.0,85715,-8177635.49000144,-959357.0,-164444454.6600001,-3131961.0,-0.6518438458050557,-14.88026708917265
2020-12-01,1225900475.79,21520989.0,86076,-20460923.279995203,313640.0,-12283287.789993763,1272997.0,-1.6416525170999896,-0.9898086712949339
2021-01-01,1258713777.6099973,22707355.0,89174,32813301.81999731,1186366.0,53274225.09999251,872726.0,2.6766693110916284,4.318321828191618
2021-02-01,1209737997.4300065,21278090.0,87029,-48975780.17999077,-1429265.0,-81789081.99998808,-2615631.0,-3.890938595506943,-6.567607906598571
2021-03-01,1450980524.939997,26368343.0,97960,241242527.50999045,5090253.0,290218307.6899812,6519518.0,19.941716968673482,23.832655564180424
2021-04-01,1317181656.0100026,24145108.0,95364,-133798868.92999434,-2223235.0,-375041396.4399848,-7313488.0,-9.22127255536579,-29.162989524039272
2021-05-01,1357400871.200002,23692437.0,92100,40219215.18999934,-452671.0,174018084.1199937,1770564.0,3.053429647041317,12.274702202407106
2021-06-01,1320430373.5699914,23960250.0,93779,-36970497.630010605,267813.0,-77189712.82000995,720484.0,-2.723624127139912,-5.777053774181229
2021-07-01,1349546817.219999,24372165.0,91850,29116443.650007725,411915.0,66086941.28001833,144102.0,2.205072242566408,4.92869636970632
2021-08-01,1504638677.1399906,26490454.0,96065,155091859.9199915,2118289.0,125975416.26998377,1706374.0,11.492143728623905,9.287071486057496
2021-09-01,1360374604.629992,24965889.0,95344,-144264072.50999856,-1524565.0,-299355932.42999005,-3642854.0,-9.58795455027216,-21.080098278896067
2021-10-01,1349883723.9599981,25000364.0,96450,-10490880.669993877,34475.0,133773191.84000468,1559040.0,-0.7711758683445313,8.816778681927628
2021-11-01,1325082677.2400038,23842064.0,94586,-24801046.719994307,-1158300.0,-14310166.05000043,-1192775.0,-1.8372728168940644,-1.066096948549533
2021-12-01,1392958757.0700002,24187797.0,91989,67876079.82999635,345733.0,92677126.54999065,1504033.0,5.122403378736684,6.959676195630749
2022-01-01,1528539463.1999993,25749425.0,92683,135580706.12999916,1561628.0,67704626.30000281,1215895.0,9.733289334077956,4.6108859553412715
2022-02-01,1269644085.0899925,22862490.0,91179,-258895378.1100068,-2886935.0,-394476084.24000597,-4448563.0,-16.93743500530951,-26.670724339387466
2022-03-01,1588421977.6699991,27751800.0,100274,318777892.5800066,4889310.0,577673270.6900134,7776245.0,25.107657832896656,42.045092838206166
2022-04-01,1430791599.1399956,25364123.0,94930,-157630378.53000355,-2387677.0,-476408271.11001015,-7276987.0,-9.923709237593526,-35.031367070490184
2022-05-01,1497902166.0399978,25941518.0,95000,67110566.90000224,577395.0,224740945.4300058,2965072.0,4.690450163415849,14.614159401009374
2022-06-01,1524837399.189996,25486690.0,94033,26935233.149998188,-454828.0,-40175333.75000405,-1032223.0,1.798197089280329,-2.89225307413552
2022-07-01,1385998440.1800003,23363116.0,89458,-138838959.0099957,-2123574.0,-165774192.1599939,-1668746.0,-9.10516485782339,-10.903361947103718
