CLAIM_FROM_MONTH,billing_type,total_paid
2018-01-01,Same,562830005.2999998
2018-01-01,Third-Party,352848787.4700004
2018-02-01,Same,555131988.6100011
2018-02-01,Third-Party,314321401.3500013
2018-03-01,Same,574029057.119999
2018-03-01,Third-Party,336422454.8500005
2018-04-01,Same,567490291.0199975
2018-04-01,Third-Party,326706020.75000006
2018-05-01,Same,581967649.9400002
2018-05-01,Third-Party,332864836.4500004
2018-06-01,Same,549089239.01
2018-06-01,Third-Party,311826215.88
2018-07-01,Third-Party,320893776.6800013
2018-07-01,Same,581966140.9999971
2018-08-01,Third-Party,352494882.7
2018-08-01,Same,594619201.1499993
2018-09-01,Same,523277797.1399986
2018-09-01,Third-Party,323490731.65000093
2018-10-01,Same,601470207.4899989
2018-10-01,Third-Party,379387096.7000011
2018-11-01,Same,534595399.6099993
2018-11-01,Third-Party,342138611.17000055
2018-12-01,Third-Party,351745696.59000033
2018-12-01,Same,570255221.4499989
2019-01-01,Same,633270685.1799982
2019-01-01,Third-Party,424245112.17000043
2019-02-01,Third-Party,383670805.70000166
2019-02-01,Same,568245352.2299994
2019-03-01,Same,621786010.7299978
2019-03-01,Third-Party,406789087.06000155
2019-04-01,Same,632161349.1199983
2019-04-01,Third-Party,413029238.48000085
2019-05-01,Same,637072041.6900003
2019-05-01,Third-Party,429432144.37000066
2019-06-01,Third-Party,364784481.61000055
2019-06-01,Same,601393372.15
2019-07-01,Third-Party,377811888.3900014
2019-07-01,Same,631753805.3600001
2019-08-01,Third-Party,382876418.2000002
2019-08-01,Same,648620097.2399995
2019-09-01,Third-Party,391725599.28000164
2019-09-01,Same,635808157.6799996
2019-10-01,Third-Party,455129237.61000174
2019-10-01,Same,842827958.3899964
2019-11-01,Same,714763955.709999
2019-11-01,Third-Party,380467961.25000125
2019-12-01,Same,726578109.6399995
2019-12-01,Third-Party,382571867.6000006
2020-01-01,Third-Party,484040205.2600018
2020-01-01,Same,675534902.0199987
2020-02-01,Third-Party,427020880.06000066
2020-02-01,Same,756349882.2599972
2020-03-01,Third-Party,377867748.2700008
2020-03-01,Same,744284892.4499989
2020-04-01,Same,578995713.4899997
2020-04-01,Third-Party,266070911.02000004
2020-05-01,Third-Party,307085489.87999994
2020-05-01,Same,597816313.5199993
2020-06-01,Third-Party,373025070.41
2020-06-01,Same,723345494.169999
2020-07-01,Same,785263382.8999997
2020-07-01,Third-Party,408435741.3500003
2020-08-01,Third-Party,411209045.6200009
2020-08-01,Same,693112345.98
2020-09-01,Third-Party,436790249.3099996
2020-09-01,Same,661481966.0800005
2020-10-01,Third-Party,484143560.78999966
2020-10-01,Same,770395473.7700007
2020-11-01,Third-Party,477814762.8600004
2020-11-01,Same,768546636.2099973
2020-12-01,Third-Party,482673221.8799987
2020-12-01,Same,743227253.9099972
2021-01-01,Third-Party,516101660.6999998
2021-01-01,Same,742612116.9099996
2021-02-01,Same,728430728.4099996
2021-02-01,Third-Party,481307269.0199986
2021-03-01,Same,881862926.7399966
2021-03-01,Third-Party,569117598.1999983
2021-04-01,Same,753958904.8099983
2021-04-01,Third-Party,563222751.2000003
2021-05-01,Third-Party,531685345.7799987
2021-05-01,Same,825715525.4200009
2021-06-01,Same,780387019.2299979
2021-06-01,Third-Party,540043354.3400004
2021-07-01,Same,792920288.9899989
2021-07-01,Third-Party,556626528.2299987
2021-08-01,Third-Party,574062016.37
2021-08-01,Same,930576660.7699984
2021-09-01,Third-Party,575130451.6199986
2021-09-01,Same,785244153.0099999
2021-10-01,Third-Party,554069440.7899988
2021-10-01,Same,795814283.1699992
2021-11-01,Third-Party,572247399.5500014
2021-11-01,Same,752835277.6900017
2021-12-01,Third-Party,542687638.3999988
2021-12-01,Same,850271118.6699971
2022-01-01,Same,931360345.1800013
2022-01-01,Third-Party,597179118.0199989
2022-02-01,Same,743695652.8800004
2022-02-01,Third-Party,525948432.2100011
2022-03-01,Same,948375393.5299944
2022-03-01,Third-Party,640046584.1400008
2022-04-01,Third-Party,592368421.7699991
2022-04-01,Same,838423177.3699969
2022-05-01,Same,883422733.0199983
2022-05-01,Third-Party,614479433.0200002
2022-06-01,Third-Party,595166736.7300017
2022-06-01,Same,929670662.4599956
2022-07-01,Same,850144477.2899973
2022-07-01,Third-Party,535853962.8899991
2022-08-01,Same,992127391.519999
2022-08-01,Third-Party,643193194.7399988
2022-09-01,Same,857656640.5999995
2022-09-01,Third-Party,616891495.3899997
2022-10-01,Third-Party,646820929.0199981
2022-10-01,Same,1037557657.1199983
2022-11-01,Same,1009542050.8099974
2022-11-01,Third-Party,611501750.6900016
2022-12-01,Same,924775168.6499989
2022-12-01,Third-Party,584045917.0400004
2023-01-01,Same,991182794.6599971
2023-01-01,Third-Party,650943453.5799978
2023-02-01,Same,916712974.3499953
2023-02-01,Third-Party,595144734.749999
2023-03-01,Third-Party,682730087.0999986
2023-03-01,Same,1103346033.2999988
2023-04-01,Same,958684620.9299973
2023-04-01,Third-Party,610354253.1499999
2023-05-01,Third-Party,692063512.3499988
2023-05-01,Same,1066291156.7900002
2023-06-01,Third-Party,609218219.8300004
2023-06-01,Same,976998272.8599983
2023-07-01,Same,921432032.9599983
2023-07-01,Third-Party,619443366.0699985
2023-08-01,Third-Party,667167475.3599981
2023-08-01,Same,984218853.019996
2023-09-01,Third-Party,632584363.7299992
2023-09-01,Same,1021499584.7299993
2023-10-01,Same,1088744542.7299962
2023-10-01,Third-Party,674539325.8400018
2023-11-01,Third-Party,627321828.8299985
2023-11-01,Same,976967284.2900008
2023-12-01,Third-Party,592722877.5099983
2023-12-01,Same,1123001892.4899998
2024-01-01,Third-Party,689947404.2000009
2024-01-01,Same,1022961424.9299971
2024-02-01,Third-Party,653804303.3500007
2024-02-01,Same,1001094712.229998
2024-03-01,Same,1049977586.229999
2024-03-01,Third-Party,668459933.1900007
