specialization,count,avg_paid,total_paid,pct
Diversified,24032,961961.4988523634,23117858740.42,5.223655123994426
Moderate,41807,335574.35032793554,14029356864.16,9.087273209422229
Concentrated,109335,221929.25670937944,24264635282.32,23.7653267718846
Specialist,284887,166520.8421638053,47439623161.52,61.92374489469875
