BILLING_PROVIDER_NPI_NUM,total_paid,total_claims,risk_upcoding,risk_velocity,risk_phantom,risk_cost_outlier,risk_relationship,risk_temporal,fraud_score,risk_tier
1689722639,436064.78000000014,6414.0,1,1,0,1,1,0,4,High
1669553236,7915.589999999999,2445.0,0,1,0,1,1,1,4,High
1558792549,181729.82000000004,5842.0,0,1,0,1,1,1,4,High
1346659927,723037.5099999999,19922.0,0,1,1,1,1,0,4,High
1457309270,164409.05999999997,10219.0,0,1,1,1,0,1,4,High
1295738896,4803656.830000001,92886.0,0,1,1,1,1,0,4,High
1275714347,38980.83,4984.0,0,1,0,1,1,1,4,High
1134632037,356522.4799999999,2812.0,1,1,0,1,1,0,4,High
1316316789,6627.55,8497.0,0,1,0,1,1,1,4,High
1134320336,128922.38,3197.0,0,1,0,1,1,1,4,High
1174129563,833164.65,9847.0,1,1,0,1,0,1,4,High
1467713834,69132.20000000001,933.0,0,1,0,1,1,1,4,High
1740221621,5796554.4,77071.0,0,1,1,1,0,1,4,High
1316610587,42179.299999999996,407.0,1,1,0,1,1,0,4,High
1043640063,532184.75,33800.0,0,1,0,1,1,1,4,High
1679648331,694432.2599999998,2675.0,1,1,0,1,1,0,4,High
1184694036,100648.70000000004,3563.0,0,1,0,1,1,1,4,High
1558786830,4032155.3500000015,144444.0,0,1,1,1,1,0,4,High
1437627031,126552.76000000001,1276.0,1,1,0,1,1,0,4,High
1194014191,711199.08,4360.0,0,1,1,1,1,0,4,High
1982769014,24236.499999999996,762.0,1,1,0,1,1,0,4,High
1679950299,804838.8200000001,942.0,1,1,0,1,1,0,4,High
1942526298,2638386.9400000004,1251818.0,0,1,1,1,1,0,4,High
1780798066,88608.83,93627.0,0,1,0,1,1,1,4,High
1891160776,1020.53,3193.0,0,1,0,1,1,1,4,High
1194866525,89596.67000000004,2933.0,0,1,0,1,1,1,4,High
1962130443,40469.649999999994,990.0,0,1,1,0,1,1,4,High
1992987879,80253.83999999995,121586.0,0,1,0,1,1,1,4,High
1700882156,8045.920000000001,3909.0,0,1,0,1,1,1,4,High
1134302748,33290.75,7851.0,0,1,0,1,1,1,4,High
1366197956,259796.56,1059.0,0,1,0,1,1,1,4,High
1912349465,15177.86,315.0,0,1,0,1,1,1,4,High
1588974935,803928.1699999998,5813.0,1,1,0,1,1,0,4,High
1881199057,195455.53000000006,4041.0,0,1,0,1,1,1,4,High
1437426640,262916.61,11995.0,0,1,0,1,1,1,4,High
1588606305,8983016.440000007,52574.0,1,1,0,1,1,0,4,High
1558334367,194699.97000000006,10125.0,0,1,0,1,1,1,4,High
1891813085,50165.81,34145.0,0,1,0,1,1,1,4,High
1609958446,1420604.74,4371.0,1,1,0,1,1,0,4,High
1841835980,2183464.0,2798.0,1,1,0,1,1,0,4,High
1770513145,18897497.410000008,88071.0,0,1,0,1,1,1,4,High
1720268998,2576.87,2877.0,0,1,0,1,1,1,4,High
1215107362,9607.259999999998,4246.0,0,1,0,1,1,1,4,High
1740318153,347808.29,354.0,1,1,0,1,1,0,4,High
1831251941,187238.05,10319.0,0,1,1,0,1,1,4,High
1831490184,3461.67,6641.0,0,1,0,1,1,1,4,High
1811945132,2522155.0500000003,8900.0,1,1,0,1,1,0,4,High
1073833760,28780.82,1074.0,0,1,0,1,1,1,4,High
1043555071,48814.32,312.0,1,1,0,1,0,1,4,High
1346342763,936487.6600000001,29729.0,0,1,1,1,0,1,4,High
1386010312,8355.039999999999,2991.0,0,1,0,1,1,1,4,High
1174900948,3485.32,3688.0,0,1,0,1,1,1,4,High
1780769133,61204.40999999999,1803.0,0,1,0,1,1,1,4,High
1184645921,17662.83,306.0,1,1,0,1,0,1,4,High
1184643058,15177.090000000002,5016.0,0,1,0,1,1,1,4,High
1063743037,645029.4,6625.0,1,1,1,1,0,0,4,High
1245319631,10647.899999999998,3410.0,0,1,0,1,1,1,4,High
1831470947,82126.98,9750.0,0,1,0,1,1,1,4,High
1669593562,26287.250000000007,19495.0,0,1,0,1,1,1,4,High
1942591847,108998.51999999996,6364.0,0,1,0,1,1,1,4,High
1225049018,463819.1,6950.0,0,1,1,1,1,0,4,High
1699822239,13896.720000000001,8723.0,0,1,0,1,1,1,4,High
1497867238,939432.6699999999,8786.0,1,1,0,1,1,0,4,High
1649440538,85580.42,857.0,1,1,0,1,1,0,4,High
1790020733,1011601.9,33862.0,0,1,0,1,1,1,4,High
1194012294,5028.630000000001,1476.0,0,1,0,1,1,1,4,High
1548231608,1120029.39,15568.0,0,1,0,1,1,1,4,High
1760995625,862108.3399999997,14701.0,0,1,0,1,1,1,4,High
1689857385,1502275.04,42130.0,0,1,0,1,1,1,4,High
1376692988,853.8000000000001,2325.0,0,1,0,1,1,1,4,High
1609922707,588814.08,28093.0,0,1,1,1,0,1,4,High
1679234702,15119.199999999999,526.0,1,1,0,1,1,0,4,High
