BILLING_PROVIDER_NPI_NUM,HCPCS_CODE,provider_cpc,median_cpc,q1_cpc,q3_cpc,iqr,TOTAL_PAID,TOTAL_CLAIMS,upper_fence,excess_ratio,flag_cost_outlier
1275578817,0122,23750.97294117647,0.0,0.0,1371.4806666666668,1371.4806666666668,403766.54,17,5485.922666666667,2375097.294117647,True
1043348808,C1776,12914.532916666665,0.0,0.0,920.9937301587302,920.9937301587302,309948.79,24,3683.9749206349206,1291453.2916666665,True
1093892275,0122,10598.244705882353,0.0,0.0,1371.4806666666668,1371.4806666666668,180170.16,17,5485.922666666667,1059824.4705882352,True
1467653303,0169,10481.195714285714,0.0,0.0,2308.389382066277,2308.389382066277,586946.96,56,9233.557528265108,1048119.5714285714,True
1043348808,C1776,10387.401052631578,0.0,0.0,920.9937301587302,920.9937301587302,197360.62,19,3683.9749206349206,1038740.1052631577,True
1669578324,C1776,10386.584,0.0,0.0,920.9937301587302,920.9937301587302,155798.76,15,3683.9749206349206,1038658.4,True
1467653303,0169,10210.19403508772,0.0,0.0,2308.389382066277,2308.389382066277,581981.06,57,9233.557528265108,1021019.4035087719,True
1467653303,0169,9930.86125,0.0,0.0,2308.389382066277,2308.389382066277,556128.23,56,9233.557528265108,993086.125,True
1467653303,0169,9863.728867924528,0.0,0.0,2308.389382066277,2308.389382066277,522777.63,53,9233.557528265108,986372.8867924528,True
1467653303,0169,9805.61779661017,0.0,0.0,2308.389382066277,2308.389382066277,578531.45,59,9233.557528265108,980561.7796610169,True
1467653303,0169,9626.759454545454,0.0,0.0,2308.389382066277,2308.389382066277,529471.77,55,9233.557528265108,962675.9454545454,True
1881658276,G9006,9600.473684210527,0.0,0.0,206.41799999999998,206.41799999999998,182409.0,19,825.6719999999999,960047.3684210527,True
1467653303,0169,9482.807666666666,0.0,0.0,2308.389382066277,2308.389382066277,568968.46,60,9233.557528265108,948280.7666666666,True
1417010604,0169,9285.552368421053,0.0,0.0,2308.389382066277,2308.389382066277,352850.99,38,9233.557528265108,928555.2368421053,True
1174512792,C1776,8644.575333333334,0.0,0.0,920.9937301587302,920.9937301587302,129668.63,15,3683.9749206349206,864457.5333333334,True
1043348808,C1776,8579.81107142857,0.0,0.0,920.9937301587302,920.9937301587302,240234.71,28,3683.9749206349206,857981.107142857,True
1881658276,G9006,8164.8,0.0,0.0,206.41799999999998,206.41799999999998,122472.0,15,825.6719999999999,816480.0,True
1164758868,A9270,7646.50923076923,0.0,0.0,0.054591306927755524,0.054591306927755524,99404.62,13,0.2183652277110221,764650.923076923,True
1891799227,C1776,7377.059583333333,0.0,0.0,920.9937301587302,920.9937301587302,177049.43,24,3683.9749206349206,737705.9583333333,True
1003813718,Q5003,7165.361472392638,0.0,0.0,195.6568171590291,195.6568171590291,1167953.92,163,782.6272686361164,716536.1472392638,True
1316909203,Q5003,6994.221470588235,0.0,0.0,195.6568171590291,195.6568171590291,237803.53,34,782.6272686361164,699422.1470588235,True
1003813718,Q5003,6778.418111111111,0.0,0.0,195.6568171590291,195.6568171590291,1220115.26,180,782.6272686361164,677841.8111111111,True
1780738757,Q5003,6546.824,0.0,0.0,195.6568171590291,195.6568171590291,196404.72,30,782.6272686361164,654682.3999999999,True
1568415032,Q5003,6442.8286206896555,0.0,0.0,195.6568171590291,195.6568171590291,373684.06,58,782.6272686361164,644282.8620689656,True
1437156775,Q5003,6232.042063492064,0.0,0.0,195.6568171590291,195.6568171590291,392618.65,63,782.6272686361164,623204.2063492064,True
1619089539,Q5003,6201.505454545454,0.0,0.0,195.6568171590291,195.6568171590291,136433.12,22,782.6272686361164,620150.5454545454,True
1568415032,Q5003,6113.0203846153845,0.0,0.0,195.6568171590291,195.6568171590291,317877.06,52,782.6272686361164,611302.0384615384,True
1174576656,Q5003,6085.3533333333335,0.0,0.0,195.6568171590291,195.6568171590291,255584.84,42,782.6272686361164,608535.3333333334,True
1568415032,Q5003,6065.4695,0.0,0.0,195.6568171590291,195.6568171590291,363928.17,60,782.6272686361164,606546.95,True
1437156775,Q5003,6029.025217391304,0.0,0.0,195.6568171590291,195.6568171590291,138667.58,23,782.6272686361164,602902.5217391304,True
1215033097,Q5003,5975.354210526316,0.0,0.0,195.6568171590291,195.6568171590291,113531.73,19,782.6272686361164,597535.4210526316,True
1396793618,Q5003,5962.124666666667,0.0,0.0,195.6568171590291,195.6568171590291,89431.87,15,782.6272686361164,596212.4666666667,True
1194832261,Q5003,5916.826800000001,0.0,0.0,195.6568171590291,195.6568171590291,147920.67,25,782.6272686361164,591682.68,True
1215033097,Q5003,5908.235294117647,0.0,0.0,195.6568171590291,195.6568171590291,100440.0,17,782.6272686361164,590823.5294117647,True
1043348808,C1776,5886.762142857143,0.0,0.0,920.9937301587302,920.9937301587302,82414.67,14,3683.9749206349206,588676.2142857143,True
1386622595,Q5003,5807.937272727272,0.0,0.0,195.6568171590291,195.6568171590291,255549.24,44,782.6272686361164,580793.7272727272,True
1538769708,Q5001,5759.952142857143,0.0,0.0,0.0,0.0,80639.33,14,0.0,575995.2142857143,True
1639711294,C1776,5758.337857142857,0.0,0.0,920.9937301587302,920.9937301587302,80616.73,14,3683.9749206349206,575833.7857142857,True
1205832268,Q5003,5757.668421052632,0.0,0.0,195.6568171590291,195.6568171590291,109395.7,19,782.6272686361164,575766.8421052631,True
1780773408,Q5003,5741.814532374101,0.0,0.0,195.6568171590291,195.6568171590291,798112.22,139,782.6272686361164,574181.45323741,True
