CLAIM_FROM_MONTH,total_paid,total_claims,total_bene,active_providers,active_codes,avg_cost_per_claim,avg_cost_per_bene
2018-01-01,9232048522.369886,187217689.0,113342897.0,230343,6069,44.01418222915341,77.1352057870612
2018-02-01,8420467832.3598,171352502.0,104351414.0,223890,5990,43.64317805431955,75.72687717302749
2018-03-01,9129935988.659878,183682093.0,110825567.0,229785,6063,43.89811913328332,77.73414426407095
2018-04-01,8981173692.469921,179619696.0,107694834.0,227737,6076,44.33271767627287,78.30821296741664
2018-05-01,9384689427.049892,185076176.0,110182879.0,228477,6135,45.10911963835002,80.62383213214333
2018-06-01,8607149265.449978,164850507.0,100094343.0,216671,6036,45.413769848096855,80.87920989380066
2018-07-01,8854594623.629904,169724543.0,102373426.0,215506,6010,45.11370166989114,81.70675950428037
2018-08-01,9492334835.449806,186434915.0,113633755.0,225891,6195,44.60496903759837,79.85862118806388
2018-09-01,8661621043.369787,168487953.0,100688468.0,214527,5969,44.68841665534672,80.3608084139021
2018-10-01,9921379666.37986,198197925.0,118334299.0,229358,6253,44.08306664117966,79.98467413063001
2018-11-01,9072923512.379955,173605775.0,102742360.0,216770,6053,45.58035169306338,82.96000176041304
2018-12-01,8907431063.819891,166190908.0,96922801.0,211803,5895,46.86680538052677,85.77551538779154
2019-01-01,10529905105.90019,202463697.0,119769828.0,229768,6246,47.16342700969237,84.60341207249179
2019-02-01,9680573063.789822,187149977.0,111443392.0,223699,6128,46.53272028781329,82.76743322645316
2019-03-01,10638499933.200367,202656457.0,120287086.0,230714,6232,46.69861172720853,84.42950013219239
2019-04-01,10662800690.750364,204034522.0,120056910.0,233371,6283,46.85091668385886,85.09394799517727
2019-05-01,10788430160.420431,203400802.0,118335223.0,231476,6250,47.35218374487792,86.85039153105454
2019-06-01,9722889154.490166,179172702.0,106684985.0,219912,6116,47.60297382743185,86.54028302822013
2019-07-01,10364775003.79036,193812066.0,114502037.0,225116,6232,47.26275103015948,87.19472818445443
2019-08-01,10628704037.170345,202465238.0,120864691.0,231294,6324,46.44391510648448,84.6398316840216
2019-09-01,10530148010.350328,201493119.0,118468405.0,231361,6214,46.29132323629497,83.97206138019517
2019-10-01,11890862793.230251,229836010.0,135188555.0,243432,6467,45.95008183253122,83.66795497850013
2019-11-01,10694811682.10018,197813102.0,116101805.0,228279,6224,47.30517620467515,85.35301483163221
2019-12-01,10773796446.440289,195213165.0,114234300.0,225437,6200,48.02113126379486,86.6133073596875
2020-01-01,12417328718.270193,231493965.0,137689829.0,242759,6507,48.63981643551209,86.57778984988363
2020-02-01,11387443071.260256,210768595.0,125598414.0,236134,6359,48.53852039539495,86.29393236691672
2020-03-01,10327180044.760208,175476623.0,99482797.0,215936,6095,50.191241484591075,93.80262651275017
2020-04-01,8541553016.110182,126498275.0,61588397.0,162138,5427,56.74787862862056,120.86271248521517
2020-05-01,9276309404.630154,146927456.0,78755754.0,185451,5850,53.16970763894487,104.45110237785237
2020-06-01,10386347586.830269,180029356.0,106053452.0,211834,6304,50.596326458727745,91.76682865660837
2020-07-01,11043497587.590214,193266077.0,114313859.0,217645,6325,49.887916124186816,90.494574454203
2020-08-01,10945591115.50023,193099010.0,115506523.0,220412,6344,49.37413898646257,88.84333940524066
2020-09-01,11345841778.780262,204909864.0,123211041.0,230141,6369,48.278529737802764,87.46361464934462
2020-10-01,12256768912.53025,220267867.0,132414607.0,241242,6488,48.33394683042114,87.95250493901486
2020-11-01,11824939391.280237,207113269.0,122921505.0,237363,6320,49.55814619616261,89.82376370322393
2020-12-01,12337430898.160221,214312315.0,124912560.0,238611,6385,50.161572490910494,92.51791656170556
2021-01-01,12594444977.41039,222768005.0,132228710.0,244592,6424,50.21129371029626,90.80577930333436
2021-02-01,11715579066.730228,206952736.0,124043876.0,241312,6397,50.04128720752597,89.68340472364191
2021-03-01,14136311330.650309,258070549.0,156505580.0,263709,6815,49.35372603955803,88.82791190179593
2021-04-01,13565862878.510286,245380331.0,149825892.0,259223,6663,49.73209964570438,88.357783805369
2021-05-01,13208518113.690361,232574191.0,140839982.0,253789,6521,50.2810325843023,89.85266650471175
2021-06-01,13415399746.470211,237429997.0,146382446.0,254208,6699,49.97563095850071,88.6066003250572
2021-07-01,13562082770.470366,238882520.0,145916059.0,248266,6597,50.25294983707008,90.24215191972341
2021-08-01,14202719417.500252,256226837.0,160167062.0,256607,6673,49.74332171676341,87.17073559750119
2021-09-01,14024666614.740177,255309350.0,157555104.0,256882,6589,49.79101910491069,87.2979159985616
2021-10-01,14165659978.040241,255714420.0,156923616.0,259236,6607,49.47525082094523,87.84546585430935
2021-11-01,13904172445.350086,248630420.0,152067680.0,256673,6552,49.89650762506227,88.60562839497152
2021-12-01,14062529938.430141,246625408.0,150467545.0,252714,6474,50.7559671078496,90.43793042847928
2022-01-01,14412456539.880375,251898388.0,154227930.0,252426,6464,51.822072452207216,91.57430515449373
2022-02-01,13250746218.500257,235438630.0,142007832.0,249653,6468,51.24728705665502,90.59924341147001
2022-03-01,15695994584.590233,280314489.0,168967395.0,266470,6753,50.998276365595174,91.62055079128949
2022-04-01,14609179171.900116,254562730.0,152489004.0,256690,6589,51.719880133183445,92.98934885629572
2022-05-01,14956401093.080233,257888000.0,153619367.0,257589,6544,52.23064526411843,94.12413577207238
2022-06-01,14650484215.680187,250499963.0,151557080.0,253680,6564,52.23447742582476,93.84611001890599
2022-07-01,14067993433.620241,234428626.0,140813991.0,243395,6408,53.224475197063484,96.66874951089024
2022-08-01,15825029409.54046,273676256.0,168047334.0,260742,6669,52.0857105860686,92.94979779357716
