BILLING_PROVIDER_NPI_NUM,HCPCS_CODE,CLAIM_FROM_MONTH,TOTAL_PAID,TOTAL_CLAIMS,TOTAL_UNIQUE_BENEFICIARIES,cost_per_bene,avg_cpb,std_cpb,z_score
1013514199,96372,2023-04,617527.66,35,31,19920.247096774194,17.748873309019174,51.02785880007676,390.0320078379467
1154373843,96374,2024-10,2194262.41,98,97,22621.261958762887,41.22973218211804,65.39890386830548,345.2662184071225
1316904287,U0003,2022-03,524380.56,22,16,32773.785,77.05423110388918,96.6024637235463,338.46684140962003
1366515488,93005,2018-11,195355.04,13,12,16279.586666666668,24.03313509726183,49.168995491551705,330.60576831109887
1336117670,A4657,2018-02,4736909.07,82,22,215314.04863636364,121.456846347016,681.8148788843575,315.61733023798587
1427336791,99213,2022-01,350222.54,23,21,16677.263809523807,50.175691933004366,53.983644694235444,308.00232573711907
1487868097,82306,2024-10,538825.7,58,57,9453.08245614035,20.24615416064271,31.347768719195383,300.90933700820744
1285785154,90686,2022-10,203429.94,116,68,2991.6167647058824,5.999689701320795,10.374967198045379,287.77123030972524
1194368167,D1208,2020-11,45102.4,33,17,2653.0823529411764,15.678871946346552,9.88693612080579,266.75639943144284
1487868097,82570,2024-10,271942.07,34,34,7998.296176470589,4.26278617418287,30.615009008887213,261.1148469032239
1740288505,99283,2023-09,467862.3,23,22,21266.46818181818,89.78741806523136,89.06272712186069,237.7726513446844
1700831724,81025,2019-11,103348.53,15,14,7382.037857142857,7.043025547433657,31.71003566573381,232.57604971932966
1740288505,87880,2023-09,59228.04,15,15,3948.536,11.444428968982375,17.094607675555206,230.31189985488493
1821026816,36415,2023-02,102844.63,17,12,8570.385833333334,5.883510470216307,37.42629072466711,228.8365252615959
1740288505,99283,2023-09,610681.14,30,30,20356.038,89.78741806523136,89.06272712186069,227.55030344181276
1427336791,99212,2022-02,1050794.65,73,44,23881.69659090909,46.938301208854334,105.17560216997225,226.6187005155563
1235148594,96365,2022-04,2127655.33,75,53,40144.44018867925,111.2435705560365,177.8004171651665,225.15805787415363
1528323268,36415,2020-03,141023.43,43,17,8295.495882352941,5.883510470216307,37.42629072466711,221.49168970194435
1700831724,81025,2019-12,91081.78,13,13,7006.290769230769,7.043025547433657,31.71003566573381,220.72658061519604
1740288505,99284,2023-09,533887.12,21,20,26694.356,115.41880741074024,122.3438942080778,217.24776184894705
1376577247,J3490,2020-05,1760784.38,21,19,92672.86210526315,36.087914539049585,427.71492943050066,216.5853184364392
1013332014,82962,2020-03,170109.11,148,30,5670.303666666666,4.011757947339411,26.349510605231863,215.04353510058166
1467412726,J3490,2019-04,1057436.49,58,12,88119.7075,36.087914539049585,427.71492943050066,205.94001640939598
1275554362,97530,2018-02,773373.72,450,18,42965.206666666665,172.1584856038826,210.35912546375755,203.4285324524014
1023088473,D0220,2019-11,63347.31,16,13,4872.87,11.376154480876696,24.064635254292497,202.01818120854173
1194368167,D1208,2021-01,53890.8,35,27,1995.9555555555557,15.678871946346552,9.88693612080579,200.29225023938108
1003010042,D1208,2019-01,263796.4,691,133,1983.4315789473685,15.678871946346552,9.88693612080579,199.02553055441902
1427336791,99212,2022-03,900888.45,72,43,20950.89418604651,46.938301208854334,105.17560216997225,198.75289947049865
1225101405,3725F,2020-09,3423.04,12,12,285.25333333333333,0.0768500203836513,1.4403070225647598,197.99700955781978
1467653303,99213,2024-10,541609.72,67,52,10415.571538461538,50.175691933004366,53.983644694235444,192.00993014158945
1285715144,J1885,2018-08,62161.01,33,17,3656.53,2.976433276355504,19.058715907750102,191.69988074789188
1730389248,92507,2018-11,495507.84,792,14,35393.41714285714,217.8982519436209,183.50264416136517,191.68943887250762
1013332014,83615,2023-11,88733.44,34,21,4225.401904761905,4.98077679802598,22.173004126014636,190.3405196687913
1437197985,88342,2022-10,127033.16,15,14,9073.797142857144,33.727629286754905,48.14592515894904,187.76395891709396
1124522495,D0603,2024-05,20027.01,14,13,1540.5392307692307,3.310492515493641,8.20808663375545,187.282226278161
1487868097,82570,2024-04,256782.23,46,45,5706.271777777778,4.26278617418287,30.615009008887213,186.24880985494278
1124522495,D0603,2024-03,22817.01,16,15,1521.1339999999998,3.310492515493641,8.20808663375545,184.91806619614778
1275662405,99213,2024-10,118855.18,22,12,9904.598333333333,50.175691933004366,53.983644694235444,182.54459655727206
1104876622,93970,2020-01,521598.84,41,28,18628.530000000002,75.31262872798477,101.78979114351903,182.26992277754866
1194368167,D1120,2020-06,44216.8,17,12,3684.7333333333336,33.88419140000364,20.05186403811833,182.0703120165344
1629094891,J3420,2022-02,202369.81,31,29,6978.269310344827,2.4964060026111565,38.56044375128183,180.90489179368757
1164492195,84703,2018-12,84436.53,20,20,4221.8265,6.2207402330006065,23.62179040730158,178.4625842105491
1891732889,84703,2018-03,53566.54,13,13,4120.503076923077,6.2207402330006065,23.62179040730158,174.17317932929998
1629015698,87205,2019-02,38980.88,29,21,1856.232380952381,3.024577029567845,10.64152171590346,174.14875930321557
1528323268,36415,2020-11,136819.5,40,21,6515.214285714285,5.883510470216307,37.42629072466711,173.9240156907632
1427336791,G8510,2022-02,18021.4,14,14,1287.2428571428572,2.218788785427046,7.48336245960976,171.7174699599465
1740288505,99215,2023-09,272889.79,21,14,19492.127857142856,102.58070182031025,114.52754281687308,169.30029823765616
1952390239,D1208,2018-04,30051.89,23,18,1669.5494444444444,15.678871946346552,9.88693612080579,167.2783714074716
1427336791,G8510,2022-03,15021.4,12,12,1251.7833333333333,2.218788785427046,7.48336245960976,166.97902196936593
