BILLING_PROVIDER_NPI_NUM,total_paid,total_claims,total_bene,procedure_count,active_months,avg_cost_per_claim,anomaly_score,anomaly_label
1417262056,7177816544.459998,89773441.0,5596134.0,25,84,341.25283914338416,-1,anomaly
1699703827,6778483867.349991,30870976.0,10549232.0,117,83,254.71984801460204,-1,anomaly
1376609297,5571605313.000003,63523750.0,3345513.0,5,84,72.56976031824429,-1,anomaly
1699725143,3093063112.899998,107716418.0,16440856.0,44,84,77.43234963172107,-1,anomaly
1922467554,3025874966.689998,21977069.0,1186413.0,6,84,191.0492267271005,-1,anomaly
1710176151,2683634591.6700015,35557539.0,2441087.0,68,84,98.34403560643369,-1,anomaly
1629436241,2596064454.980002,16349155.0,1174610.0,72,78,142.4178417861336,-1,anomaly
1982757688,2254946211.699999,1950098.0,594985.0,21,84,3002.862144116996,-1,anomaly
1538649983,2105798329.4199996,22162533.0,1069174.0,5,78,86.39531429591878,-1,anomaly
1528263910,1728502977.1899993,4656205.0,1617142.0,59,82,431.6957325910731,-1,anomaly
1962650622,1682424022.3700001,11238391.0,463218.0,5,84,177.36481482378815,-1,anomaly
1720151046,1476339972.5800002,7928022.0,357665.0,11,84,200.49623016820212,-1,anomaly
1356709976,1452536495.0400002,5287026.0,389567.0,53,78,191.18121889522536,-1,anomaly
1396051694,1442353043.5399997,9386423.0,461789.0,17,84,164.84524970930002,-1,anomaly
1538144910,1436181704.9100022,103910314.0,92077561.0,747,84,16.950034664040405,-1,anomaly
1447261540,1398902370.0400007,8714521.0,2328336.0,82,83,244.23042201004452,-1,anomaly
1750504064,1349935087.7199996,1662383.0,224187.0,16,82,2224.781095122288,-1,anomaly
1417099789,1344222550.1199992,6184815.0,1302440.0,61,84,448.00645756085845,-1,anomaly
1073055208,1281885231.5199988,10541518.0,3026410.0,39,84,12.702596048898453,-1,anomaly
1376554592,1225040114.1899998,1593649.0,1193380.0,5,84,665.4164466685348,-1,anomaly
1518096411,1143418621.1699994,1557105.0,197206.0,13,82,1957.5081434515298,-1,anomaly
1700090834,1125938944.49,14999665.0,1524414.0,37,83,118.02301706347225,-1,anomaly
1780816991,1107509967.2100003,6915432.0,328024.0,10,84,161.93115111216602,-1,anomaly
1275657553,1101806880.0,7622845.0,377858.0,9,84,232.7903039119438,-1,anomaly
1134250475,1097550708.1899998,1432892.0,259050.0,10,82,1920.1336675670047,-1,anomaly
1376097303,1081483692.7600002,6692707.0,304210.0,4,84,223.58478517722483,-1,anomaly
1578778726,1080566062.7099993,23557851.0,17395896.0,1431,84,173.38290162440953,-1,anomaly
1083783013,1077342251.7,5875713.0,264344.0,7,84,235.6764908715257,-1,anomaly
1326168840,1073667311.3399998,3312341.0,621736.0,3,84,609.0913137494343,-1,anomaly
1659402303,1068150354.8599999,6138417.0,1263528.0,65,76,282.09294966301655,-1,anomaly
1184703415,1061917965.84,5015054.0,227919.0,6,83,253.0421298509236,-1,anomaly
1720145378,1061171577.1300008,10544174.0,655257.0,47,84,128.39667933103945,-1,anomaly
1194934471,1053552904.8399998,6532613.0,1679994.0,58,83,245.61643391249348,-1,anomaly
1396049987,1042893317.11,2757160.0,240183.0,17,63,251.8370204517245,-1,anomaly
1518098359,1037216238.4000002,11206578.0,427194.0,2,48,81.11659011868417,-1,anomaly
1518049485,1025590031.9799999,5716218.0,292702.0,9,84,186.02505045655337,-1,anomaly
1932341898,996801121.5399997,306131.0,283973.0,2,84,3219.219433227839,-1,anomaly
1952476988,961141901.3699995,17112336.0,14680462.0,1445,84,111.93467336584399,-1,anomaly
1457410904,953479646.0799999,5589304.0,252276.0,5,84,204.03042337073188,-1,anomaly
1093834020,910633453.0600001,51017667.0,4556652.0,17,84,28.218604283996143,-1,anomaly
1043386659,903144307.9600003,4320082.0,1851576.0,56,83,266.6942233695401,-1,anomaly
1134260078,894406192.5200006,34388480.0,5029593.0,21,84,33.04374404104347,-1,anomaly
1124304621,887501813.4099998,5599208.0,465275.0,2,84,238.83065084539393,-1,anomaly
1245354000,881889979.7799999,781227.0,138263.0,15,82,2023.7669414832592,-1,anomaly
1871821710,865877079.43,4759464.0,241832.0,6,84,230.6085030704675,-1,anomaly
1679525919,863549395.7600006,16016267.0,12948304.0,1579,84,48.8017523394126,-1,anomaly
1053321869,858202022.0400002,14797415.0,773734.0,8,84,452.8422720193465,-1,anomaly
1033571658,848211431.1000001,5704959.0,251721.0,4,84,224.8265706221082,-1,anomaly
1801060363,842517560.2100002,5447800.0,250306.0,6,84,204.1748371312023,-1,anomaly
1730438706,840475278.0400003,4928110.0,227232.0,7,84,243.05033439857857,-1,anomaly
1104963347,806659263.4599999,4933775.0,1554907.0,75,84,284.12867767367885,-1,anomaly
1124494059,780976224.2699999,910831.0,877965.0,1,65,843.1918149995846,-1,anomaly
1134152986,777537649.4300005,11019261.0,8541239.0,913,84,68.20194735923806,-1,anomaly
1770022691,775248390.5800003,5661079.0,264684.0,4,84,220.33929621766816,-1,anomaly
1346218294,768481072.4099996,14457145.0,12530368.0,1247,84,90.91524835297426,-1,anomaly
1457562811,767950561.97,4839538.0,202920.0,7,84,166.64497627805915,-1,anomaly
1184166027,759749435.7500002,6527516.0,1945626.0,44,84,44.48492306516234,-1,anomaly
1528338282,759480229.5,4827072.0,231057.0,4,84,242.17204394444022,-1,anomaly
1447393319,745668883.7600003,4169477.0,194048.0,6,84,247.82637531389878,-1,anomaly
1528315397,740001913.97,4689038.0,196653.0,7,84,225.4442356464829,-1,anomaly
1821275801,737824812.5599997,4166637.0,192845.0,4,84,192.59673980134187,-1,anomaly
1992920417,733082656.7199998,9313474.0,550183.0,4,48,69.26854523877573,-1,anomaly
1770538001,728111212.4699999,3034929.0,1491247.0,52,79,229.84117459871422,-1,anomaly
1457601965,723937836.7999998,26606071.0,3358464.0,18,73,126.56261462720008,-1,anomaly
