code_a,code_b,shared_providers,combined_paid
99213,99214,109124,59789185633.79996
99212,99213,44155,29802917836.539955
99203,99213,43714,25709232881.109943
D0120,D1110,40898,5723528091.879997
D0120,D1120,40004,7282809008.230008
99204,99214,38137,23436068472.74999
D0120,D0220,37718,4372226773.609993
D0120,D0150,36085,5227576991.490005
99212,99214,35608,23923320615.27011
99204,99213,35476,21501373333.859966
D0120,D0274,35353,4382326555.310001
99203,99214,34422,21842532138.279903
D0220,D1110,33940,3125564933.3499994
D0150,D1110,33682,3840464772.180004
D0150,D0220,33309,2357293804.0600038
D0274,D1110,33288,3224263054.3199944
D1110,D1120,32934,5323241015.2
D0220,D0230,32859,1704247395.059996
D0220,D1120,32400,4216367764.389993
D0150,D1120,32313,5061935105.959992
D0120,D0230,31931,4292325949.749993
D0220,D0274,31831,1752731713.210001
D0150,D0274,30920,2494874306.7699957
D0274,D1120,30440,4203448632.310003
D0120,D1208,30271,3960674860.289993
90686,99213,29186,20637922850.409943
D0150,D0230,28546,2458870286.780004
D0230,D1110,28388,2931367221.7999964
D0230,D1120,28109,4131095927.020008
90471,99213,28108,20915023191.79002
D1120,D1208,27966,3838754706.320008
D0120,D0272,27804,4217247898.830012
D0230,D0274,27564,1795825379.630003
D0272,D1120,27146,4239563410.270003
36415,99213,27011,17937179295.310017
99214,99215,26674,22587661257.54001
90686,99214,26295,15371322406.38997
D1110,D1208,26238,2849699666.220005
D0120,D1206,26007,4080727318.6200056
D0120,D2392,25880,6078892622.520012
36415,99214,25482,15065192236.769989
90471,99214,25366,16262293591.86002
D0220,D1208,25142,1632328512.21
D0150,D2392,24844,4265389386.079998
D1120,D1206,24748,4162909287.7999954
D0150,D1208,24595,2299793538.7399964
D0220,D2392,24469,3535177427.0199986
D1120,D2392,24228,6037877027.110006
D1110,D2392,24202,4748468227.770016
D0220,D0272,24172,1482410573.6000001
