count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max,HCPCS_CODE
13566914.0,2432.596481693626,13193.313941957264,-1728.56,0.0,0.0,30.12,478.91,1035.0,2222.21,4806.23,7889.963499999996,21605.050499999878,5543153.71,99213
11728025.0,2550.630471687262,9481.930808509947,-3531.11,0.0,0.0,205.0,693.1,1327.41,2531.52,4977.875999999997,7811.967999999989,19702.685999999976,3124919.49,99214
3980198.0,5063.010316177738,21186.0536989387,-636.92,191.31880000000004,621.2885,820.2,1242.15,2093.46,3893.33,7487.643000000003,12326.417999999989,60483.507699999675,2080602.54,99284
3270001.0,5160.547922037332,25600.773251663963,-368.19,58.89,412.46,526.07,789.3,1487.0,3354.24,7432.01,13436.5,70925.16,2287887.52,99283
2901462.0,5203.30800551584,23338.21867506151,-399.17,194.54,665.6,938.61,1452.11,2323.175,3941.09,7033.257999999998,11449.108499999993,56600.64790000008,1970465.07,99285
2730219.0,342.751389427002,3973.0701689573893,-545.65,0.0,0.0,0.0,5.02,33.95,77.2,202.43,595.6020000000019,5489.418199999998,526292.67,36415
2429393.0,20232.48961096455,67965.6344542447,-183021.84,0.0,733.7,1560.0,3554.1,8512.35,19893.09,40183.73400000004,62486.489999999976,180674.79600000053,6799595.0,T1015
2280791.0,1672.6496152387483,2891.637662562431,-1044.07,0.0,0.0,240.0,425.0,833.77,1822.6,3811.6,5818.825,12675.964000000004,263434.03,D0120
2259404.0,561.2910726235767,3435.903317294587,-222.78,0.0,0.0,0.0,35.0,118.29,255.66,739.4269999999995,1953.5055000000027,8698.643700000042,308494.74,85025
1869501.0,6454.979506879108,16438.94015786067,-255.75,0.0,0.0,1136.96,2237.1,3692.68,6230.52,11256.8,17634.4,53998.59,1639456.03,90837
