HCPCS_CODE,first_seen,last_seen,months_active,total_paid,provider_count,first_dt,last_dt,first_quarter,last_quarter
S5101,2018-01,2024-12,84,592173542.7400001,695,2018-01-01,2024-12-01,2018Q1,2024Q4
H0038,2018-01,2024-12,84,3117594686.1399984,3887,2018-01-01,2024-12-01,2018Q1,2024Q4
H0018,2018-01,2024-12,84,4400753703.5700035,1051,2018-01-01,2024-12-01,2018Q1,2024Q4
W1793,2018-01,2024-12,84,2256074210.5299993,380,2018-01-01,2024-12-01,2018Q1,2024Q4
92507,2018-01,2024-12,84,7484161290.33009,16583,2018-01-01,2024-12-01,2018Q1,2024Q4
S5136,2018-01,2024-12,84,2243358095.9999967,200,2018-01-01,2024-12-01,2018Q1,2024Q4
H2019,2018-01,2024-12,84,7466162701.3000555,5661,2018-01-01,2024-12-01,2018Q1,2024Q4
J9299,2018-01,2024-11,83,218833808.12000003,96,2018-01-01,2024-11-01,2018Q1,2024Q4
T2013,2018-01,2024-12,84,1973060556.0700014,254,2018-01-01,2024-12-01,2018Q1,2024Q4
T2017,2018-01,2024-12,84,2849724381.4699984,428,2018-01-01,2024-12-01,2018Q1,2024Q4
96365,2018-01,2024-12,84,1071539000.8299989,4412,2018-01-01,2024-12-01,2018Q1,2024Q4
L8699,2018-01,2024-12,84,172297639.13000008,258,2018-01-01,2024-12-01,2018Q1,2024Q4
K0861,2018-01,2024-10,82,47225242.06,72,2018-01-01,2024-10-01,2018Q1,2024Q4
99443,2018-01,2024-12,84,145643875.15000018,6013,2018-01-01,2024-12-01,2018Q1,2024Q4
H0012,2018-01,2024-12,84,156817582.08,100,2018-01-01,2024-12-01,2018Q1,2024Q4
G0439,2018-01,2024-12,84,31492711.699999996,4492,2018-01-01,2024-12-01,2018Q1,2024Q4
1201Z,2018-01,2024-12,84,22082907.169999998,19,2018-01-01,2024-12-01,2018Q1,2024Q4
T2034,2018-01,2024-12,84,137009993.72,241,2018-01-01,2024-12-01,2018Q1,2024Q4
Q5104,2019-01,2024-12,72,59558875.639999986,77,2019-01-01,2024-12-01,2019Q1,2024Q4
V2103,2018-01,2024-12,84,326709025.1799967,9587,2018-01-01,2024-12-01,2018Q1,2024Q4
G0749,2018-01,2024-12,84,38306897.34999999,17,2018-01-01,2024-12-01,2018Q1,2024Q4
J1726,2018-01,2023-04,64,151534695.79,70,2018-01-01,2023-04-01,2018Q1,2023Q2
96372,2018-01,2024-12,84,758942366.4300033,23537,2018-01-01,2024-12-01,2018Q1,2024Q4
J0129,2018-01,2024-11,83,55500671.49,78,2018-01-01,2024-11-01,2018Q1,2024Q4
0359T,2018-01,2020-04,16,3045951.28,46,2018-01-01,2020-04-01,2018Q1,2020Q2
S5120,2018-01,2024-12,84,23943564.370000005,94,2018-01-01,2024-12-01,2018Q1,2024Q4
81229,2018-01,2024-12,84,84457779.93,126,2018-01-01,2024-12-01,2018Q1,2024Q4
36478,2018-01,2024-12,84,93858512.83,126,2018-01-01,2024-12-01,2018Q1,2024Q4
D9450,2018-01,2024-12,84,76935471.41,175,2018-01-01,2024-12-01,2018Q1,2024Q4
J2350,2018-02,2024-12,83,391826851.6700001,68,2018-02-01,2024-12-01,2018Q1,2024Q4
V2784,2018-01,2024-12,84,223135677.3000008,9845,2018-01-01,2024-12-01,2018Q1,2024Q4
A0434,2018-01,2024-12,84,282702625.5700001,474,2018-01-01,2024-12-01,2018Q1,2024Q4
W1895,2018-08,2024-12,65,16457306.62,18,2018-08-01,2024-12-01,2018Q3,2024Q4
97112,2018-01,2024-12,84,920641759.3099977,11291,2018-01-01,2024-12-01,2018Q1,2024Q4
S9976,2018-01,2024-12,84,103325320.03000002,100,2018-01-01,2024-12-01,2018Q1,2024Q4
99309,2018-01,2024-12,84,781432911.430017,13257,2018-01-01,2024-12-01,2018Q1,2024Q4
81001,2018-01,2024-12,84,260072078.14000255,8599,2018-01-01,2024-12-01,2018Q1,2024Q4
T1006,2018-01,2024-12,84,6654920.430000002,30,2018-01-01,2024-12-01,2018Q1,2024Q4
87801,2018-01,2024-12,84,308749179.33999944,1560,2018-01-01,2024-12-01,2018Q1,2024Q4
96164,2020-01,2024-12,60,73426710.64999998,920,2020-01-01,2024-12-01,2020Q1,2024Q4
D1208,2018-01,2024-12,84,1083552960.7199821,32495,2018-01-01,2024-12-01,2018Q1,2024Q4
90887,2018-01,2024-12,84,143990017.69000003,701,2018-01-01,2024-12-01,2018Q1,2024Q4
S9366,2018-01,2024-12,84,34845624.339999996,47,2018-01-01,2024-12-01,2018Q1,2024Q4
0101T,2021-07,2024-12,42,2752876.0499999993,13,2021-07-01,2024-12-01,2021Q3,2024Q4
