year,month_num,total_paid,total_claims,providers,month_name
2018,1,9232048522.370096,187217689.0,230343,Jan
2018,2,8420467832.360109,171352502.0,223890,Feb
2018,3,9129935988.660093,183682093.0,229785,Mar
2018,4,8981173692.470072,179619696.0,227737,Apr
2018,5,9384689427.050076,185076176.0,228477,May
2018,6,8607149265.4501,164850507.0,216671,Jun
2018,7,8854594623.630049,169724543.0,215506,Jul
2018,8,9492334835.449999,186434915.0,225891,Aug
2018,9,8661621043.370014,168487953.0,214527,Sep
2018,10,9921379666.379986,198197925.0,229358,Oct
2018,11,9072923512.380066,173605775.0,216770,Nov
2018,12,8907431063.820065,166190908.0,211803,Dec
2019,1,10529905105.900011,202463697.0,229768,Jan
2019,2,9680573063.790127,187149977.0,223699,Feb
2019,3,10638499933.199884,202656457.0,230714,Mar
2019,4,10662800690.749847,204034522.0,233371,Apr
2019,5,10788430160.419949,203400802.0,231476,May
2019,6,9722889154.489943,179172702.0,219912,Jun
2019,7,10364775003.789906,193812066.0,225116,Jul
2019,8,10628704037.16974,202465238.0,231294,Aug
2019,9,10530148010.349836,201493119.0,231361,Sep
2019,10,11890862793.229818,229836010.0,243432,Oct
2019,11,10694811682.099857,197813102.0,228279,Nov
2019,12,10773796446.439947,195213165.0,225437,Dec
2020,1,12417328718.269737,231493965.0,242759,Jan
2020,2,11387443071.259823,210768595.0,236134,Feb
2020,3,10327180044.759956,175476623.0,215936,Mar
2020,4,8541553016.109944,126498275.0,162138,Apr
2020,5,9276309404.629915,146927456.0,185451,May
2020,6,10386347586.829943,180029356.0,211834,Jun
2020,7,11043497587.589972,193266077.0,217645,Jul
2020,8,10945591115.49995,193099010.0,220412,Aug
2020,9,11345841778.77992,204909864.0,230141,Sep
2020,10,12256768912.529993,220267867.0,241242,Oct
2020,11,11824939391.279942,207113269.0,237363,Nov
2020,12,12337430898.15991,214312315.0,238611,Dec
2021,1,12594444977.409918,222768005.0,244592,Jan
2021,2,11715579066.72989,206952736.0,241312,Feb
2021,3,14136311330.650017,258070549.0,263709,Mar
2021,4,13565862878.509966,245380331.0,259223,Apr
2021,5,13208518113.690132,232574191.0,253789,May
2021,6,13415399746.469933,237429997.0,254208,Jun
2021,7,13562082770.4699,238882520.0,248266,Jul
2021,8,14202719417.499962,256226837.0,256607,Aug
2021,9,14024666614.739979,255309350.0,256882,Sep
2021,10,14165659978.040018,255714420.0,259236,Oct
2021,11,13904172445.350006,248630420.0,256673,Nov
2021,12,14062529938.430023,246625408.0,252714,Dec
2022,1,14412456539.879982,251898388.0,252426,Jan
2022,2,13250746218.499956,235438630.0,249653,Feb
2022,3,15695994584.58985,280314489.0,266470,Mar
2022,4,14609179171.899803,254562730.0,256690,Apr
2022,5,14956401093.079943,257888000.0,257589,May
2022,6,14650484215.67994,250499963.0,253680,Jun
2022,7,14067993433.619774,234428626.0,243395,Jul
2022,8,15825029409.54008,273676256.0,260742,Aug
2022,9,15268172192.709965,263892615.0,258297,Sep
2022,10,15854981611.139925,269996140.0,261551,Oct
2022,11,15675981809.009985,263677624.0,258432,Nov
2022,12,15297538611.300022,251420641.0,251442,Dec
2023,1,16594310221.529745,280827661.0,263617,Jan
2023,2,15394753399.569849,259922326.0,258452,Feb
2023,3,17668427237.49997,298461892.0,271651,Mar
2023,4,16091892914.069752,265379484.0,259681,Apr
2023,5,17280277362.91987,287129748.0,267084,May
2023,6,16029192012.869934,261269038.0,257278,Jun
2023,7,15725897305.96003,246824756.0,247411,Jul
2023,8,17348504365.580124,279910801.0,261549,Aug
2023,9,16361790144.50017,259464154.0,253825,Sep
2023,10,17484140655.94973,276564708.0,261465,Oct
2023,11,16663518408.739927,259356081.0,253968,Nov
2023,12,16152279164.090006,243448023.0,244184,Dec
2024,1,17783239324.269703,272010590.0,256264,Jan
2024,2,17169976799.300005,266795878.0,255035,Feb
2024,3,17501161887.4498,264969435.0,253950,Mar
2024,4,17396698624.10009,267197354.0,255881,Apr
2024,5,17580257320.48983,262777836.0,253766,May
2024,6,15770419278.259832,228543520.0,238627,Jun
2024,7,16423060106.68983,242983356.0,239909,Jul
2024,8,16347006139.249924,246659583.0,242152,Aug
2024,9,15626350800.429764,233168618.0,236868,Sep
2024,10,16310402111.530104,244177082.0,237918,Oct
2024,11,12874830358.74989,183954822.0,204539,Nov
2024,12,4199364318.949983,63394189.0,117151,Dec
