CLAIM_FROM_MONTH,billing_type,total_paid
2018-01-01,Same,5703196026.14002
2018-01-01,Third-Party,3528852496.229976
2018-02-01,Same,5245036976.630011
2018-02-01,Third-Party,3175430855.7299857
2018-03-01,Same,5719570081.110017
2018-03-01,Third-Party,3410365907.549982
2018-04-01,Same,5687516087.249983
2018-04-01,Third-Party,3293657605.2199736
2018-05-01,Same,5911385397.620008
2018-05-01,Third-Party,3473304029.4299765
2018-06-01,Same,5508686664.270007
2018-06-01,Third-Party,3098462601.179977
2018-07-01,Same,5616962367.650006
2018-07-01,Third-Party,3237632255.9799867
2018-08-01,Same,5913304948.279989
2018-08-01,Third-Party,3579029887.1699705
2018-09-01,Third-Party,3194900151.799976
2018-09-01,Same,5466720891.569989
2018-10-01,Third-Party,3859324742.5599895
2018-10-01,Same,6062054923.819966
2018-11-01,Same,5611859617.40996
2018-11-01,Third-Party,3461063894.9699984
2018-12-01,Same,5578210896.819967
2018-12-01,Third-Party,3329220166.9999743
2019-01-01,Third-Party,4186009589.6699386
2019-01-01,Same,6343895516.229964
2019-02-01,Same,5855380567.399968
2019-02-01,Third-Party,3825192496.3899775
2019-03-01,Same,6449324069.750011
2019-03-01,Third-Party,4189175863.449923
2019-04-01,Same,6440798245.379993
2019-04-01,Third-Party,4222002445.369953
2019-05-01,Third-Party,4205778398.209968
2019-05-01,Same,6582651762.209987
2019-06-01,Same,6063498963.549955
2019-06-01,Third-Party,3659390190.939975
2019-07-01,Third-Party,3880862642.129979
2019-07-01,Same,6483912361.6599655
2019-08-01,Third-Party,4005664556.090005
2019-08-01,Same,6623039481.079948
2019-09-01,Same,6621443535.95995
2019-09-01,Third-Party,3908704474.3899803
2019-10-01,Same,7468651904.4400215
2019-10-01,Third-Party,4422210888.789971
2019-11-01,Same,6898316419.059957
2019-11-01,Third-Party,3796495263.039979
2019-12-01,Same,6925869768.839954
2019-12-01,Third-Party,3847926677.5999694
2020-01-01,Third-Party,4804297691.62996
2020-01-01,Same,7613031026.639996
2020-02-01,Third-Party,4361244301.299965
2020-02-01,Same,7026198769.959967
2020-03-01,Third-Party,3670868232.1499743
2020-03-01,Same,6656311812.610012
2020-04-01,Same,5732484460.299962
2020-04-01,Third-Party,2809068555.810002
2020-05-01,Third-Party,3088642229.9600096
2020-05-01,Same,6187667174.669953
2020-06-01,Third-Party,3706940825.32997
2020-06-01,Same,6679406761.499992
2020-07-01,Third-Party,3971265269.220007
2020-07-01,Same,7072232318.369983
2020-08-01,Same,6986000271.230007
2020-08-01,Third-Party,3959590844.269975
2020-09-01,Same,7054241909.000013
2020-09-01,Third-Party,4291599869.7799616
2020-10-01,Third-Party,4791442695.689898
2020-10-01,Same,7465326216.84001
2020-11-01,Same,7114230120.609986
2020-11-01,Third-Party,4710709270.66996
2020-12-01,Same,7397804765.779967
2020-12-01,Third-Party,4939626132.379914
2021-01-01,Third-Party,5100712294.439913
2021-01-01,Same,7493732682.970008
2021-02-01,Third-Party,4715443733.699954
2021-02-01,Same,7000135333.029999
2021-03-01,Third-Party,5894988613.2199
2021-03-01,Same,8241322717.4300165
2021-04-01,Same,7925388648.749998
2021-04-01,Third-Party,5640474229.759921
2021-05-01,Third-Party,5385424024.519897
2021-05-01,Same,7823094089.1700325
2021-06-01,Third-Party,5557038034.739928
2021-06-01,Same,7858361711.729916
2021-07-01,Third-Party,5473449580.19995
2021-07-01,Same,8088633190.269946
2021-08-01,Same,8326020595.939952
2021-08-01,Third-Party,5876698821.55993
2021-09-01,Third-Party,5794522134.109907
2021-09-01,Same,8230144480.629975
2021-10-01,Same,8433046395.959958
2021-10-01,Third-Party,5732613582.079928
2021-11-01,Same,8268109840.430007
2021-11-01,Third-Party,5636062604.919923
2021-12-01,Same,8481150070.999955
2021-12-01,Third-Party,5581379867.429955
2022-01-01,Same,8616203522.759888
2022-01-01,Third-Party,5796253017.11999
2022-02-01,Same,7979541028.980042
2022-02-01,Third-Party,5271205189.519949
2022-03-01,Same,9247903374.50992
2022-03-01,Third-Party,6448091210.079979
2022-04-01,Third-Party,5818455669.459956
2022-04-01,Same,8790723502.439972
2022-05-01,Third-Party,5895728675.1199875
2022-05-01,Same,9060672417.960001
2022-06-01,Same,8911738589.999945
2022-06-01,Third-Party,5738745625.679911
2022-07-01,Third-Party,5399367441.229983
2022-07-01,Same,8668625992.389957
2022-08-01,Same,9389084838.999977
2022-08-01,Third-Party,6435944570.53998
2022-09-01,Third-Party,6117290205.469995
2022-09-01,Same,9150881987.239958
2022-10-01,Third-Party,6387849463.799893
2022-10-01,Same,9467132147.339981
2022-11-01,Same,9419361655.850016
2022-11-01,Third-Party,6256620153.159962
2022-12-01,Third-Party,5954332602.93001
2022-12-01,Same,9343206008.37
2023-01-01,Same,10020599074.370022
2023-01-01,Third-Party,6573711147.159953
2023-02-01,Third-Party,6039325433.809957
2023-02-01,Same,9355427965.760006
2023-03-01,Third-Party,6955100410.709907
2023-03-01,Same,10713326826.790045
2023-04-01,Third-Party,6196730601.549954
2023-04-01,Same,9895162312.52004
2023-05-01,Third-Party,6812594168.479932
2023-05-01,Same,10467683194.440044
2023-06-01,Third-Party,6122201679.569913
2023-06-01,Same,9906990333.299988
2023-07-01,Third-Party,5878356466.909917
2023-07-01,Same,9847540839.050024
2023-08-01,Third-Party,6818795195.57986
2023-08-01,Same,10529709170.000004
2023-09-01,Same,10034715387.180023
2023-09-01,Third-Party,6327074757.319882
2023-10-01,Third-Party,6877255048.309909
2023-10-01,Same,10606885607.640078
2023-11-01,Same,10175027533.480005
2023-11-01,Third-Party,6488490875.25987
2023-12-01,Same,10078133351.05999
2023-12-01,Third-Party,6074145813.029913
2024-01-01,Third-Party,6915723304.539856
2024-01-01,Same,10867516019.73003
2024-02-01,Same,10487223132.060028
2024-02-01,Third-Party,6682753667.239898
2024-03-01,Same,10823880956.430109
2024-03-01,Third-Party,6677280931.019881
2024-04-01,Same,10674698446.24008
2024-04-01,Third-Party,6722000177.859883
2024-05-01,Third-Party,6659418005.479901
2024-05-01,Same,10920839315.010048
2024-06-01,Third-Party,5716051302.349937
2024-06-01,Same,10054367975.910007
2024-07-01,Third-Party,5964637883.459919
2024-07-01,Same,10458422223.230074
2024-08-01,Same,10249753771.030048
2024-08-01,Third-Party,6097252368.219898
2024-09-01,Same,9902339215.250044
2024-09-01,Third-Party,5724011585.179914
2024-10-01,Same,10225471561.259981
2024-10-01,Third-Party,6084930550.269923
2024-11-01,Same,8206507693.449959
2024-11-01,Third-Party,4668322665.299941
2024-12-01,Third-Party,1618238462.7900126
2024-12-01,Same,2581125856.1600018
