first_digit,observed_count,observed_pct,benford_pct,deviation,deviation_abs
1,59744517,31.76748269177955,30.10299956639812,1.6644831253814303,1.6644831253814303
2,32883028,17.48463416054234,17.609125905568124,-0.12449174502578586,0.12449174502578586
3,22529749,11.979566449715168,12.493873660829994,-0.5143072111148257,0.5143072111148257
4,17367192,9.23452057139925,9.691001300805642,-0.45648072940639217,0.45648072940639217
5,14227659,7.565161352414005,7.918124604762482,-0.35296325234847625,0.35296325234847625
6,12229529,6.502711384144525,6.694678963061322,-0.19196757891679717,0.19196757891679717
7,10759299,5.72095753587197,5.799194697768673,-0.07823716189670282,0.07823716189670282
8,9590365,5.099409442800389,5.115252244738129,-0.015842801937740347,0.015842801937740347
9,8736812,4.645556411332807,4.575749056067514,0.06980735526529269,0.06980735526529269
