HCPCS_CODE,avg_claims_per_bene,median_claims_per_bene,avg_paid_per_bene,total_records
1286C,44.28850636438537,30.322328446235986,138.73756270892537,82
1286Z,43.97883290565366,32.58356015242243,139.61700152003957,99
1286A,42.60325874266496,30.77037037037037,135.06082256019167,91
W0102,34.62010425471964,30.666666666666668,6905.690864327979,13
1550P,34.514372839803876,33.84051724137931,156.8069037858693,4
W0100,32.03926282051282,30.208333333333336,8724.93205128205,16
X5635,31.25883394156636,30.375,6755.498504953199,51
W0038,30.69703073338029,30.0,8103.378662398434,65
Z5989,30.05392156862745,30.05392156862745,0.0,2
1551P,29.934759491154843,26.694444444444443,236.89918982309678,5
RUGS,29.396062271062274,29.756410256410255,0.0,14
W00R2,29.22903516659207,29.608695652173914,0.0,133
W00R4,28.929040968634194,29.0,0.0,41
S9326,28.4748529594366,29.035714285714285,1242.0525732091808,75
W9047,27.91089754008024,28.8,9843.343307959394,81
M0153,27.26921855921856,29.0,7840.5081903540895,15
T2012,27.248608292529152,25.307692307692307,4783.334361519625,3890
YP710,27.102564102564102,29.0,0.0,3
T2027,27.05223997325982,21.823669839448364,1826.49906311573,2742
1434Z,26.858676939387177,29.158249158249156,128.2844579423585,130
Z9500,26.64516129032258,26.64516129032258,0.0,1
Q5007,26.563340190187482,26.7,4639.42933299049,7
Z5834,25.82631523118384,18.791666666666668,11523.935393034682,263
M0122,25.817284682004054,29.17156862745098,1873.1559532782276,1626
M0167,25.754340714075934,28.0,3852.5918585191444,425
M0150,25.65527620843733,28.0,3918.323294330946,1019
M0123,25.64356731869135,29.0,1951.9142724790806,2645
M0166,25.538365533815057,28.07142857142857,3814.895819056895,230
M0151,25.49894376595448,26.93103448275862,5033.790571752961,111
M0152,25.43787296771958,27.641025641025642,4212.283425898318,508
M0125,25.220218687663763,28.1875,2372.413819950016,885
M0124,25.07241424219519,28.0,2987.999238875709,296
90947,24.97362052139666,28.307692307692307,1823.4761340206333,149
M0169,24.928075769676123,28.700854700854702,4227.052080845533,64
M0149,24.820888570616606,27.583333333333332,3798.6212653843636,129
PT624,24.348315444245674,24.076923076923077,0.0,3
W1793,24.331184958338103,25.89608636977058,4241.692116622346,10028
X0241,24.11600666859352,24.232142857142858,2718.710998636468,156
1436Z,23.94517046539136,27.604761904761904,1165.2069616805109,44
90945,23.90507129041573,27.352941176470587,1668.9272657905778,4085
1431Z,23.657649495621094,27.473684210526315,1045.9365949623152,71
1023Z,23.570694270145975,26.6,5698.206480824758,143
1439Z,23.30346692094201,29.348148148148148,321.56505317174987,136
1438Z,23.27497963233674,27.4375,1817.085930712415,41
S0109,23.229802619999617,26.244524380495605,147.19143808077513,5834
W0000,22.705018939393938,22.705018939393938,0.0,2
90019,22.602692480706008,22.59259259259259,0.0,23
W9045,22.44129690792641,28.12,13961.482635570233,111
W1759,22.271951888016126,25.06748188405797,256.4666843172928,116
99509,22.264331250586405,26.125,1376.0706528284888,82187
