specialization,count,avg_paid,total_paid,pct
Diversified,35619,6982421.027454729,248706854576.91,5.994173943627604
Moderate,57038,2384886.9730760194,136029183170.31,9.598688716601568
Concentrated,152008,1633056.031799116,248237581281.72,25.580796564275943
Specialist,349562,1317617.0407390965,460588847994.84,58.82634077549489
