BILLING_PROVIDER_NPI_NUM,CLAIM_FROM_MONTH,monthly_paid,monthly_claims,rolling_mean,rolling_std,spike_ratio,z_spike,flag_spike
060296500,2023-08-01,483.47,22.0,70.815,100.14753341945072,6.827225870225235,4.120470928341945,True
060296500,2023-10-01,5843.18,74.0,208.36666666666667,248.54807831349922,28.042777155655095,22.670918928715345,True
1003000217,2019-01-01,1336.65,15.0,736.0899999999999,59.835375824005695,1.8158784931190484,10.036871862665866,True
1003000969,2019-10-01,1163.11,40.0,30.94666666666667,9.728973909582773,37.58433864713485,116.37027130046913,True
1003000969,2019-11-01,30097.36,1197.0,404.59,656.8975984885316,74.38977730542031,45.20152009737998,True
1003000969,2020-09-01,141245.4,4640.0,11207.513333333334,16370.067397174435,12.602742089086664,7.943637830661096,True
1003001702,2021-05-01,9384.0,95.0,3501.7933333333335,583.7780421815435,2.679769794143572,10.076101260481147,True
1003001702,2023-03-01,26941.86,325.0,9293.56,482.73630565763216,2.8989816604186127,36.55888275475304,True
1003002759,2019-06-01,185.52,21.0,0.0,0.0,185.52,185.52,True
1003002759,2020-01-01,983.56,73.0,61.84,107.11002194005938,15.904915912031045,8.60535721405986,True
1003002759,2020-11-01,9.71,28.0,0.0,0.0,9.71,9.71,True
1003002759,2021-09-01,284.59,159.0,0.0,0.0,284.59,284.59,True
1003002759,2023-06-01,552.54,29.0,0.0,0.0,552.54,552.54,True
1003002759,2024-11-01,893.7,35.0,10.726666666666667,18.579131662522183,83.31572405220635,47.525005440080214,True
1003004276,2019-04-01,8571.4,197.0,1232.6799999999998,1499.306792421084,6.95346724210663,4.894742048189762,True
1003004276,2023-09-01,8697.5,83.0,832.3066666666667,515.54901069959,10.449874245069925,15.255956601798962,True
1003004300,2022-10-01,430.48,17.0,53.333333333333336,92.37604307033983,8.0715,4.0827324285744515,True
1003004300,2022-12-01,1536.33,30.0,143.49333333333334,248.53774388075004,10.706629808585763,5.604125332911038,True
1003004300,2023-05-01,3293.73,92.0,318.25666666666666,551.2367165141793,10.349288310273678,5.397814122667927,True
1003004300,2023-10-01,8746.2,285.0,749.6266666666667,1112.2072370441279,11.667407776315322,7.189823143558687,True
1003005703,2020-06-01,182.24,36.0,13.69,23.71177555561793,13.311906501095692,7.1082825326451005,True
1003005893,2024-04-01,10694.47,174.0,3580.2250000000004,545.9925010931929,2.987094386525986,13.029931703742761,True
1003010042,2018-11-01,4337.9,72.0,697.59,986.5412389758474,6.21840909416706,3.689972457491077,True
1003010042,2024-10-01,4240.0,33.0,0.0,0.0,4240.0,4240.0,True
1003010166,2022-10-01,18226.82,76.0,1258.295,107.43073326567229,14.485331341219664,157.9485170043237,True
1003010745,2024-03-01,887.7,82.0,154.93666666666667,134.94159341482697,5.729437834814226,5.430225883584531,True
1003014952,2018-11-01,27533.55,198.0,2475.02,1466.6312064387557,11.124576771096798,17.08577445372011,True
1003014952,2020-08-01,451.14,21.0,51.0,10.392304839498069,8.845882352941176,38.503489474171936,True
1003014952,2020-09-01,8114.76,83.0,180.38,234.4850383286746,44.987027386628235,33.8374680813472,True
1003014952,2021-03-01,21277.24,120.0,2902.0633333333335,4515.028142728829,7.331762803246885,4.069781203082585,True
1003014952,2022-02-01,7170.78,173.0,1099.6466666666665,1904.6438970404238,6.520985528684972,3.187542481178297,True
1003014952,2022-04-01,111779.34,504.0,7248.296666666666,3988.679966910523,15.421463157551038,26.206926652553435,True
1003014952,2022-09-01,69896.04,292.0,2706.6433333333334,3638.5006526636294,25.82388271820077,18.46623185775148,True
1003014952,2023-08-01,13699.259999999998,434.0,733.8966666666666,166.1877734155428,18.66646984816209,78.01634901813263,True
1003014952,2024-02-01,6477.22,92.0,131.04,226.967937822668,49.42933455433456,27.960689341762116,True
1003014952,2024-09-01,8214.4,62.0,687.1700000000001,1190.2133534368893,11.953956080736933,6.324269491905956,True
1003014952,2024-10-01,59953.78,284.0,2738.133333333333,4742.586051231262,21.895858492403583,12.064229525537536,True
1003016130,2022-11-01,2131.8,113.0,839.745,40.76470593540453,2.5386277977243092,31.695432859184162,True
1003016858,2021-08-01,4426.07,78.0,64.64,111.95976420125403,68.47261757425743,38.95533391942556,True
1003016858,2024-07-01,4194.68,77.0,768.7199999999999,1140.4150267336881,5.456707253616402,3.004134389400708,True
1003017096,2021-01-01,1824.9099999999999,87.0,608.04,5.317442994522825,3.0012992566278536,228.84495447406277,True
1003017096,2021-03-01,4453.51,273.0,1058.533333333333,667.4954161890053,4.207245874795316,5.086142293006189,True
1003017096,2021-12-01,3984.58,296.0,715.9866666666667,740.1233493366736,5.565159500176912,4.416281875531652,True
1003017096,2022-12-01,3744.9999999999995,222.0,1656.5466666666669,379.78761463920324,2.2607271351647196,5.499003266121133,True
1003017096,2024-03-01,8798.0,147.0,1357.273333333333,932.9831000255773,6.482113649424583,7.97519983637719,True
1003019878,2020-10-01,1786.52,21.0,301.22,180.70820900003406,5.930947480246995,8.219327767227885,True
1003024589,2019-07-01,833.99,35.0,245.25,59.18483758531403,3.4005708460754334,9.947480199659928,True
1003024589,2024-01-01,1643.52,34.0,539.63,260.26305865412405,3.0456423845968534,4.241439433273594,True
1003025503,2023-06-01,394.5,23.0,142.33333333333334,49.96331987902058,2.771662763466042,5.047035851045409,True
1003025578,2018-08-01,1584.0,33.0,738.0,25.45584412271571,2.1463414634146343,33.23401871576773,True
1003025578,2021-06-01,8864.0,278.0,784.6833333333334,600.0955764154016,11.296276629638282,13.463383141278074,True
