BILLING_PROVIDER_NPI_NUM,SERVICING_PROVIDER_NPI_NUM,shared_codes,shared_months,relationship_paid,relationship_claims,billing_total,concentration_pct,flag_concentrated,flag_broad,flag_any
1396956462,1568442465,1,1,582142.15,588.0,582142.15,100.0,True,False,True
1730421553,1790961795,9,11,562787.9999999999,3286.0,1801738.3099999998,31.2358346867809,False,True,True
1467924324,1285947770,2,4,561115.2999999999,1182.0,561115.2999999999,100.0,True,False,True
1376220178,1336242528,1,1,549897.55,853.0,549897.55,100.0,True,False,True
1073565610,1851405401,20,22,542822.15,6637.0,856364.8800000001,63.386783213249,False,True,True
1396859179,1174757819,15,18,542368.72,4541.0,655923.97,82.68774199546328,False,True,True
1609540681,1174760458,1,1,536802.36,5853.0,536802.36,100.0,True,False,True
1669708756,1043282627,11,16,530487.8099999998,6172.0,550532.0899999999,96.35910778606929,True,True,True
1275647299,1881708899,19,18,523203.91,7581.0,523203.91,100.0,True,True,True
1881608172,1962432682,1,2,520641.01,2382.0,520641.01,100.0,True,False,True
1447353594,1215015870,3,5,519107.11,161.0,519107.11,100.0,True,False,True
1528263910,1720205131,7,7,511621.37,2169.0,17653885.86,2.898066601638264,False,True,True
1083189013,1013219690,1,1,509904.0,6589.0,509904.0,100.0,True,False,True
1588153126,1073198347,3,3,509075.57,4670.0,527719.93,96.46699718163003,True,False,True
1699703827,1811028863,8,10,508288.95999999996,2438.0,70230078.79,0.7237482411487408,False,True,True
1164555124,1104915230,22,20,506610.32999999996,7299.0,563253.63,89.94355349294419,False,True,True
1174104681,1083649495,1,1,505751.4,2525.0,515413.9,98.12529308968966,True,False,True
1396265252,1295090132,4,6,504035.8,4008.0,532160.8,94.71494330285131,True,False,True
1598941825,1417131236,12,15,497711.75,3597.0,609915.99,81.60332868138119,False,True,True
1598388993,1881997609,5,7,483527.04,2728.0,483527.04,100.0,True,False,True
1063433720,1043324932,28,24,482679.4,4137.0,547725.99,88.12424621296499,False,True,True
1033156567,1992224455,7,12,474442.76,18471.0,995534.15,47.65710548452808,False,True,True
1699703827,1730299959,7,8,471707.99,2349.0,70230078.79,0.6716609152760427,False,True,True
1275665457,1821036807,26,23,460751.82000000007,4287.0,6830733.59,6.745275802799975,False,True,True
1275086746,1760746507,2,3,458902.47,711.0,458902.47,100.0,True,False,True
1992043053,1265521066,8,9,457713.89,4146.0,1918654.29,23.85598554078234,False,True,True
1659849040,1568894988,7,11,444802.83999999997,3614.0,472233.14999999997,94.19136288928468,True,True,True
1669878567,1376640656,39,41,442749.29000000004,7074.0,3529204.13,12.545301254648594,False,True,True
A921640000,M784450100,1,1,436586.12,601.0,436586.12,100.0,True,False,True
1710498001,1396797916,6,8,427444.58,5667.0,431008.92000000004,99.17302407569662,True,False,True
1124130620,1053423202,12,12,424757.2100000001,3132.0,481875.76000000007,88.14662310467745,False,True,True
1487247409,1235685181,1,1,424361.44,8131.0,424361.44,100.0,True,False,True
1386703304,1144381773,2,3,422787.39,584.0,422787.39,100.0,True,False,True
1265435499,1174859508,1,1,418430.02,3437.0,418430.02,100.0,True,False,True
1861742991,1326363300,6,11,416957.06000000006,3641.0,423362.18000000005,98.4870826203701,True,False,True
1831386697,A565813600,1,1,416922.14,5501.0,425866.18,97.89980035512565,True,False,True
1194917468,1942470661,1,3,415833.48,7270.0,415833.48,100.0,True,False,True
1396235883,1962577387,12,16,413953.68999999994,3790.0,711951.2699999999,58.14354260509993,False,True,True
1285059923,1992726020,21,21,413815.81000000006,4395.0,816613.7500000001,50.674607181179596,False,True,True
1982787537,1609028190,24,28,413377.0900000001,8440.0,626345.0200000001,65.99830393797974,False,True,True
1710463435,1851482947,1,1,409877.25,1233.0,417311.38,98.2185652353885,True,False,True
1124093752,1538384870,12,15,408475.24000000005,5557.0,447771.8900000001,91.22395780583726,True,True,True
1588009732,A565813600,2,3,408226.0,41333.0,408226.0,100.0,True,False,True
1376295287,1376829986,3,3,403270.23,5009.0,403270.23,100.0,True,False,True
1508199258,1396864351,7,6,402420.98000000004,1140.0,4996882.43,8.053441033232396,False,True,True
1578631172,1548404494,24,28,400247.07,5230.0,682196.97,58.670308957836625,False,True,True
1962502229,1649392580,9,13,400085.1199999999,8056.0,2982019.53,13.416582821642347,False,True,True
1578510137,1962432682,1,1,399761.39,543.0,399761.39,100.0,True,False,True
1669878567,1811490881,9,10,399642.78,2396.0,3529204.13,11.32387828187201,False,True,True
1083672372,1720035769,1,3,398957.93,21577.0,410698.7,97.14126925651335,True,False,True
1508072588,1740402452,7,8,396486.9,995.0,2353403.66,16.847381804445735,False,True,True
1821210402,1609259530,2,2,395123.5,24488.0,432129.58999999997,91.43634436142177,True,False,True
1023287679,1366487225,15,15,390613.68,3468.0,516364.32,75.64691534070363,False,True,True
1447886288,1306996012,7,8,388637.21,3495.0,3664555.77,10.605302099140928,False,True,True
1629141213,A397151100,39,36,388155.8699999999,3298.0,500163.9399999999,77.60572863369558,False,True,True
1467407395,1306880109,8,10,388040.82,6153.0,388040.82,100.0,True,True,True
1427136555,1275784423,1,1,387161.61,5083.0,387161.61,100.0,True,False,True
1538144910,1487639381,24,26,386546.15999999986,20041.0,487613.97999999986,79.27298556944574,False,True,True
1558861120,1376829986,3,3,384683.38,1633.0,425500.08,90.40735785525587,True,False,True
1699726786,1881613545,12,13,382717.25999999995,3038.0,632836.35,60.47649759689057,False,True,True
1609922194,A565813600,10,12,376849.87,3493.0,1951288.65,19.312871522109248,False,True,True
1417985474,1013213404,12,14,376311.07999999996,1914.0,376311.07999999996,100.0,True,True,True
1992043053,1447202825,8,9,375508.48000000004,2690.0,1918654.29,19.571450779702477,False,True,True
1396750188,A585713900,11,11,375359.76999999996,3173.0,1692148.27,22.1824397220227,False,True,True
1720676307,1205146974,1,1,370343.77,1115.0,370343.77,100.0,True,False,True
1225546575,1578604880,8,6,368126.53,3046.0,1514873.35,24.300812341837023,False,True,True
1821099474,1093716979,81,66,367802.97999999986,12048.0,367802.97999999986,100.0,True,True,True
1649495110,1790178127,1,2,367653.02,361.0,367653.02,100.0,True,False,True
1447539374,1033155874,14,17,364184.2300000001,2478.0,364184.2300000001,100.0,True,True,True
1285834796,1760517395,18,24,361902.6599999999,6979.0,566015.6399999999,63.938632508458596,False,True,True
1609406917,1346400322,1,1,358016.01,2877.0,358016.01,100.0,True,False,True
1881935419,A565813600,1,1,357867.51,3311.0,357867.51,100.0,True,False,True
1215951751,M961997600,35,33,357259.8599999999,2802.0,783331.3099999999,45.60775950600008,False,True,True
1699703827,1003941683,7,7,356597.63999999996,1244.0,70230078.79,0.507756286400145,False,True,True
1093810889,1811098742,9,9,356523.29000000004,6108.0,1717285.28,20.760865661178908,False,True,True
1386712065,1184753121,11,12,355186.37000000005,2249.0,601993.5100000001,59.001694220922744,False,True,True
1619466141,1982764551,8,12,354812.19999999995,4180.0,427588.36999999994,82.97985279627694,False,True,True
1134346687,1588640635,2,2,352316.3,673.0,385743.25,91.33440442574174,True,False,True
1528126133,1144419284,19,19,352047.81,3158.0,3122630.2299999995,11.274079352008325,False,True,True
1154496008,A423525800,3,4,347361.48000000004,1923.0,347361.48000000004,100.0,True,False,True
1235406331,1285795518,16,25,346170.13,7684.0,346170.13,100.0,True,True,True
1992145916,1366810095,1,2,345480.07999999996,2541.0,345480.07999999996,100.0,True,False,True
1669897385,1457459091,7,8,343736.26999999996,2685.0,755723.0599999999,45.48442256082539,False,True,True
1154655439,1881635498,21,26,343375.09,6644.0,343375.09,100.0,True,True,True
1083765689,1124193636,10,12,341317.01,6001.0,5037397.779999999,6.775661262152699,False,True,True
1811362908,1831194331,18,24,338120.97999999986,7576.0,339316.76999999984,99.64758888869537,True,True,True
